msg_published_time msg_received_time map_load_time.secs update_time.secs uint32_metadata.size_x uint32_metadata.size_y uint8_data_size.bytes
1738849625.157 1738849626.247 0.000 0.000 60 60 3600
1738849631.158 1738849632.320 0.000 0.000 60 60 3600
1738849632.958 1738849633.663 0.000 0.000 60 60 3600
1738849633.558 1738849634.173 0.000 0.000 60 60 3600
1738849634.158 1738849634.650 0.000 0.000 60 60 3600
1738849636.557 1738849637.330 0.000 0.000 60 60 3600
1738849637.157 1738849637.643 0.000 0.000 60 60 3600
1738849637.758 1738849638.483 0.000 0.000 60 60 3600
1738849639.558 1738849640.464 0.000 0.000 60 60 3600
1738849641.357 1738849642.257 0.000 0.000 60 60 3600
1738849642.557 1738849643.909 0.000 0.000 60 60 3600
1738849643.157 1738849643.967 0.000 0.000 60 60 3600
1738849643.758 1738849644.319 0.000 0.000 60 60 3600
1738849644.357 1738849645.373 0.000 0.000 60 60 3600
1738849644.957 1738849645.501 0.000 0.000 60 60 3600
1738849646.759 1738849647.388 0.000 0.000 60 60 3600
1738849647.358 1738849648.090 0.000 0.000 60 60 3600
1738849647.958 1738849648.775 0.000 0.000 60 60 3600
1738849649.757 1738849650.653 0.000 0.000 60 60 3600
1738849650.358 1738849651.176 0.000 0.000 60 60 3600
1738849652.157 1738849652.900 0.000 0.000 60 60 3600
1738849654.557 1738849655.423 0.000 0.000 60 60 3600
1738849655.158 1738849656.039 0.000 0.000 60 60 3600
1738849656.957 1738849657.676 0.000 0.000 60 60 3600
1738849657.557 1738849658.636 0.000 0.000 60 60 3600
1738849659.357 1738849660.518 0.000 0.000 60 60 3600
1738849659.957 1738849660.530 0.000 0.000 60 60 3600
1738849661.759 1738849662.190 0.000 0.000 60 60 3600
1738849662.957 1738849664.059 0.000 0.000 60 60 3600
1738849663.557 1738849664.230 0.000 0.000 60 60 3600
1738849665.958 1738849666.969 0.000 0.000 60 60 3600
1738849668.957 1738849669.514 0.000 0.000 60 60 3600
1738849669.557 1738849670.687 0.000 0.000 60 60 3600
1738849670.157 1738849670.765 0.000 0.000 60 60 3600
1738849670.757 1738849671.815 0.000 0.000 60 60 3600
1738849671.357 1738849672.054 0.000 0.000 60 60 3600
1738849672.557 1738849673.636 0.000 0.000 60 60 3600
1738849675.557 1738849676.349 0.000 0.000 60 60 3600
1738849679.157 1738849679.997 0.000 0.000 60 60 3600
1738849679.759 1738849680.534 0.000 0.000 60 60 3600
1738849680.359 1738849681.195 0.000 0.000 60 60 3600
1738849681.557 1738849682.561 0.000 0.000 60 60 3600
1738849682.157 1738849683.168 0.000 0.000 60 60 3600
1738849684.557 1738849685.595 0.000 0.000 60 60 3600
1738849685.158 1738849685.705 0.000 0.000 60 60 3600
1738849685.758 1738849686.877 0.000 0.000 60 60 3600
1738849686.358 1738849686.905 0.000 0.000 60 60 3600
1738849689.357 1738849689.726 0.000 0.000 60 60 3600
1738849691.157 1738849691.932 0.000 0.000 60 60 3600
1738849692.357 1738849693.473 0.000 0.000 60 60 3600
1738849695.958 1738849696.433 0.000 0.000 60 60 3600
1738849697.157 1738849697.654 0.000 0.000 60 60 3600
1738849697.757 1738849698.189 0.000 0.000 60 60 3600
1738849698.358 1738849699.481 0.000 0.000 60 60 3600
1738849700.757 1738849701.676 0.000 0.000 60 60 3600
1738849701.958 1738849702.721 0.000 0.000 60 60 3600
1738849702.558 1738849703.426 0.000 0.000 60 60 3600
1738849704.357 1738849704.950 0.000 0.000 60 60 3600
1738849704.957 1738849705.702 0.000 0.000 60 60 3600
1738849706.157 1738849706.907 0.000 0.000 60 60 3600
1738849708.558 1738849709.147 0.000 0.000 60 60 3600
1738849710.957 1738849711.715 0.000 0.000 60 60 3600
1738849712.758 1738849713.917 0.000 0.000 60 60 3600
1738849714.557 1738849715.054 0.000 0.000 60 60 3600
1738849715.757 1738849716.829 0.000 0.000 60 60 3600
1738849716.957 1738849717.804 0.000 0.000 60 60 3600
1738849717.557 1738849718.648 0.000 0.000 60 60 3600
