msg_published_time msg_received_time uint32_height uint32_width uint32_step uint8_data_size.bytes
1738849625.312 1738849626.128 720 1280 3840 2764800
1738849625.379 1738849627.496 720 1280 3840 2764800
1738849625.445 1738849628.022 720 1280 3840 2764800
1738849625.512 1738849628.423 720 1280 3840 2764800
1738849625.579 1738849628.882 720 1280 3840 2764800
1738849626.379 1738849629.344 720 1280 3840 2764800
1738849628.212 1738849629.809 720 1280 3840 2764800
1738849628.946 1738849630.406 720 1280 3840 2764800
1738849629.079 1738849630.855 720 1280 3840 2764800
1738849629.112 1738849631.268 720 1280 3840 2764800
1738849629.346 1738849631.613 720 1280 3840 2764800
1738849629.779 1738849632.138 720 1280 3840 2764800
1738849631.846 1738849633.683 720 1280 3840 2764800
1738849632.412 1738849634.090 720 1280 3840 2764800
1738849634.246 1738849635.973 720 1280 3840 2764800
1738849634.446 1738849636.489 720 1280 3840 2764800
1738849634.679 1738849636.933 720 1280 3840 2764800
1738849636.712 1738849639.335 720 1280 3840 2764800
1738849637.146 1738849639.894 720 1280 3840 2764800
1738849638.146 1738849640.350 720 1280 3840 2764800
1738849639.712 1738849641.346 720 1280 3840 2764800
1738849639.812 1738849642.931 720 1280 3840 2764800
1738849640.112 1738849643.365 720 1280 3840 2764800
1738849641.746 1738849643.923 720 1280 3840 2764800
1738849646.512 1738849648.691 720 1280 3840 2764800
1738849647.579 1738849649.376 720 1280 3840 2764800
1738849648.246 1738849650.128 720 1280 3840 2764800
1738849649.679 1738849651.184 720 1280 3840 2764800
1738849650.079 1738849652.126 720 1280 3840 2764800
1738849651.779 1738849653.520 720 1280 3840 2764800
1738849652.179 1738849654.479 720 1280 3840 2764800
1738849653.112 1738849654.932 720 1280 3840 2764800
1738849653.712 1738849655.431 720 1280 3840 2764800
1738849655.246 1738849657.190 720 1280 3840 2764800
1738849655.846 1738849657.567 720 1280 3840 2764800
1738849656.846 1738849659.403 720 1280 3840 2764800
1738849657.079 1738849660.088 720 1280 3840 2764800
1738849657.179 1738849660.692 720 1280 3840 2764800
1738849659.846 1738849661.792 720 1280 3840 2764800
1738849660.112 1738849662.143 720 1280 3840 2764800
1738849661.012 1738849663.587 720 1280 3840 2764800
1738849663.412 1738849665.449 720 1280 3840 2764800
1738849663.646 1738849665.929 720 1280 3840 2764800
1738849663.746 1738849666.460 720 1280 3840 2764800
1738849664.046 1738849666.907 720 1280 3840 2764800
1738849666.112 1738849667.862 720 1280 3840 2764800
1738849666.646 1738849668.453 720 1280 3840 2764800
1738849667.479 1738849669.012 720 1280 3840 2764800
1738849668.512 1738849670.318 720 1280 3840 2764800
1738849668.679 1738849671.756 720 1280 3840 2764800
1738849671.146 1738849672.738 720 1280 3840 2764800
1738849671.279 1738849673.328 720 1280 3840 2764800
1738849672.446 1738849674.122 720 1280 3840 2764800
1738849672.879 1738849674.630 720 1280 3840 2764800
1738849674.112 1738849677.238 720 1280 3840 2764800
1738849674.346 1738849677.635 720 1280 3840 2764800
1738849674.379 1738849678.216 720 1280 3840 2764800
1738849674.479 1738849678.689 720 1280 3840 2764800
1738849677.612 1738849679.188 720 1280 3840 2764800
1738849677.879 1738849679.669 720 1280 3840 2764800
1738849678.346 1738849680.003 720 1280 3840 2764800
1738849679.479 1738849681.339 720 1280 3840 2764800
1738849679.879 1738849682.009 720 1280 3840 2764800
1738849680.712 1738849682.484 720 1280 3840 2764800
1738849681.879 1738849684.114 720 1280 3840 2764800
1738849681.912 1738849684.563 720 1280 3840 2764800
1738849682.212 1738849685.055 720 1280 3840 2764800
1738849683.912 1738849685.562 720 1280 3840 2764800
1738849685.879 1738849687.886 720 1280 3840 2764800
1738849686.179 1738849688.483 720 1280 3840 2764800
1738849689.412 1738849691.483 720 1280 3840 2764800
1738849689.446 1738849692.082 720 1280 3840 2764800
1738849692.779 1738849694.747 720 1280 3840 2764800
1738849693.579 1738849695.224 720 1280 3840 2764800
1738849694.279 1738849695.719 720 1280 3840 2764800
1738849695.646 1738849698.921 720 1280 3840 2764800
1738849697.846 1738849700.095 720 1280 3840 2764800
1738849698.046 1738849700.563 720 1280 3840 2764800
1738849699.879 1738849701.659 720 1280 3840 2764800
1738849702.046 1738849704.442 720 1280 3840 2764800
1738849703.179 1738849704.999 720 1280 3840 2764800
1738849703.946 1738849705.463 720 1280 3840 2764800
1738849705.012 1738849706.710 720 1280 3840 2764800
1738849705.379 1738849707.972 720 1280 3840 2764800
1738849706.579 1738849708.587 720 1280 3840 2764800
1738849707.579 1738849709.144 720 1280 3840 2764800
1738849708.079 1738849709.774 720 1280 3840 2764800
1738849708.546 1738849710.387 720 1280 3840 2764800
1738849710.913 1738849712.692 720 1280 3840 2764800
1738849711.413 1738849713.518 720 1280 3840 2764800
1738849711.979 1738849713.993 720 1280 3840 2764800
1738849712.612 1738849714.354 720 1280 3840 2764800
1738849714.746 1738849716.309 720 1280 3840 2764800
1738849715.213 1738849716.819 720 1280 3840 2764800
1738849716.113 1738849717.810 720 1280 3840 2764800
1738849717.246 1738849719.625 720 1280 3840 2764800
1738849718.279 1738849720.149 720 1280 3840 2764800
