msg_published_time msg_received_time uint32_height uint32_width uint32_step uint8_data_size.bytes
1738849625.345 1738849626.166 480 640 1920 921600
1738849625.379 1738849626.321 480 640 1920 921600
1738849625.445 1738849626.468 480 640 1920 921600
1738849625.479 1738849626.591 480 640 1920 921600
1738849625.512 1738849626.734 480 640 1920 921600
1738849625.579 1738849626.872 480 640 1920 921600
1738849626.279 1738849629.920 480 640 1920 921600
1738849629.079 1738849632.182 480 640 1920 921600
1738849629.346 1738849632.328 480 640 1920 921600
1738849631.312 1738849632.632 480 640 1920 921600
1738849631.646 1738849632.803 480 640 1920 921600
1738849631.712 1738849632.935 480 640 1920 921600
1738849631.846 1738849633.171 480 640 1920 921600
1738849633.846 1738849634.827 480 640 1920 921600
1738849633.946 1738849635.266 480 640 1920 921600
1738849634.079 1738849635.295 480 640 1920 921600
1738849634.112 1738849635.315 480 640 1920 921600
1738849634.446 1738849637.242 480 640 1920 921600
1738849636.346 1738849637.517 480 640 1920 921600
1738849636.446 1738849637.642 480 640 1920 921600
1738849636.646 1738849638.188 480 640 1920 921600
1738849636.846 1738849638.356 480 640 1920 921600
1738849637.146 1738849638.489 480 640 1920 921600
1738849639.346 1738849640.445 480 640 1920 921600
1738849639.412 1738849640.594 480 640 1920 921600
1738849639.712 1738849641.705 480 640 1920 921600
1738849639.779 1738849641.860 480 640 1920 921600
1738849640.079 1738849642.004 480 640 1920 921600
1738849640.812 1738849643.974 480 640 1920 921600
1738849642.979 1738849644.158 480 640 1920 921600
1738849643.046 1738849644.788 480 640 1920 921600
1738849643.379 1738849644.981 480 640 1920 921600
1738849643.946 1738849645.127 480 640 1920 921600
1738849643.979 1738849645.285 480 640 1920 921600
1738849644.179 1738849645.379 480 640 1920 921600
1738849644.679 1738849645.792 480 640 1920 921600
1738849644.712 1738849645.961 480 640 1920 921600
1738849644.946 1738849646.268 480 640 1920 921600
1738849644.979 1738849646.412 480 640 1920 921600
1738849645.046 1738849646.570 480 640 1920 921600
1738849645.079 1738849646.700 480 640 1920 921600
1738849645.912 1738849647.028 480 640 1920 921600
1738849645.946 1738849647.196 480 640 1920 921600
1738849646.512 1738849650.449 480 640 1920 921600
1738849649.579 1738849650.652 480 640 1920 921600
1738849649.946 1738849651.340 480 640 1920 921600
1738849650.079 1738849651.478 480 640 1920 921600
1738849650.379 1738849652.739 480 640 1920 921600
1738849651.779 1738849655.551 480 640 1920 921600
1738849654.412 1738849655.815 480 640 1920 921600
1738849655.112 1738849656.253 480 640 1920 921600
1738849655.146 1738849656.541 480 640 1920 921600
1738849656.412 1738849657.682 480 640 1920 921600
1738849656.712 1738849657.834 480 640 1920 921600
1738849656.746 1738849658.003 480 640 1920 921600
1738849656.812 1738849658.201 480 640 1920 921600
1738849656.846 1738849658.357 480 640 1920 921600
1738849657.046 1738849658.453 480 640 1920 921600
1738849657.079 1738849658.643 480 640 1920 921600
1738849659.446 1738849660.731 480 640 1920 921600
1738849659.846 1738849662.451 480 640 1920 921600
1738849659.879 1738849662.610 480 640 1920 921600
1738849660.112 1738849662.818 480 640 1920 921600
1738849661.646 1738849663.026 480 640 1920 921600
1738849662.446 1738849663.836 480 640 1920 921600
1738849662.712 1738849664.064 480 640 1920 921600
1738849663.046 1738849664.236 480 640 1920 921600
1738849663.346 1738849664.707 480 640 1920 921600
1738849663.412 1738849667.145 480 640 1920 921600
1738849663.646 1738849667.294 480 640 1920 921600
1738849666.346 1738849669.165 480 640 1920 921600
1738849668.212 1738849669.363 480 640 1920 921600
1738849668.246 1738849669.520 480 640 1920 921600
1738849669.779 1738849670.987 480 640 1920 921600
1738849670.112 1738849671.183 480 640 1920 921600
1738849670.212 1738849671.820 480 640 1920 921600
1738849670.812 1738849672.061 480 640 1920 921600
1738849671.246 1738849673.362 480 640 1920 921600
1738849671.279 1738849673.646 480 640 1920 921600
1738849672.579 1738849674.747 480 640 1920 921600
1738849673.612 1738849674.957 480 640 1920 921600
1738849673.779 1738849675.192 480 640 1920 921600
1738849674.046 1738849675.345 480 640 1920 921600
1738849674.146 1738849675.466 480 640 1920 921600
1738849674.379 1738849675.649 480 640 1920 921600
1738849674.479 1738849675.801 480 640 1920 921600
1738849674.612 1738849676.079 480 640 1920 921600
1738849675.246 1738849676.407 480 640 1920 921600
1738849675.279 1738849676.612 480 640 1920 921600
1738849681.446 1738849682.559 480 640 1920 921600
1738849681.512 1738849682.689 480 640 1920 921600
1738849681.579 1738849682.851 480 640 1920 921600
1738849681.879 1738849686.114 480 640 1920 921600
1738849681.912 1738849686.301 480 640 1920 921600
