msg_published_time msg_received_time uint32_height uint32_width uint32_step uint8_data_size.bytes
1738849625.379 1738849627.068 480 640 1280 614400
1738849629.579 1738849633.011 480 640 1280 614400
1738849632.779 1738849634.180 480 640 1280 614400
1738849634.112 1738849635.355 480 640 1280 614400
1738849634.479 1738849636.955 480 640 1280 614400
1738849636.612 1738849638.015 480 640 1280 614400
1738849637.012 1738849639.323 480 640 1280 614400
1738849639.679 1738849641.369 480 640 1280 614400
1738849639.712 1738849641.540 480 640 1280 614400
1738849643.179 1738849644.584 480 640 1280 614400
1738849644.312 1738849646.042 480 640 1280 614400
1738849644.812 1738849647.954 480 640 1280 614400
1738849646.046 1738849649.377 480 640 1280 614400
1738849650.146 1738849651.590 480 640 1280 614400
1738849651.279 1738849655.632 480 640 1280 614400
1738849656.879 1738849659.880 480 640 1280 614400
1738849659.412 1738849661.087 480 640 1280 614400
1738849659.912 1738849662.174 480 640 1280 614400
1738849661.446 1738849663.600 480 640 1280 614400
1738849663.179 1738849664.774 480 640 1280 614400
1738849665.946 1738849667.881 480 640 1280 614400
1738849668.612 1738849670.323 480 640 1280 614400
1738849668.779 1738849672.854 480 640 1280 614400
1738849670.879 1738849674.132 480 640 1280 614400
1738849674.279 1738849676.161 480 640 1280 614400
1738849679.346 1738849681.218 480 640 1280 614400
1738849681.312 1738849683.174 480 640 1280 614400
1738849681.679 1738849685.563 480 640 1280 614400
1738849684.379 1738849686.709 480 640 1280 614400
1738849686.012 1738849687.914 480 640 1280 614400
1738849686.246 1738849688.964 480 640 1280 614400
1738849691.012 1738849693.086 480 640 1280 614400
1738849691.346 1738849694.186 480 640 1280 614400
1738849695.012 1738849696.439 480 640 1280 614400
1738849695.146 1738849697.660 480 640 1280 614400
1738849697.112 1738849699.100 480 640 1280 614400
1738849698.112 1738849700.781 480 640 1280 614400
1738849701.413 1738849703.630 480 640 1280 614400
1738849702.479 1738849705.708 480 640 1280 614400
1738849704.813 1738849706.731 480 640 1280 614400
1738849706.046 1738849707.977 480 640 1280 614400
1738849707.846 1738849710.588 480 640 1280 614400
1738849710.279 1738849712.732 480 640 1280 614400
1738849710.713 1738849716.835 480 640 1280 614400
1738849716.779 1738849718.886 480 640 1280 614400
