msg_published_time msg_received_time uint32_height uint32_width uint32_step uint8_data_size.bytes
1739039337.508 1739039339.178 720 1280 3840 2764800
1739039338.875 1739039340.109 720 1280 3840 2764800
1739039340.308 1739039342.590 720 1280 3840 2764800
1739039341.708 1739039343.034 720 1280 3840 2764800
1739039342.875 1739039344.604 720 1280 3840 2764800
1739039344.242 1739039348.220 720 1280 3840 2764800
1739039346.975 1739039350.276 720 1280 3840 2764800
1739039349.441 1739039351.254 720 1280 3840 2764800
1739039350.475 1739039352.101 720 1280 3840 2764800
1739039351.208 1739039353.043 720 1280 3840 2764800
1739039351.441 1739039353.536 720 1280 3840 2764800
1739039354.175 1739039355.940 720 1280 3840 2764800
1739039354.275 1739039356.422 720 1280 3840 2764800
1739039354.308 1739039356.920 720 1280 3840 2764800
1739039354.475 1739039358.864 720 1280 3840 2764800
1739039358.208 1739039359.997 720 1280 3840 2764800
1739039360.408 1739039362.544 720 1280 3840 2764800
1739039361.275 1739039363.066 720 1280 3840 2764800
1739039362.675 1739039364.311 720 1280 3840 2764800
1739039364.475 1739039366.221 720 1280 3840 2764800
1739039365.041 1739039367.950 720 1280 3840 2764800
1739039367.941 1739039370.349 720 1280 3840 2764800
1739039368.108 1739039370.842 720 1280 3840 2764800
1739039369.541 1739039371.320 720 1280 3840 2764800
1739039370.641 1739039372.405 720 1280 3840 2764800
1739039370.841 1739039372.891 720 1280 3840 2764800
1739039373.241 1739039375.163 720 1280 3840 2764800
1739039373.775 1739039377.093 720 1280 3840 2764800
1739039375.608 1739039377.640 720 1280 3840 2764800
1739039376.375 1739039378.283 720 1280 3840 2764800
1739039377.941 1739039380.171 720 1280 3840 2764800
1739039377.975 1739039380.552 720 1280 3840 2764800
1739039378.208 1739039381.404 720 1280 3840 2764800
1739039378.341 1739039381.909 720 1280 3840 2764800
1739039381.375 1739039383.129 720 1280 3840 2764800
1739039381.775 1739039385.071 720 1280 3840 2764800
1739039383.675 1739039385.545 720 1280 3840 2764800
1739039384.841 1739039386.456 720 1280 3840 2764800
1739039385.341 1739039387.148 720 1280 3840 2764800
1739039386.775 1739039388.567 720 1280 3840 2764800
1739039387.175 1739039389.050 720 1280 3840 2764800
1739039390.041 1739039392.033 720 1280 3840 2764800
1739039393.841 1739039395.582 720 1280 3840 2764800
1739039394.241 1739039396.113 720 1280 3840 2764800
1739039396.441 1739039399.869 720 1280 3840 2764800
1739039398.941 1739039400.615 720 1280 3840 2764800
1739039399.341 1739039401.117 720 1280 3840 2764800
1739039399.908 1739039401.617 720 1280 3840 2764800
1739039400.974 1739039402.617 720 1280 3840 2764800
1739039401.108 1739039403.108 720 1280 3840 2764800
1739039404.308 1739039406.162 720 1280 3840 2764800
1739039404.908 1739039408.950 720 1280 3840 2764800
1739039407.774 1739039409.463 720 1280 3840 2764800
1739039408.241 1739039409.948 720 1280 3840 2764800
1739039408.708 1739039410.439 720 1280 3840 2764800
1739039412.308 1739039413.871 720 1280 3840 2764800
1739039412.441 1739039414.438 720 1280 3840 2764800
1739039413.941 1739039416.192 720 1280 3840 2764800
1739039414.074 1739039416.651 720 1280 3840 2764800
1739039417.408 1739039419.234 720 1280 3840 2764800
1739039417.874 1739039419.967 720 1280 3840 2764800
1739039418.741 1739039420.804 720 1280 3840 2764800
1739039421.441 1739039423.377 720 1280 3840 2764800
1739039423.274 1739039425.614 720 1280 3840 2764800
1739039423.341 1739039425.910 720 1280 3840 2764800
1739039424.874 1739039426.398 720 1280 3840 2764800
1739039428.174 1739039430.085 720 1280 3840 2764800
1739039429.774 1739039432.913 720 1280 3840 2764800
1739039431.874 1739039433.564 720 1280 3840 2764800
1739039432.874 1739039434.672 720 1280 3840 2764800
1739039434.008 1739039435.975 720 1280 3840 2764800
1739039436.474 1739039438.077 720 1280 3840 2764800
1739039436.508 1739039438.552 720 1280 3840 2764800
1739039436.708 1739039439.863 720 1280 3840 2764800
1739039438.541 1739039440.358 720 1280 3840 2764800
1739039440.208 1739039443.087 720 1280 3840 2764800
1739039441.741 1739039443.552 720 1280 3840 2764800
1739039443.041 1739039445.259 720 1280 3840 2764800
1739039444.174 1739039446.878 720 1280 3840 2764800
1739039445.474 1739039447.355 720 1280 3840 2764800
1739039446.641 1739039450.040 720 1280 3840 2764800
1739039448.974 1739039450.832 720 1280 3840 2764800
1739039451.374 1739039456.273 720 1280 3840 2764800
1739039455.574 1739039457.219 720 1280 3840 2764800
1739039456.374 1739039457.919 720 1280 3840 2764800
1739039458.907 1739039461.122 720 1280 3840 2764800
1739039459.874 1739039461.743 720 1280 3840 2764800
1739039460.907 1739039463.236 720 1280 3840 2764800
1739039465.841 1739039467.517 720 1280 3840 2764800
1739039466.341 1739039468.131 720 1280 3840 2764800
1739039466.874 1739039468.606 720 1280 3840 2764800
1739039468.874 1739039471.796 720 1280 3840 2764800
1739039470.474 1739039472.380 720 1280 3840 2764800
1739039473.641 1739039475.314 720 1280 3840 2764800
1739039474.207 1739039475.829 720 1280 3840 2764800
1739039474.774 1739039476.569 720 1280 3840 2764800
1739039476.874 1739039481.557 720 1280 3840 2764800
1739039480.174 1739039481.944 720 1280 3840 2764800
1739039484.341 1739039486.669 720 1280 3840 2764800
1739039485.341 1739039487.962 720 1280 3840 2764800
1739039487.140 1739039488.864 720 1280 3840 2764800
1739039487.240 1739039489.388 720 1280 3840 2764800
1739039487.574 1739039489.979 720 1280 3840 2764800
1739039492.774 1739039494.595 720 1280 3840 2764800
1739039493.474 1739039495.133 720 1280 3840 2764800
1739039494.440 1739039496.517 720 1280 3840 2764800
1739039495.274 1739039496.996 720 1280 3840 2764800
1739039497.674 1739039499.725 720 1280 3840 2764800
1739039497.940 1739039500.063 720 1280 3840 2764800
1739039499.140 1739039501.041 720 1280 3840 2764800
1739039500.107 1739039502.198 720 1280 3840 2764800
1739039501.707 1739039504.287 720 1280 3840 2764800
1739039503.040 1739039504.760 720 1280 3840 2764800
1739039505.307 1739039507.376 720 1280 3840 2764800
1739039505.607 1739039507.867 720 1280 3840 2764800
1739039507.774 1739039509.807 720 1280 3840 2764800
1739039507.840 1739039510.289 720 1280 3840 2764800
1739039507.874 1739039510.765 720 1280 3840 2764800
1739039507.907 1739039511.263 720 1280 3840 2764800
1739039507.974 1739039511.751 720 1280 3840 2764800
1739039511.674 1739039513.672 720 1280 3840 2764800
1739039512.674 1739039514.135 720 1280 3840 2764800
1739039514.674 1739039516.365 720 1280 3840 2764800
1739039515.074 1739039516.835 720 1280 3840 2764800
1739039516.140 1739039521.320 720 1280 3840 2764800
1739039520.640 1739039522.270 720 1280 3840 2764800
1739039521.707 1739039524.301 720 1280 3840 2764800
1739039523.240 1739039525.198 720 1280 3840 2764800
1739039524.440 1739039526.443 720 1280 3840 2764800
1739039524.774 1739039526.759 720 1280 3840 2764800
1739039526.374 1739039528.106 720 1280 3840 2764800
1739039527.574 1739039529.309 720 1280 3840 2764800
1739039528.107 1739039529.770 720 1280 3840 2764800
