msg_published_time msg_received_time uint32_height uint32_width uint32_step uint8_data_size.bytes
1738849078.593 1738849080.290 720 1280 3840 2764800
1738849080.160 1738849081.794 720 1280 3840 2764800
1738849080.226 1738849082.114 720 1280 3840 2764800
1738849081.793 1738849083.579 720 1280 3840 2764800
1738849083.193 1738849084.658 720 1280 3840 2764800
1738849085.360 1738849086.869 720 1280 3840 2764800
1738849086.760 1738849088.271 720 1280 3840 2764800
1738849087.293 1738849089.030 720 1280 3840 2764800
1738849088.127 1738849089.805 720 1280 3840 2764800
1738849088.460 1738849090.165 720 1280 3840 2764800
1738849089.793 1738849092.607 720 1280 3840 2764800
1738849089.827 1738849093.070 720 1280 3840 2764800
1738849091.560 1738849093.528 720 1280 3840 2764800
1738849092.760 1738849094.913 720 1280 3840 2764800
1738849093.827 1738849095.378 720 1280 3840 2764800
1738849094.693 1738849096.574 720 1280 3840 2764800
1738849095.360 1738849097.076 720 1280 3840 2764800
1738849096.560 1738849098.233 720 1280 3840 2764800
1738849097.060 1738849098.702 720 1280 3840 2764800
1738849098.627 1738849100.412 720 1280 3840 2764800
1738849098.793 1738849100.958 720 1280 3840 2764800
1738849100.627 1738849104.711 720 1280 3840 2764800
1738849100.660 1738849105.313 720 1280 3840 2764800
1738849103.393 1738849106.070 720 1280 3840 2764800
1738849104.827 1738849106.559 720 1280 3840 2764800
1738849105.960 1738849108.764 720 1280 3840 2764800
1738849110.993 1738849113.755 720 1280 3840 2764800
1738849112.560 1738849114.127 720 1280 3840 2764800
1738849113.593 1738849115.737 720 1280 3840 2764800
1738849113.693 1738849116.185 720 1280 3840 2764800
1738849114.527 1738849116.621 720 1280 3840 2764800
1738849116.327 1738849118.341 720 1280 3840 2764800
1738849116.560 1738849118.766 720 1280 3840 2764800
1738849118.660 1738849120.451 720 1280 3840 2764800
1738849119.027 1738849120.912 720 1280 3840 2764800
1738849119.060 1738849121.562 720 1280 3840 2764800
1738849123.127 1738849124.881 720 1280 3840 2764800
1738849123.560 1738849125.249 720 1280 3840 2764800
1738849124.160 1738849125.788 720 1280 3840 2764800
1738849124.627 1738849126.436 720 1280 3840 2764800
1738849126.427 1738849127.985 720 1280 3840 2764800
1738849127.127 1738849128.824 720 1280 3840 2764800
1738849127.460 1738849129.265 720 1280 3840 2764800
1738849127.560 1738849129.728 720 1280 3840 2764800
1738849129.693 1738849132.119 720 1280 3840 2764800
1738849130.827 1738849132.492 720 1280 3840 2764800
1738849131.960 1738849134.114 720 1280 3840 2764800
1738849132.693 1738849134.629 720 1280 3840 2764800
1738849133.393 1738849135.185 720 1280 3840 2764800
1738849133.960 1738849135.942 720 1280 3840 2764800
1738849134.693 1738849136.486 720 1280 3840 2764800
1738849135.493 1738849137.517 720 1280 3840 2764800
1738849137.493 1738849140.155 720 1280 3840 2764800
1738849137.560 1738849140.633 720 1280 3840 2764800
1738849137.760 1738849141.152 720 1280 3840 2764800
1738849140.060 1738849141.624 720 1280 3840 2764800
1738849141.327 1738849142.659 720 1280 3840 2764800
1738849141.427 1738849143.232 720 1280 3840 2764800
1738849141.527 1738849143.732 720 1280 3840 2764800
1738849141.660 1738849144.196 720 1280 3840 2764800
1738849141.693 1738849144.796 720 1280 3840 2764800
1738849145.093 1738849146.888 720 1280 3840 2764800
1738849145.327 1738849147.366 720 1280 3840 2764800
1738849145.527 1738849147.963 720 1280 3840 2764800
1738849147.127 1738849149.653 720 1280 3840 2764800
1738849147.527 1738849150.320 720 1280 3840 2764800
1738849148.427 1738849150.700 720 1280 3840 2764800
1738849149.493 1738849151.233 720 1280 3840 2764800
1738849150.427 1738849152.046 720 1280 3840 2764800
1738849151.860 1738849153.526 720 1280 3840 2764800
1738849152.993 1738849155.436 720 1280 3840 2764800
1738849153.093 1738849155.852 720 1280 3840 2764800
1738849155.260 1738849157.939 720 1280 3840 2764800
1738849155.327 1738849158.529 720 1280 3840 2764800
1738849155.394 1738849159.036 720 1280 3840 2764800
1738849158.560 1738849160.494 720 1280 3840 2764800
1738849159.060 1738849160.803 720 1280 3840 2764800
1738849161.793 1738849163.969 720 1280 3840 2764800
1738849161.827 1738849164.357 720 1280 3840 2764800
1738849162.560 1738849164.825 720 1280 3840 2764800
1738849164.060 1738849166.703 720 1280 3840 2764800
1738849166.094 1738849167.997 720 1280 3840 2764800
1738849166.494 1738849170.904 720 1280 3840 2764800
1738849170.127 1738849171.745 720 1280 3840 2764800
1738849171.327 1738849173.081 720 1280 3840 2764800
1738849171.494 1738849173.647 720 1280 3840 2764800
1738849172.394 1738849174.115 720 1280 3840 2764800
1738849173.560 1738849175.243 720 1280 3840 2764800
1738849174.794 1738849177.263 720 1280 3840 2764800
1738849174.827 1738849177.904 720 1280 3840 2764800
