msg_published_time msg_received_time uint8_data_size.bytes
1738849078.460 1738849078.958 186799
1738849078.760 1738849079.442 186706
1738849079.260 1738849080.235 186296
1738849079.926 1738849080.763 186284
1738849080.060 1738849080.878 186444
1738849080.260 1738849081.054 186320
1738849080.293 1738849081.263 186326
1738849080.460 1738849082.105 186278
1738849080.493 1738849082.106 186355
1738849081.426 1738849082.224 185915
1738849081.460 1738849082.245 185964
1738849081.726 1738849082.425 186026
1738849081.793 1738849082.499 185591
1738849081.826 1738849082.805 185791
1738849082.093 1738849083.423 185802
1738849082.360 1738849083.423 185688
1738849082.793 1738849083.728 185403
1738849082.860 1738849083.747 185254
1738849082.960 1738849083.792 185416
1738849082.993 1738849083.848 185453
1738849083.060 1738849083.854 185551
1738849083.093 1738849084.235 185502
1738849083.693 1738849084.863 185569
1738849083.960 1738849085.130 185356
1738849084.093 1738849085.164 185437
1738849084.226 1738849085.216 185045
1738849084.260 1738849085.238 185127
1738849084.360 1738849085.299 185448
1738849084.427 1738849085.367 185248
1738849084.493 1738849085.403 185001
1738849084.693 1738849085.516 184937
1738849084.827 1738849085.836 185216
1738849086.093 1738849086.937 184678
1738849086.127 1738849087.187 184806
1738849086.260 1738849087.511 184825
1738849086.693 1738849087.824 184658
1738849087.193 1738849088.504 184574
1738849088.027 1738849089.398 184626
1738849089.927 1738849090.772 183753
1738849092.360 1738849093.741 183455
1738849092.760 1738849094.328 183211
1738849093.360 1738849094.534 182981
1738849093.693 1738849095.126 182479
1738849094.727 1738849095.485 182603
1738849094.793 1738849095.814 182815
1738849094.827 1738849096.014 182588
1738849094.860 1738849096.022 182727
1738849094.993 1738849097.057 182503
1738849095.093 1738849097.063 182642
1738849096.160 1738849097.264 182681
1738849096.260 1738849097.568 182333
1738849096.393 1738849097.582 182150
1738849096.660 1738849097.769 182148
1738849096.860 1738849098.691 182559
1738849097.593 1738849098.692 181944
1738849097.660 1738849098.697 182209
1738849097.860 1738849098.850 182393
1738849097.960 1738849098.873 182018
1738849097.993 1738849098.930 182093
1738849098.093 1738849098.978 181946
1738849098.360 1738849099.173 181730
1738849098.393 1738849099.350 181837
1738849098.460 1738849099.376 181750
1738849098.493 1738849099.386 182144
1738849098.627 1738849099.494 182256
1738849098.660 1738849099.635 181882
1738849098.793 1738849099.900 181974
1738849100.093 1738849101.074 181998
1738849100.427 1738849101.257 181805
1738849100.660 1738849101.677 181041
1738849100.827 1738849102.259 181092
1738849101.260 1738849102.959 182061
1738849102.160 1738849103.481 181217
1738849102.260 1738849103.681 181217
1738849102.427 1738849103.881 180996
1738849102.693 1738849103.922 181229
1738849102.827 1738849104.310 181126
1738849103.393 1738849105.410 180591
1738849105.427 1738849106.540 180686
1738849105.527 1738849106.579 180799
1738849105.693 1738849106.669 180415
1738849106.693 1738849107.825 180229
1738849106.727 1738849108.002 180691
1738849106.960 1738849108.333 180751
1738849107.027 1738849108.754 180422
1738849107.160 1738849108.755 180660
1738849107.393 1738849108.961 180163
1738849108.293 1738849109.906 180541
1738849108.927 1738849109.988 180306
1738849109.160 1738849110.120 180585
1738849109.493 1738849110.293 180285
1738849109.627 1738849110.361 180203
1738849109.693 1738849110.608 179971
1738849110.627 1738849111.578 179922
1738849110.693 1738849111.778 179988
1738849110.727 1738849111.986 180140
1738849110.993 1738849112.179 179620
1738849111.060 1738849112.226 179546
1738849111.793 1738849112.926 179597
1738849111.827 1738849112.966 180131
1738849112.060 1738849113.069 179812
1738849112.127 1738849113.134 179927
1738849112.227 1738849113.146 179637
1738849112.560 1738849114.119 179571
1738849113.293 1738849114.218 179409
1738849113.360 1738849114.426 179801
1738849113.393 1738849114.644 179439
1738849113.527 1738849114.681 179275
1738849113.660 1738849114.732 179413
