msg_published_time msg_received_time uint32_height uint32_width uint32_step uint8_data_size.bytes
1738849078.126 1738849078.677 480 640 1920 921600
1738849078.160 1738849078.946 480 640 1920 921600
1738849078.326 1738849079.143 480 640 1920 921600
1738849078.593 1738849080.422 480 640 1920 921600
1738849079.560 1738849080.563 480 640 1920 921600
1738849079.760 1738849080.826 480 640 1920 921600
1738849080.193 1738849082.773 480 640 1920 921600
1738849080.493 1738849082.809 480 640 1920 921600
1738849082.493 1738849083.556 480 640 1920 921600
1738849082.526 1738849083.721 480 640 1920 921600
1738849082.793 1738849084.049 480 640 1920 921600
1738849083.126 1738849084.905 480 640 1920 921600
1738849083.693 1738849085.022 480 640 1920 921600
1738849084.093 1738849085.809 480 640 1920 921600
1738849084.727 1738849085.945 480 640 1920 921600
1738849084.760 1738849086.090 480 640 1920 921600
1738849085.093 1738849086.339 480 640 1920 921600
1738849085.493 1738849087.176 480 640 1920 921600
1738849086.260 1738849087.405 480 640 1920 921600
1738849086.293 1738849087.565 480 640 1920 921600
1738849086.660 1738849087.727 480 640 1920 921600
1738849087.093 1738849088.410 480 640 1920 921600
1738849087.693 1738849089.199 480 640 1920 921600
1738849089.427 1738849090.368 480 640 1920 921600
1738849089.693 1738849091.156 480 640 1920 921600
1738849089.827 1738849091.186 480 640 1920 921600
1738849089.893 1738849091.248 480 640 1920 921600
1738849090.060 1738849091.375 480 640 1920 921600
1738849090.193 1738849091.505 480 640 1920 921600
1738849090.527 1738849091.666 480 640 1920 921600
1738849090.627 1738849091.787 480 640 1920 921600
1738849090.660 1738849091.941 480 640 1920 921600
1738849090.827 1738849092.091 480 640 1920 921600
1738849092.327 1738849093.643 480 640 1920 921600
1738849092.627 1738849093.788 480 640 1920 921600
1738849092.660 1738849093.935 480 640 1920 921600
1738849092.893 1738849094.200 480 640 1920 921600
1738849093.027 1738849094.311 480 640 1920 921600
1738849094.660 1738849095.655 480 640 1920 921600
1738849094.693 1738849095.834 480 640 1920 921600
1738849094.860 1738849096.023 480 640 1920 921600
1738849094.993 1738849097.303 480 640 1920 921600
1738849095.027 1738849097.463 480 640 1920 921600
1738849096.560 1738849099.349 480 640 1920 921600
1738849098.760 1738849100.440 480 640 1920 921600
1738849100.327 1738849101.482 480 640 1920 921600
1738849100.360 1738849101.643 480 640 1920 921600
1738849100.627 1738849101.870 480 640 1920 921600
1738849100.660 1738849102.032 480 640 1920 921600
1738849100.960 1738849102.327 480 640 1920 921600
1738849100.993 1738849102.487 480 640 1920 921600
1738849101.060 1738849102.623 480 640 1920 921600
1738849101.527 1738849102.758 480 640 1920 921600
1738849101.660 1738849103.024 480 640 1920 921600
1738849101.893 1738849103.280 480 640 1920 921600
1738849102.160 1738849103.495 480 640 1920 921600
1738849102.427 1738849103.710 480 640 1920 921600
1738849102.693 1738849103.922 480 640 1920 921600
1738849102.727 1738849104.103 480 640 1920 921600
1738849104.093 1738849105.389 480 640 1920 921600
1738849104.127 1738849105.535 480 640 1920 921600
1738849105.593 1738849106.854 480 640 1920 921600
1738849105.693 1738849107.063 480 640 1920 921600
