msg_published_time msg_received_time uint32_height uint32_width uint32_step uint8_data_size.bytes
1738849078.193 1738849079.539 480 640 1280 614400
1738849078.293 1738849080.121 480 640 1280 614400
1738849078.593 1738849080.159 480 640 1280 614400
1738849079.926 1738849081.653 480 640 1280 614400
1738849081.260 1738849082.896 480 640 1280 614400
1738849082.526 1738849084.098 480 640 1280 614400
1738849082.960 1738849085.103 480 640 1280 614400
1738849083.926 1738849086.164 480 640 1280 614400
1738849085.693 1738849087.246 480 640 1280 614400
1738849086.493 1738849088.520 480 640 1280 614400
1738849086.893 1738849090.771 480 640 1280 614400
1738849089.660 1738849094.034 480 640 1280 614400
1738849092.527 1738849095.495 480 640 1280 614400
1738849094.493 1738849096.578 480 640 1280 614400
1738849095.093 1738849097.563 480 640 1280 614400
1738849097.393 1738849099.637 480 640 1280 614400
1738849099.193 1738849100.970 480 640 1280 614400
1738849100.060 1738849102.157 480 640 1280 614400
1738849100.460 1738849103.116 480 640 1280 614400
1738849102.760 1738849104.824 480 640 1280 614400
1738849104.693 1738849107.171 480 640 1280 614400
1738849106.493 1738849108.206 480 640 1280 614400
1738849107.693 1738849109.212 480 640 1280 614400
1738849108.060 1738849112.517 480 640 1280 614400
1738849113.027 1738849114.653 480 640 1280 614400
1738849115.993 1738849117.589 480 640 1280 614400
1738849118.060 1738849119.706 480 640 1280 614400
1738849118.593 1738849120.922 480 640 1280 614400
1738849118.793 1738849122.438 480 640 1280 614400
1738849120.960 1738849126.408 480 640 1280 614400
1738849126.227 1738849127.427 480 640 1280 614400
1738849131.727 1738849135.995 480 640 1280 614400
1738849134.127 1738849136.572 480 640 1280 614400
1738849137.260 1738849141.887 480 640 1280 614400
1738849144.493 1738849145.998 480 640 1280 614400
1738849144.560 1738849147.481 480 640 1280 614400
1738849146.960 1738849148.723 480 640 1280 614400
1738849147.894 1738849150.126 480 640 1280 614400
1738849149.727 1738849152.051 480 640 1280 614400
1738849151.660 1738849153.485 480 640 1280 614400
1738849152.394 1738849154.747 480 640 1280 614400
1738849152.794 1738849155.895 480 640 1280 614400
1738849154.394 1738849156.915 480 640 1280 614400
1738849156.127 1738849157.971 480 640 1280 614400
1738849158.294 1738849160.237 480 640 1280 614400
1738849161.727 1738849163.564 480 640 1280 614400
1738849163.594 1738849165.287 480 640 1280 614400
1738849164.794 1738849166.707 480 640 1280 614400
1738849165.127 1738849168.004 480 640 1280 614400
1738849170.660 1738849172.271 480 640 1280 614400
1738849172.594 1738849174.156 480 640 1280 614400
1738849173.227 1738849175.266 480 640 1280 614400
1738849173.960 1738849176.450 480 640 1280 614400
1738849176.594 1738849178.472 480 640 1280 614400
