msg_published_time msg_received_time map_load_time.secs update_time.secs uint32_metadata.size_x uint32_metadata.size_y uint8_data_size.bytes
1738850425.035 1738850425.766 0.000 0.000 60 60 3600
1738850426.235 1738850427.209 0.000 0.000 60 60 3600
1738850426.835 1738850427.903 0.000 0.000 60 60 3600
1738850427.435 1738850428.131 0.000 0.000 60 60 3600
1738850428.635 1738850429.476 0.000 0.000 60 60 3600
1738850429.235 1738850430.253 0.000 0.000 60 60 3600
1738850430.435 1738850430.980 0.000 0.000 60 60 3600
1738850432.836 1738850433.481 0.000 0.000 60 60 3600
1738850433.435 1738850434.631 0.000 0.000 60 60 3600
1738850434.036 1738850434.702 0.000 0.000 60 60 3600
1738850435.235 1738850435.830 0.000 0.000 60 60 3600
1738850436.435 1738850436.935 0.000 0.000 60 60 3600
1738850437.035 1738850437.707 0.000 0.000 60 60 3600
1738850437.635 1738850438.350 0.000 0.000 60 60 3600
1738850438.837 1738850439.424 0.000 0.000 60 60 3600
1738850439.435 1738850440.231 0.000 0.000 60 60 3600
1738850440.035 1738850441.074 0.000 0.000 60 60 3600
1738850440.636 1738850441.424 0.000 0.000 60 60 3600
1738850441.235 1738850442.103 0.000 0.000 60 60 3600
1738850441.835 1738850442.408 0.000 0.000 60 60 3600
1738850442.435 1738850443.108 0.000 0.000 60 60 3600
1738850443.635 1738850443.956 0.000 0.000 60 60 3600
1738850444.836 1738850445.800 0.000 0.000 60 60 3600
1738850445.436 1738850446.567 0.000 0.000 60 60 3600
1738850446.036 1738850446.754 0.000 0.000 60 60 3600
1738850447.835 1738850448.740 0.000 0.000 60 60 3600
1738850448.436 1738850449.225 0.000 0.000 60 60 3600
1738850449.035 1738850449.548 0.000 0.000 60 60 3600
1738850450.235 1738850450.801 0.000 0.000 60 60 3600
1738850450.836 1738850451.303 0.000 0.000 60 60 3600
1738850451.436 1738850452.263 0.000 0.000 60 60 3600
1738850452.635 1738850453.554 0.000 0.000 60 60 3600
1738850453.235 1738850454.279 0.000 0.000 60 60 3600
1738850453.836 1738850454.721 0.000 0.000 60 60 3600
1738850455.036 1738850455.783 0.000 0.000 60 60 3600
1738850458.036 1738850459.131 0.000 0.000 60 60 3600
1738850459.235 1738850460.167 0.000 0.000 60 60 3600
1738850459.835 1738850461.010 0.000 0.000 60 60 3600
1738850461.036 1738850461.578 0.000 0.000 60 60 3600
1738850461.636 1738850462.182 0.000 0.000 60 60 3600
1738850462.236 1738850462.830 0.000 0.000 60 60 3600
1738850462.836 1738850463.564 0.000 0.000 60 60 3600
1738850463.436 1738850464.232 0.000 0.000 60 60 3600
1738850464.036 1738850465.017 0.000 0.000 60 60 3600
1738850464.638 1738850465.265 0.000 0.000 60 60 3600
1738850465.235 1738850465.975 0.000 0.000 60 60 3600
1738850465.836 1738850466.451 0.000 0.000 60 60 3600
1738850467.036 1738850467.793 0.000 0.000 60 60 3600
1738850467.636 1738850468.750 0.000 0.000 60 60 3600
1738850468.235 1738850468.849 0.000 0.000 60 60 3600
1738850470.036 1738850471.099 0.000 0.000 60 60 3600
1738850470.636 1738850471.275 0.000 0.000 60 60 3600
1738850471.836 1738850472.315 0.000 0.000 60 60 3600
1738850472.435 1738850473.598 0.000 0.000 60 60 3600
1738850473.636 1738850474.259 0.000 0.000 60 60 3600
1738850474.836 1738850475.881 0.000 0.000 60 60 3600
1738850475.436 1738850476.270 0.000 0.000 60 60 3600
1738850477.236 1738850478.182 0.000 0.000 60 60 3600
1738850478.436 1738850479.414 0.000 0.000 60 60 3600
1738850479.036 1738850479.958 0.000 0.000 60 60 3600
1738850479.636 1738850480.429 0.000 0.000 60 60 3600
1738850480.236 1738850480.982 0.000 0.000 60 60 3600
1738850480.836 1738850481.732 0.000 0.000 60 60 3600
1738850482.036 1738850482.906 0.000 0.000 60 60 3600
1738850482.636 1738850483.921 0.000 0.000 60 60 3600
1738850483.836 1738850484.463 0.000 0.000 60 60 3600
1738850484.436 1738850485.091 0.000 0.000 60 60 3600
1738850485.037 1738850485.899 0.000 0.000 60 60 3600
1738850486.236 1738850487.044 0.000 0.000 60 60 3600
1738850486.836 1738850487.755 0.000 0.000 60 60 3600
1738850487.437 1738850487.969 0.000 0.000 60 60 3600
1738850488.035 1738850489.038 0.000 0.000 60 60 3600
1738850488.635 1738850489.125 0.000 0.000 60 60 3600
1738850489.835 1738850490.195 0.000 0.000 60 60 3600
1738850490.436 1738850491.549 0.000 0.000 60 60 3600
1738850492.236 1738850492.833 0.000 0.000 60 60 3600
1738850492.837 1738850493.589 0.000 0.000 60 60 3600
1738850493.435 1738850494.259 0.000 0.000 60 60 3600
1738850494.636 1738850495.208 0.000 0.000 60 60 3600
1738850495.235 1738850495.964 0.000 0.000 60 60 3600
1738850495.836 1738850496.646 0.000 0.000 60 60 3600
1738850496.435 1738850497.330 0.000 0.000 60 60 3600
1738850497.636 1738850498.487 0.000 0.000 60 60 3600
1738850498.236 1738850499.053 0.000 0.000 60 60 3600
1738850498.836 1738850499.753 0.000 0.000 60 60 3600
1738850499.436 1738850500.417 0.000 0.000 60 60 3600
1738850500.636 1738850501.670 0.000 0.000 60 60 3600
1738850501.836 1738850502.389 0.000 0.000 60 60 3600
1738850502.436 1738850503.054 0.000 0.000 60 60 3600
1738850503.036 1738850504.233 0.000 0.000 60 60 3600
1738850503.638 1738850504.234 0.000 0.000 60 60 3600
1738850504.237 1738850505.079 0.000 0.000 60 60 3600
1738850504.836 1738850505.911 0.000 0.000 60 60 3600
1738850505.436 1738850506.017 0.000 0.000 60 60 3600
1738850507.237 1738850508.042 0.000 0.000 60 60 3600
1738850507.835 1738850508.765 0.000 0.000 60 60 3600
1738850508.436 1738850509.106 0.000 0.000 60 60 3600
1738850509.036 1738850509.831 0.000 0.000 60 60 3600
1738850509.636 1738850510.318 0.000 0.000 60 60 3600
1738850510.235 1738850510.851 0.000 0.000 60 60 3600
1738850511.436 1738850512.397 0.000 0.000 60 60 3600
1738850512.636 1738850513.750 0.000 0.000 60 60 3600
1738850513.237 1738850514.292 0.000 0.000 60 60 3600
1738850513.837 1738850514.586 0.000 0.000 60 60 3600
1738850515.035 1738850515.522 0.000 0.000 60 60 3600
1738850515.637 1738850516.748 0.000 0.000 60 60 3600
1738850517.435 1738850518.432 0.000 0.000 60 60 3600
1738850518.036 1738850518.571 0.000 0.000 60 60 3600
1738850519.836 1738850520.394 0.000 0.000 60 60 3600
1738850521.036 1738850521.768 0.000 0.000 60 60 3600
1738850521.636 1738850522.370 0.000 0.000 60 60 3600
1738850522.236 1738850522.567 0.000 0.000 60 60 3600
1738850522.836 1738850523.674 0.000 0.000 60 60 3600
1738850523.435 1738850524.619 0.000 0.000 60 60 3600
1738850524.037 1738850524.917 0.000 0.000 60 60 3600
1738850524.635 1738850525.575 0.000 0.000 60 60 3600
1738850525.836 1738850526.291 0.000 0.000 60 60 3600
1738850526.435 1738850527.274 0.000 0.000 60 60 3600
1738850527.035 1738850527.690 0.000 0.000 60 60 3600
1738850527.636 1738850528.490 0.000 0.000 60 60 3600
