msg_published_time msg_received_time uint32_height uint32_width uint32_step uint8_data_size.bytes
1738858143.946 1738858144.637 480 640 1280 614400
1738858144.079 1738858144.768 480 640 1280 614400
1738858144.279 1738858144.892 480 640 1280 614400
1738858144.479 1738858144.992 480 640 1280 614400
1738858144.513 1738858145.095 480 640 1280 614400
1738858144.579 1738858145.206 480 640 1280 614400
1738858144.646 1738858145.360 480 640 1280 614400
1738858144.779 1738858145.475 480 640 1280 614400
1738858144.879 1738858145.556 480 640 1280 614400
1738858145.013 1738858145.663 480 640 1280 614400
1738858145.146 1738858145.757 480 640 1280 614400
1738858145.179 1738858145.855 480 640 1280 614400
1738858145.346 1738858145.963 480 640 1280 614400
1738858145.413 1738858146.044 480 640 1280 614400
1738858145.479 1738858146.141 480 640 1280 614400
1738858145.679 1738858146.243 480 640 1280 614400
1738858146.013 1738858146.438 480 640 1280 614400
1738858146.113 1738858146.642 480 640 1280 614400
1738858146.313 1738858146.843 480 640 1280 614400
1738858146.546 1738858147.052 480 640 1280 614400
1738858146.713 1738858147.260 480 640 1280 614400
1738858146.913 1738858147.458 480 640 1280 614400
1738858147.113 1738858147.649 480 640 1280 614400
1738858147.346 1738858147.856 480 640 1280 614400
1738858147.546 1738858148.073 480 640 1280 614400
1738858147.779 1738858148.253 480 640 1280 614400
1738858147.946 1738858148.475 480 640 1280 614400
1738858148.113 1738858148.662 480 640 1280 614400
1738858148.346 1738858148.865 480 640 1280 614400
1738858148.579 1738858149.066 480 640 1280 614400
1738858148.813 1738858149.264 480 640 1280 614400
1738858148.946 1738858149.473 480 640 1280 614400
1738858149.146 1738858149.669 480 640 1280 614400
1738858149.413 1738858149.866 480 640 1280 614400
1738858149.546 1738858150.072 480 640 1280 614400
1738858149.779 1738858150.269 480 640 1280 614400
1738858150.046 1738858150.475 480 640 1280 614400
1738858150.113 1738858150.676 480 640 1280 614400
1738858150.379 1738858150.896 480 640 1280 614400
1738858150.579 1738858151.103 480 640 1280 614400
1738858150.813 1738858151.280 480 640 1280 614400
1738858150.979 1738858151.486 480 640 1280 614400
1738858151.179 1738858151.680 480 640 1280 614400
1738858151.413 1738858151.885 480 640 1280 614400
1738858151.579 1738858152.085 480 640 1280 614400
1738858151.779 1738858152.297 480 640 1280 614400
1738858151.979 1738858152.493 480 640 1280 614400
1738858152.246 1738858152.693 480 640 1280 614400
1738858152.379 1738858152.897 480 640 1280 614400
1738858152.613 1738858153.096 480 640 1280 614400
1738858152.813 1738858153.298 480 640 1280 614400
1738858152.946 1738858153.498 480 640 1280 614400
1738858153.179 1738858153.698 480 640 1280 614400
1738858153.379 1738858153.902 480 640 1280 614400
1738858153.613 1738858154.107 480 640 1280 614400
1738858153.813 1738858154.314 480 640 1280 614400
1738858154.013 1738858154.508 480 640 1280 614400
1738858154.179 1738858154.713 480 640 1280 614400
1738858154.379 1738858154.909 480 640 1280 614400
1738858154.546 1738858155.115 480 640 1280 614400
1738858154.846 1738858155.314 480 640 1280 614400
1738858154.979 1738858155.513 480 640 1280 614400
1738858155.146 1738858155.721 480 640 1280 614400
1738858155.179 1738858155.812 480 640 1280 614400
1738858155.513 1738858155.924 480 640 1280 614400
1738858155.579 1738858156.127 480 640 1280 614400
1738858155.779 1738858156.320 480 640 1280 614400
1738858156.046 1738858156.527 480 640 1280 614400
1738858156.279 1738858156.726 480 640 1280 614400
1738858156.413 1738858156.925 480 640 1280 614400
1738858156.646 1738858157.237 480 640 1280 614400
1738858156.879 1738858157.436 480 640 1280 614400
1738858157.013 1738858157.546 480 640 1280 614400
1738858157.179 1738858157.736 480 640 1280 614400
1738858157.513 1738858157.933 480 640 1280 614400
1738858157.613 1738858158.143 480 640 1280 614400
1738858157.813 1738858158.341 480 640 1280 614400
1738858158.079 1738858158.541 480 640 1280 614400
1738858158.279 1738858158.737 480 640 1280 614400
1738858158.446 1738858158.946 480 640 1280 614400
1738858158.646 1738858159.150 480 640 1280 614400
1738858158.879 1738858159.367 480 640 1280 614400
1738858159.113 1738858159.550 480 640 1280 614400
1738858159.213 1738858159.745 480 640 1280 614400
1738858159.446 1738858159.954 480 640 1280 614400
1738858159.679 1738858160.148 480 640 1280 614400
1738858159.746 1738858160.357 480 640 1280 614400
1738858160.046 1738858160.553 480 640 1280 614400
1738858160.213 1738858160.754 480 640 1280 614400
1738858160.513 1738858160.970 480 640 1280 614400
1738858160.679 1738858161.155 480 640 1280 614400
1738858160.879 1738858161.370 480 640 1280 614400
1738858161.046 1738858161.569 480 640 1280 614400
1738858161.246 1738858161.763 480 640 1280 614400
1738858161.513 1738858161.964 480 640 1280 614400
1738858161.613 1738858162.162 480 640 1280 614400
1738858161.846 1738858162.377 480 640 1280 614400
1738858162.113 1738858162.568 480 640 1280 614400
1738858162.246 1738858162.777 480 640 1280 614400
1738858162.446 1738858162.971 480 640 1280 614400
1738858162.679 1738858163.172 480 640 1280 614400
1738858162.913 1738858163.384 480 640 1280 614400
1738858163.013 1738858163.592 480 640 1280 614400
1738858163.279 1738858163.789 480 640 1280 614400
1738858163.513 1738858163.989 480 640 1280 614400
1738858163.679 1738858164.182 480 640 1280 614400
1738858163.846 1738858164.384 480 640 1280 614400
1738858164.046 1738858164.586 480 640 1280 614400
1738858164.279 1738858164.799 480 640 1280 614400
1738858164.413 1738858164.992 480 640 1280 614400
1738858164.746 1738858165.210 480 640 1280 614400
1738858164.913 1738858165.402 480 640 1280 614400
1738858165.113 1738858165.605 480 640 1280 614400
1738858165.246 1738858165.801 480 640 1280 614400
1738858165.513 1738858166.001 480 640 1280 614400
1738858165.746 1738858166.202 480 640 1280 614400
1738858165.913 1738858166.402 480 640 1280 614400
1738858166.079 1738858166.606 480 640 1280 614400
1738858166.346 1738858166.805 480 640 1280 614400
1738858166.479 1738858167.007 480 640 1280 614400
1738858166.713 1738858167.209 480 640 1280 614400
1738858166.913 1738858167.411 480 640 1280 614400
1738858167.079 1738858167.613 480 640 1280 614400
1738858167.313 1738858167.817 480 640 1280 614400
1738858167.479 1738858168.021 480 640 1280 614400
1738858167.713 1738858168.219 480 640 1280 614400
1738858167.913 1738858168.418 480 640 1280 614400
1738858168.113 1738858168.627 480 640 1280 614400
1738858168.313 1738858168.821 480 640 1280 614400
1738858168.546 1738858169.030 480 640 1280 614400
1738858168.746 1738858169.224 480 640 1280 614400
1738858168.913 1738858169.428 480 640 1280 614400
1738858168.946 1738858169.530 480 640 1280 614400
1738858169.079 1738858169.640 480 640 1280 614400
1738858169.313 1738858169.831 480 640 1280 614400
1738858169.479 1738858170.040 480 640 1280 614400
1738858169.713 1738858170.338 480 640 1280 614400
1738858169.979 1738858170.436 480 640 1280 614400
1738858170.213 1738858170.640 480 640 1280 614400
1738858170.346 1738858170.842 480 640 1280 614400
1738858170.579 1738858171.050 480 640 1280 614400
1738858170.746 1738858171.244 480 640 1280 614400
1738858170.979 1738858171.447 480 640 1280 614400
1738858171.113 1738858171.647 480 640 1280 614400
1738858171.146 1738858171.740 480 640 1280 614400
1738858171.346 1738858171.850 480 640 1280 614400
1738858171.646 1738858172.060 480 640 1280 614400
1738858171.746 1738858172.254 480 640 1280 614400
1738858171.946 1738858172.457 480 640 1280 614400
1738858172.179 1738858172.657 480 640 1280 614400
1738858172.379 1738858172.858 480 640 1280 614400
1738858172.513 1738858173.066 480 640 1280 614400
1738858172.746 1738858173.268 480 640 1280 614400
1738858173.013 1738858173.470 480 640 1280 614400
1738858173.179 1738858173.671 480 640 1280 614400
1738858173.313 1738858173.874 480 640 1280 614400
1738858173.613 1738858174.076 480 640 1280 614400
1738858173.746 1738858174.270 480 640 1280 614400
1738858173.979 1738858174.476 480 640 1280 614400
1738858174.146 1738858174.675 480 640 1280 614400
1738858174.413 1738858174.882 480 640 1280 614400
1738858174.546 1738858175.082 480 640 1280 614400
1738858174.779 1738858175.288 480 640 1280 614400
1738858174.979 1738858175.485 480 640 1280 614400
1738858175.146 1738858175.686 480 640 1280 614400
1738858175.313 1738858175.885 480 640 1280 614400
1738858175.613 1738858176.090 480 640 1280 614400
1738858175.746 1738858176.402 480 640 1280 614400
1738858175.979 1738858176.491 480 640 1280 614400
1738858176.179 1738858176.696 480 640 1280 614400
1738858176.379 1738858176.896 480 640 1280 614400
1738858176.513 1738858177.095 480 640 1280 614400
1738858176.779 1738858177.301 480 640 1280 614400
1738858176.846 1738858177.389 480 640 1280 614400
1738858177.046 1738858177.500 480 640 1280 614400
1738858177.113 1738858177.699 480 640 1280 614400
1738858177.379 1738858177.901 480 640 1280 614400
1738858177.646 1738858178.107 480 640 1280 614400
1738858177.813 1738858178.311 480 640 1280 614400
1738858177.979 1738858178.505 480 640 1280 614400
1738858178.246 1738858178.710 480 640 1280 614400
1738858178.379 1738858178.908 480 640 1280 614400
1738858178.579 1738858179.303 480 640 1280 614400
1738858178.813 1738858179.500 480 640 1280 614400
1738858179.013 1738858179.511 480 640 1280 614400
1738858179.146 1738858179.715 480 640 1280 614400
1738858179.446 1738858179.916 480 640 1280 614400
1738858179.613 1738858180.124 480 640 1280 614400
1738858179.746 1738858180.319 480 640 1280 614400
1738858180.013 1738858180.519 480 640 1280 614400
1738858180.213 1738858180.729 480 640 1280 614400
