msg_published_time msg_received_time uint32_height uint32_width uint32_step uint8_data_size.bytes
1738861550.349 1738861551.018 720 1280 3840 2764800
1738861551.316 1738861551.952 720 1280 3840 2764800
1738861552.316 1738861552.947 720 1280 3840 2764800
1738861553.149 1738861553.952 720 1280 3840 2764800
1738861554.349 1738861554.934 720 1280 3840 2764800
1738861555.249 1738861555.931 720 1280 3840 2764800
1738861556.282 1738861556.943 720 1280 3840 2764800
1738861557.282 1738861557.948 720 1280 3840 2764800
1738861558.316 1738861558.951 720 1280 3840 2764800
1738861559.349 1738861559.943 720 1280 3840 2764800
1738861560.349 1738861561.075 720 1280 3840 2764800
1738861561.216 1738861561.946 720 1280 3840 2764800
1738861562.316 1738861562.949 720 1280 3840 2764800
1738861563.316 1738861563.966 720 1280 3840 2764800
1738861564.316 1738861564.955 720 1280 3840 2764800
1738861564.382 1738861565.427 720 1280 3840 2764800
1738861564.716 1738861565.860 720 1280 3840 2764800
1738861565.049 1738861566.283 720 1280 3840 2764800
1738861565.549 1738861566.826 720 1280 3840 2764800
1738861566.049 1738861567.131 720 1280 3840 2764800
1738861566.516 1738861567.615 720 1280 3840 2764800
1738861567.116 1738861568.031 720 1280 3840 2764800
1738861567.583 1738861568.462 720 1280 3840 2764800
1738861567.749 1738861568.907 720 1280 3840 2764800
1738861568.283 1738861569.333 720 1280 3840 2764800
1738861568.549 1738861569.766 720 1280 3840 2764800
1738861569.116 1738861570.210 720 1280 3840 2764800
1738861569.649 1738861570.660 720 1280 3840 2764800
1738861569.949 1738861571.058 720 1280 3840 2764800
1738861570.483 1738861571.496 720 1280 3840 2764800
1738861570.983 1738861571.932 720 1280 3840 2764800
1738861571.383 1738861572.366 720 1280 3840 2764800
1738861571.783 1738861572.789 720 1280 3840 2764800
1738861572.116 1738861573.220 720 1280 3840 2764800
1738861572.583 1738861573.647 720 1280 3840 2764800
1738861572.983 1738861574.099 720 1280 3840 2764800
1738861573.582 1738861574.536 720 1280 3840 2764800
1738861573.783 1738861574.957 720 1280 3840 2764800
1738861574.349 1738861575.381 720 1280 3840 2764800
1738861574.949 1738861575.803 720 1280 3840 2764800
1738861574.982 1738861576.239 720 1280 3840 2764800
1738861575.449 1738861576.693 720 1280 3840 2764800
1738861576.149 1738861577.096 720 1280 3840 2764800
1738861576.549 1738861577.529 720 1280 3840 2764800
1738861576.983 1738861577.956 720 1280 3840 2764800
1738861577.283 1738861578.429 720 1280 3840 2764800
1738861577.749 1738861578.856 720 1280 3840 2764800
1738861578.283 1738861579.380 720 1280 3840 2764800
1738861578.749 1738861579.701 720 1280 3840 2764800
1738861579.149 1738861580.123 720 1280 3840 2764800
1738861579.683 1738861580.544 720 1280 3840 2764800
1738861579.849 1738861580.967 720 1280 3840 2764800
1738861580.516 1738861581.414 720 1280 3840 2764800
1738861580.916 1738861582.089 720 1280 3840 2764800
1738861581.116 1738861582.277 720 1280 3840 2764800
1738861581.583 1738861582.697 720 1280 3840 2764800
1738861581.983 1738861583.153 720 1280 3840 2764800
1738861582.483 1738861583.590 720 1280 3840 2764800
1738861583.049 1738861584.028 720 1280 3840 2764800
1738861583.383 1738861584.488 720 1280 3840 2764800
1738861583.816 1738861584.937 720 1280 3840 2764800
1738861584.383 1738861585.373 720 1280 3840 2764800
1738861584.649 1738861585.816 720 1280 3840 2764800
1738861585.116 1738861586.250 720 1280 3840 2764800
1738861585.549 1738861586.739 720 1280 3840 2764800
1738861586.016 1738861587.191 720 1280 3840 2764800
1738861586.449 1738861587.680 720 1280 3840 2764800
1738861587.116 1738861588.132 720 1280 3840 2764800
1738861587.483 1738861588.612 720 1280 3840 2764800
1738861587.783 1738861589.015 720 1280 3840 2764800
1738861588.383 1738861589.435 720 1280 3840 2764800
1738861588.683 1738861589.919 720 1280 3840 2764800
1738861589.216 1738861590.292 720 1280 3840 2764800
1738861589.716 1738861590.724 720 1280 3840 2764800
1738861590.116 1738861591.264 720 1280 3840 2764800
1738861590.583 1738861591.713 720 1280 3840 2764800
1738861590.883 1738861592.141 720 1280 3840 2764800
1738861591.583 1738861592.667 720 1280 3840 2764800
1738861591.783 1738861593.187 720 1280 3840 2764800
1738861592.416 1738861593.616 720 1280 3840 2764800
1738861593.016 1738861594.069 720 1280 3840 2764800
1738861593.183 1738861594.585 720 1280 3840 2764800
1738861593.716 1738861595.073 720 1280 3840 2764800
1738861594.149 1738861595.542 720 1280 3840 2764800
1738861594.916 1738861595.983 720 1280 3840 2764800
1738861595.416 1738861596.443 720 1280 3840 2764800
1738861595.549 1738861596.958 720 1280 3840 2764800
1738861596.016 1738861597.405 720 1280 3840 2764800
1738861596.683 1738861597.834 720 1280 3840 2764800
1738861596.983 1738861598.267 720 1280 3840 2764800
1738861597.683 1738861598.811 720 1280 3840 2764800
1738861598.049 1738861599.037 720 1280 3840 2764800
1738861598.283 1738861599.571 720 1280 3840 2764800
1738861598.749 1738861599.929 720 1280 3840 2764800
1738861599.449 1738861600.369 720 1280 3840 2764800
1738861599.683 1738861600.821 720 1280 3840 2764800
1738861600.316 1738861601.267 720 1280 3840 2764800
1738861600.716 1738861601.714 720 1280 3840 2764800
1738861600.849 1738861602.193 720 1280 3840 2764800
1738861601.349 1738861602.635 720 1280 3840 2764800
1738861601.883 1738861603.098 720 1280 3840 2764800
1738861602.449 1738861603.539 720 1280 3840 2764800
1738861602.883 1738861603.982 720 1280 3840 2764800
1738861603.516 1738861604.442 720 1280 3840 2764800
1738861603.816 1738861604.882 720 1280 3840 2764800
1738861604.349 1738861605.349 720 1280 3840 2764800
1738861604.716 1738861605.779 720 1280 3840 2764800
1738861605.083 1738861606.246 720 1280 3840 2764800
1738861605.749 1738861606.710 720 1280 3840 2764800
1738861606.049 1738861607.271 720 1280 3840 2764800
1738861606.583 1738861607.581 720 1280 3840 2764800
1738861606.983 1738861608.013 720 1280 3840 2764800
1738861607.449 1738861608.437 720 1280 3840 2764800
1738861607.683 1738861608.877 720 1280 3840 2764800
1738861608.249 1738861609.374 720 1280 3840 2764800
1738861608.649 1738861609.757 720 1280 3840 2764800
1738861608.883 1738861610.193 720 1280 3840 2764800
1738861609.483 1738861610.625 720 1280 3840 2764800
1738861610.049 1738861611.052 720 1280 3840 2764800
1738861610.483 1738861611.499 720 1280 3840 2764800
1738861610.849 1738861611.949 720 1280 3840 2764800
1738861611.283 1738861612.393 720 1280 3840 2764800
1738861611.816 1738861612.829 720 1280 3840 2764800
1738861612.183 1738861613.262 720 1280 3840 2764800
1738861612.616 1738861613.715 720 1280 3840 2764800
1738861613.083 1738861614.168 720 1280 3840 2764800
1738861613.483 1738861614.607 720 1280 3840 2764800
1738861613.916 1738861615.084 720 1280 3840 2764800
1738861614.516 1738861615.556 720 1280 3840 2764800
1738861614.849 1738861616.046 720 1280 3840 2764800
1738861615.449 1738861616.469 720 1280 3840 2764800
1738861615.916 1738861616.978 720 1280 3840 2764800
1738861616.383 1738861617.361 720 1280 3840 2764800
1738861616.583 1738861617.840 720 1280 3840 2764800
1738861617.083 1738861618.401 720 1280 3840 2764800
1738861617.583 1738861618.730 720 1280 3840 2764800
1738861618.283 1738861619.227 720 1280 3840 2764800
1738861618.583 1738861619.631 720 1280 3840 2764800
1738861619.116 1738861620.066 720 1280 3840 2764800
1738861619.249 1738861620.631 720 1280 3840 2764800
1738861619.783 1738861620.955 720 1280 3840 2764800
