msg_published_time msg_received_time info.width info.height int8_data_size.bytes
1738863682.511 1738863682.521 60 60 3600
1738863683.111 1738863684.108 60 60 3600
1738863683.711 1738863684.449 60 60 3600
1738863684.311 1738863684.589 60 60 3600
1738863684.911 1738863685.535 60 60 3600
1738863685.511 1738863685.719 60 60 3600
1738863686.111 1738863686.372 60 60 3600
1738863686.711 1738863687.523 60 60 3600
1738863687.311 1738863687.535 60 60 3600
1738863687.911 1738863687.920 60 60 3600
1738863688.511 1738863688.798 60 60 3600
1738863689.112 1738863689.740 60 60 3600
1738863689.712 1738863690.012 60 60 3600
1738863690.311 1738863690.525 60 60 3600
1738863690.911 1738863691.694 60 60 3600
1738863691.511 1738863691.812 60 60 3600
1738863692.111 1738863692.121 60 60 3600
1738863692.711 1738863693.407 60 60 3600
1738863693.311 1738863693.873 60 60 3600
1738863693.911 1738863694.334 60 60 3600
1738863694.511 1738863694.765 60 60 3600
1738863695.111 1738863695.646 60 60 3600
1738863695.711 1738863695.999 60 60 3600
1738863696.311 1738863696.631 60 60 3600
1738863696.911 1738863697.553 60 60 3600
1738863697.512 1738863697.991 60 60 3600
1738863698.111 1738863698.919 60 60 3600
1738863698.711 1738863699.204 60 60 3600
1738863699.312 1738863699.685 60 60 3600
1738863699.911 1738863700.595 60 60 3600
1738863700.512 1738863701.045 60 60 3600
1738863701.111 1738863701.415 60 60 3600
1738863701.713 1738863702.244 60 60 3600
1738863702.312 1738863702.407 60 60 3600
1738863702.912 1738863703.326 60 60 3600
1738863703.511 1738863704.201 60 60 3600
1738863704.111 1738863704.300 60 60 3600
1738863704.712 1738863705.193 60 60 3600
1738863705.311 1738863705.321 60 60 3600
1738863705.911 1738863706.207 60 60 3600
1738863706.511 1738863706.521 60 60 3600
1738863707.111 1738863707.425 60 60 3600
1738863708.311 1738863708.377 60 60 3600
1738863708.911 1738863709.307 60 60 3600
1738863709.511 1738863709.522 60 60 3600
1738863710.111 1738863710.299 60 60 3600
1738863710.711 1738863711.209 60 60 3600
1738863711.311 1738863711.389 60 60 3600
1738863711.911 1738863712.231 60 60 3600
1738863712.511 1738863712.520 60 60 3600
1738863713.111 1738863713.334 60 60 3600
1738863713.711 1738863714.221 60 60 3600
1738863714.313 1738863714.336 60 60 3600
