msg_published_time msg_received_time map_load_time.secs update_time.secs uint32_metadata.size_x uint32_metadata.size_y uint8_data_size.bytes
1738863681.911 1738863682.192 0.000 0.000 60 60 3600
1738863682.511 1738863682.522 0.000 0.000 60 60 3600
1738863683.111 1738863683.325 0.000 0.000 60 60 3600
1738863683.711 1738863684.410 0.000 0.000 60 60 3600
1738863684.311 1738863684.589 0.000 0.000 60 60 3600
1738863684.911 1738863685.535 0.000 0.000 60 60 3600
1738863685.511 1738863685.719 0.000 0.000 60 60 3600
1738863686.111 1738863686.263 0.000 0.000 60 60 3600
1738863686.711 1738863686.910 0.000 0.000 60 60 3600
1738863687.311 1738863687.535 0.000 0.000 60 60 3600
1738863687.911 1738863687.921 0.000 0.000 60 60 3600
1738863688.511 1738863688.799 0.000 0.000 60 60 3600
1738863689.111 1738863689.741 0.000 0.000 60 60 3600
1738863689.712 1738863690.013 0.000 0.000 60 60 3600
1738863690.311 1738863690.526 0.000 0.000 60 60 3600
1738863690.911 1738863691.655 0.000 0.000 60 60 3600
1738863691.511 1738863691.812 0.000 0.000 60 60 3600
1738863692.111 1738863692.121 0.000 0.000 60 60 3600
1738863692.711 1738863693.407 0.000 0.000 60 60 3600
1738863693.311 1738863693.873 0.000 0.000 60 60 3600
1738863693.911 1738863694.334 0.000 0.000 60 60 3600
1738863694.511 1738863694.765 0.000 0.000 60 60 3600
1738863695.111 1738863695.647 0.000 0.000 60 60 3600
1738863695.711 1738863695.999 0.000 0.000 60 60 3600
1738863696.311 1738863696.632 0.000 0.000 60 60 3600
1738863696.911 1738863697.554 0.000 0.000 60 60 3600
1738863697.512 1738863697.992 0.000 0.000 60 60 3600
1738863698.111 1738863698.816 0.000 0.000 60 60 3600
1738863698.711 1738863699.204 0.000 0.000 60 60 3600
1738863699.312 1738863699.685 0.000 0.000 60 60 3600
1738863699.911 1738863700.596 0.000 0.000 60 60 3600
1738863700.512 1738863701.045 0.000 0.000 60 60 3600
1738863701.111 1738863701.416 0.000 0.000 60 60 3600
1738863701.712 1738863702.245 0.000 0.000 60 60 3600
1738863702.312 1738863702.408 0.000 0.000 60 60 3600
1738863702.912 1738863703.326 0.000 0.000 60 60 3600
1738863703.511 1738863704.202 0.000 0.000 60 60 3600
1738863704.111 1738863704.301 0.000 0.000 60 60 3600
1738863704.712 1738863705.193 0.000 0.000 60 60 3600
1738863705.311 1738863705.320 0.000 0.000 60 60 3600
1738863705.911 1738863706.208 0.000 0.000 60 60 3600
1738863706.511 1738863706.522 0.000 0.000 60 60 3600
1738863707.111 1738863707.425 0.000 0.000 60 60 3600
1738863708.311 1738863708.378 0.000 0.000 60 60 3600
1738863708.911 1738863709.308 0.000 0.000 60 60 3600
1738863709.511 1738863709.520 0.000 0.000 60 60 3600
1738863710.111 1738863710.406 0.000 0.000 60 60 3600
1738863710.711 1738863711.209 0.000 0.000 60 60 3600
1738863711.311 1738863711.390 0.000 0.000 60 60 3600
1738863711.911 1738863712.231 0.000 0.000 60 60 3600
1738863712.511 1738863712.520 0.000 0.000 60 60 3600
1738863713.111 1738863713.334 0.000 0.000 60 60 3600
1738863713.710 1738863714.221 0.000 0.000 60 60 3600
1738863714.313 1738863714.338 0.000 0.000 60 60 3600
1738863714.912 1738863715.206 0.000 0.000 60 60 3600
1738863715.512 1738863715.522 0.000 0.000 60 60 3600
1738863716.111 1738863716.359 0.000 0.000 60 60 3600
1738863716.711 1738863717.211 0.000 0.000 60 60 3600
1738863717.311 1738863717.333 0.000 0.000 60 60 3600
1738863717.911 1738863718.227 0.000 0.000 60 60 3600
1738863718.511 1738863718.521 0.000 0.000 60 60 3600
1738863719.111 1738863719.331 0.000 0.000 60 60 3600
1738863719.711 1738863720.244 0.000 0.000 60 60 3600
1738863720.311 1738863720.463 0.000 0.000 60 60 3600
1738863720.911 1738863721.332 0.000 0.000 60 60 3600
1738863721.511 1738863721.521 0.000 0.000 60 60 3600
1738863722.111 1738863722.334 0.000 0.000 60 60 3600
1738863722.712 1738863723.235 0.000 0.000 60 60 3600
1738863723.311 1738863723.345 0.000 0.000 60 60 3600
1738863723.911 1738863724.214 0.000 0.000 60 60 3600
1738863724.511 1738863724.522 0.000 0.000 60 60 3600
1738863725.111 1738863725.326 0.000 0.000 60 60 3600
1738863725.712 1738863726.241 0.000 0.000 60 60 3600
1738863726.311 1738863726.348 0.000 0.000 60 60 3600
1738863726.911 1738863727.224 0.000 0.000 60 60 3600
1738863727.511 1738863727.521 0.000 0.000 60 60 3600
1738863728.112 1738863728.462 0.000 0.000 60 60 3600
1738863728.711 1738863729.238 0.000 0.000 60 60 3600
1738863729.311 1738863729.354 0.000 0.000 60 60 3600
1738863729.911 1738863730.364 0.000 0.000 60 60 3600
1738863730.511 1738863730.521 0.000 0.000 60 60 3600
1738863731.111 1738863731.349 0.000 0.000 60 60 3600
1738863731.711 1738863732.245 0.000 0.000 60 60 3600
1738863732.311 1738863732.342 0.000 0.000 60 60 3600
1738863732.911 1738863733.242 0.000 0.000 60 60 3600
1738863733.511 1738863733.522 0.000 0.000 60 60 3600
