msg_published_time msg_received_time uint32_height uint32_width uint32_step uint8_data_size.bytes
1738863682.749 1738863684.230 720 1280 3840 2764800
1738863684.382 1738863685.534 720 1280 3840 2764800
1738863685.416 1738863687.017 720 1280 3840 2764800
1738863686.316 1738863687.532 720 1280 3840 2764800
1738863687.783 1738863688.809 720 1280 3840 2764800
1738863687.983 1738863689.287 720 1280 3840 2764800
1738863688.283 1738863689.740 720 1280 3840 2764800
1738863690.016 1738863691.092 720 1280 3840 2764800
1738863690.549 1738863691.540 720 1280 3840 2764800
1738863691.783 1738863692.925 720 1280 3840 2764800
1738863691.883 1738863693.407 720 1280 3840 2764800
1738863692.183 1738863693.872 720 1280 3840 2764800
1738863692.683 1738863694.333 720 1280 3840 2764800
1738863693.149 1738863694.765 720 1280 3840 2764800
1738863693.749 1738863695.202 720 1280 3840 2764800
1738863694.516 1738863695.646 720 1280 3840 2764800
1738863696.216 1738863697.091 720 1280 3840 2764800
1738863696.383 1738863697.564 720 1280 3840 2764800
1738863696.516 1738863697.990 720 1280 3840 2764800
1738863696.716 1738863698.408 720 1280 3840 2764800
1738863697.449 1738863698.936 720 1280 3840 2764800
1738863698.849 1738863700.185 720 1280 3840 2764800
1738863699.049 1738863700.605 720 1280 3840 2764800
1738863699.716 1738863701.044 720 1280 3840 2764800
1738863700.916 1738863702.201 720 1280 3840 2764800
1738863702.249 1738863703.129 720 1280 3840 2764800
1738863703.149 1738863704.200 720 1280 3840 2764800
1738863703.949 1738863705.205 720 1280 3840 2764800
1738863705.016 1738863706.313 720 1280 3840 2764800
1738863706.083 1738863707.331 720 1280 3840 2764800
1738863707.016 1738863708.569 720 1280 3840 2764800
1738863708.049 1738863709.331 720 1280 3840 2764800
1738863708.983 1738863710.311 720 1280 3840 2764800
1738863710.249 1738863711.222 720 1280 3840 2764800
1738863711.083 1738863712.230 720 1280 3840 2764800
1738863712.183 1738863713.225 720 1280 3840 2764800
1738863713.116 1738863714.230 720 1280 3840 2764800
1738863714.549 1738863715.213 720 1280 3840 2764800
1738863715.316 1738863716.241 720 1280 3840 2764800
1738863715.983 1738863717.317 720 1280 3840 2764800
1738863717.183 1738863718.236 720 1280 3840 2764800
1738863718.216 1738863719.239 720 1280 3840 2764800
1738863719.383 1738863720.358 720 1280 3840 2764800
1738863719.983 1738863721.343 720 1280 3840 2764800
1738863721.549 1738863722.233 720 1280 3840 2764800
1738863722.249 1738863723.243 720 1280 3840 2764800
1738863723.116 1738863724.228 720 1280 3840 2764800
1738863724.249 1738863725.235 720 1280 3840 2764800
1738863725.149 1738863726.251 720 1280 3840 2764800
1738863726.383 1738863727.233 720 1280 3840 2764800
1738863727.383 1738863728.359 720 1280 3840 2764800
1738863728.149 1738863729.246 720 1280 3840 2764800
1738863729.216 1738863730.376 720 1280 3840 2764800
1738863730.316 1738863731.251 720 1280 3840 2764800
1738863731.249 1738863732.244 720 1280 3840 2764800
1738863732.149 1738863733.241 720 1280 3840 2764800
1738863733.016 1738863734.250 720 1280 3840 2764800
1738863733.983 1738863735.283 720 1280 3840 2764800
1738863735.049 1738863736.267 720 1280 3840 2764800
1738863736.149 1738863737.257 720 1280 3840 2764800
1738863737.183 1738863738.254 720 1280 3840 2764800
