msg_published_time msg_received_time uint8_data_size.bytes
1738863682.949 1738863683.164 276604
1738863682.982 1738863684.448 275294
1738863684.649 1738863685.536 276709
1738863686.649 1738863687.571 276927
1738863687.016 1738863687.621 276905
1738863690.183 1738863690.570 276723
1738863690.783 1738863691.693 276610
1738863696.249 1738863696.631 274516
1738863697.949 1738863698.918 276589
1738863699.449 1738863699.722 276125
1738863700.449 1738863701.045 276157
1738863701.483 1738863701.643 276180
1738863702.449 1738863702.656 276185
1738863703.449 1738863703.647 276311
1738863704.483 1738863704.648 276266
1738863705.416 1738863705.739 276051
1738863706.449 1738863706.655 276012
1738863707.483 1738863707.794 276082
1738863708.416 1738863708.655 276041
1738863709.449 1738863709.655 275926
1738863710.483 1738863710.656 275921
1738863711.516 1738863711.664 275948
1738863712.416 1738863712.658 275798
1738863713.549 1738863713.658 275902
1738863714.449 1738863714.667 275822
1738863715.549 1738863715.658 275590
1738863716.449 1738863716.662 275586
1738863717.516 1738863717.664 275651
1738863718.516 1738863718.666 275589
1738863719.483 1738863719.687 275340
1738863720.416 1738863720.736 275466
1738863721.516 1738863721.668 275352
1738863722.483 1738863722.671 275718
1738863723.549 1738863723.674 275618
1738863724.516 1738863724.685 275367
1738863725.349 1738863725.673 275194
1738863726.483 1738863726.675 275331
1738863727.483 1738863727.675 275612
1738863728.483 1738863728.677 275378
1738863729.516 1738863729.678 275218
1738863730.449 1738863730.681 275186
1738863731.516 1738863731.682 275255
1738863732.549 1738863732.685 273315
1738863733.483 1738863733.686 274956
1738863734.516 1738863734.688 275045
1738863735.549 1738863735.690 275030
1738863736.549 1738863736.693 275084
1738863737.483 1738863737.692 274984
1738863738.516 1738863738.693 275227
1738863739.516 1738863739.698 274869
1738863740.516 1738863740.697 274896
1738863741.583 1738863741.698 274829
1738863742.516 1738863742.699 274947
1738863743.583 1738863743.702 274765
1738863744.416 1738863744.702 274664
1738863745.516 1738863745.704 274645
1738863746.516 1738863746.711 274536
1738863747.483 1738863747.708 274765
1738863748.549 1738863748.708 274446
1738863749.549 1738863749.800 274704
1738863750.516 1738863750.711 274620
1738863751.483 1738863751.711 274387
1738863752.549 1738863752.713 274663
1738863753.516 1738863753.716 274457
1738863754.516 1738863754.716 274331
1738863755.583 1738863755.724 274634
1738863756.549 1738863756.720 274426
1738863757.549 1738863757.720 274154
1738863758.549 1738863758.723 274448
1738863759.516 1738863759.723 274443
1738863760.583 1738863760.774 274393
1738863761.449 1738863761.740 274296
1738863762.583 1738863762.727 274326
1738863763.583 1738863763.726 274285
1738863764.583 1738863764.730 274381
1738863765.483 1738863765.739 274346
1738863766.616 1738863766.732 274163
1738863767.616 1738863767.739 274075
1738863768.516 1738863768.736 273900
1738863769.483 1738863769.774 273824
1738863770.550 1738863770.737 274121
1738863771.583 1738863771.737 273970
1738863772.583 1738863772.739 273928
1738863773.550 1738863773.739 274037
1738863774.550 1738863774.747 274171
1738863775.550 1738863775.742 274031
1738863776.516 1738863776.745 273955
1738863781.350 1738863782.297 273908
1738863782.783 1738863783.247 273850
1738863783.716 1738863784.359 273524
1738863784.783 1738863785.246 273642
1738863785.716 1738863786.392 273702
1738863786.716 1738863787.246 273486
1738863787.783 1738863788.371 273466
1738863788.816 1738863789.347 273425
1738863789.750 1738863790.409 273537
1738863790.783 1738863791.395 273582
1738863791.850 1738863792.253 273562
1738863792.716 1738863793.265 273215
1738863792.750 1738863793.302 273491
1738863793.783 1738863794.249 273587
1738863794.750 1738863795.406 273442
1738863795.816 1738863796.478 273470
1738863796.950 1738863797.725 273584
1738863796.983 1738863797.765 273439
1738863798.216 1738863798.479 273434
1738863799.283 1738863799.488 273156
1738863800.216 1738863800.467 273161
1738863801.216 1738863801.429 273110
1738863802.216 1738863802.425 273464
1738863803.216 1738863803.436 273142
1738863804.216 1738863804.439 271578
1738863805.183 1738863805.451 273260
1738863806.216 1738863806.434 272941
1738863807.316 1738863807.509 271426
1738863808.216 1738863808.450 272905
1738863809.283 1738863809.434 273213
1738863810.916 1738863812.125 273019
1738863812.816 1738863812.964 272986
1738863813.783 1738863813.994 273074
1738863814.783 1738863814.975 273322
1738863815.850 1738863816.018 273176
1738863816.816 1738863816.984 272763
1738863817.750 1738863817.977 273072
1738863818.850 1738863819.049 272877
1738863819.750 1738863819.991 272874
1738863820.750 1738863820.978 272967
1738863821.783 1738863821.974 272865
1738863822.816 1738863823.027 272754
1738863823.783 1738863823.997 272602
1738863824.816 1738863824.982 273018
1738863825.750 1738863826.005 272688
1738863826.616 1738863827.004 272594
1738863827.783 1738863828.011 272571
1738863828.850 1738863828.986 272724
1738863829.850 1738863830.007 272519
1738863830.783 1738863831.011 272331
1738863831.783 1738863831.990 272610
1738863832.850 1738863833.042 272275
1738863833.850 1738863834.100 272441
1738863834.816 1738863835.033 272678
1738863835.816 1738863835.992 272486
1738863836.783 1738863837.002 272196
1738863837.816 1738863837.998 272318
1738863838.883 1738863839.013 272120
1738863839.883 1738863840.027 272236
1738863840.816 1738863841.016 272347
1738863841.816 1738863842.004 272148
1738863842.850 1738863843.030 272358
1738863843.883 1738863844.006 272048
1738863844.817 1738863845.020 272103
1738863845.783 1738863846.024 272133
1738863846.850 1738863847.009 271973
1738863847.816 1738863848.011 271848
1738863848.816 1738863849.022 272126
1738863850.183 1738863850.955 272212
1738863850.417 1738863850.994 271916
