msg_published_time msg_received_time uint32_height uint32_width uint32_step uint8_data_size.bytes
1738863682.982 1738863684.410 480 640 1920 921600
1738863684.849 1738863685.718 480 640 1920 921600
1738863687.016 1738863687.793 480 640 1920 921600
1738863688.983 1738863689.854 480 640 1920 921600
1738863689.049 1738863690.012 480 640 1920 921600
1738863690.783 1738863691.654 480 640 1920 921600
1738863695.283 1738863696.156 480 640 1920 921600
1738863695.349 1738863696.301 480 640 1920 921600
1738863695.883 1738863696.449 480 640 1920 921600
1738863696.116 1738863696.587 480 640 1920 921600
1738863697.949 1738863699.063 480 640 1920 921600
1738863698.116 1738863699.203 480 640 1920 921600
1738863698.183 1738863699.351 480 640 1920 921600
1738863698.849 1738863699.495 480 640 1920 921600
1738863699.049 1738863699.684 480 640 1920 921600
1738863700.383 1738863701.275 480 640 1920 921600
1738863700.449 1738863701.415 480 640 1920 921600
1738863701.549 1738863702.407 480 640 1920 921600
1738863702.783 1738863703.325 480 640 1920 921600
1738863703.649 1738863704.300 480 640 1920 921600
1738863704.783 1738863705.299 480 640 1920 921600
1738863705.449 1738863706.320 480 640 1920 921600
1738863706.783 1738863707.424 480 640 1920 921600
1738863707.716 1738863708.381 480 640 1920 921600
1738863708.849 1738863709.327 480 640 1920 921600
1738863709.583 1738863710.406 480 640 1920 921600
1738863710.683 1738863711.490 480 640 1920 921600
1738863711.849 1738863712.332 480 640 1920 921600
1738863712.783 1738863713.337 480 640 1920 921600
1738863713.716 1738863714.335 480 640 1920 921600
1738863714.783 1738863715.330 480 640 1920 921600
1738863715.816 1738863716.362 480 640 1920 921600
1738863716.783 1738863717.331 480 640 1920 921600
1738863717.816 1738863718.336 480 640 1920 921600
1738863718.616 1738863719.329 480 640 1920 921600
1738863719.816 1738863720.461 480 640 1920 921600
1738863720.683 1738863721.446 480 640 1920 921600
1738863721.816 1738863722.337 480 640 1920 921600
1738863722.783 1738863723.349 480 640 1920 921600
1738863723.749 1738863724.328 480 640 1920 921600
1738863724.716 1738863725.329 480 640 1920 921600
1738863725.849 1738863726.351 480 640 1920 921600
1738863726.683 1738863727.342 480 640 1920 921600
1738863727.816 1738863728.464 480 640 1920 921600
1738863728.816 1738863729.352 480 640 1920 921600
1738863729.516 1738863730.469 480 640 1920 921600
1738863730.783 1738863731.348 480 640 1920 921600
1738863731.816 1738863732.341 480 640 1920 921600
1738863732.816 1738863733.348 480 640 1920 921600
1738863733.849 1738863734.352 480 640 1920 921600
1738863734.849 1738863735.402 480 640 1920 921600
1738863735.849 1738863736.367 480 640 1920 921600
1738863736.483 1738863737.373 480 640 1920 921600
1738863737.683 1738863738.354 480 640 1920 921600
1738863738.616 1738863739.369 480 640 1920 921600
1738863739.783 1738863740.367 480 640 1920 921600
1738863740.849 1738863741.355 480 640 1920 921600
1738863741.783 1738863742.377 480 640 1920 921600
1738863742.783 1738863743.386 480 640 1920 921600
1738863743.849 1738863744.464 480 640 1920 921600
1738863744.883 1738863745.414 480 640 1920 921600
1738863745.616 1738863746.371 480 640 1920 921600
1738863746.883 1738863747.399 480 640 1920 921600
1738863747.883 1738863748.382 480 640 1920 921600
1738863748.849 1738863749.427 480 640 1920 921600
1738863749.849 1738863750.370 480 640 1920 921600
1738863750.849 1738863751.391 480 640 1920 921600
1738863751.783 1738863752.375 480 640 1920 921600
1738863752.849 1738863753.382 480 640 1920 921600
1738863753.816 1738863754.375 480 640 1920 921600
1738863754.916 1738863755.375 480 640 1920 921600
1738863755.883 1738863756.509 480 640 1920 921600
1738863756.483 1738863757.386 480 640 1920 921600
1738863757.816 1738863758.582 480 640 1920 921600
1738863758.883 1738863759.403 480 640 1920 921600
1738863759.949 1738863760.517 480 640 1920 921600
1738863760.883 1738863761.436 480 640 1920 921600
1738863761.916 1738863762.412 480 640 1920 921600
1738863762.783 1738863763.402 480 640 1920 921600
1738863762.883 1738863763.548 480 640 1920 921600
1738863763.916 1738863764.403 480 640 1920 921600
1738863764.783 1738863765.505 480 640 1920 921600
1738863765.916 1738863766.402 480 640 1920 921600
1738863766.850 1738863767.530 480 640 1920 921600
1738863767.883 1738863768.480 480 640 1920 921600
1738863768.950 1738863769.417 480 640 1920 921600
1738863769.683 1738863770.406 480 640 1920 921600
1738863770.850 1738863771.404 480 640 1920 921600
1738863771.850 1738863772.393 480 640 1920 921600
1738863772.916 1738863773.396 480 640 1920 921600
1738863773.883 1738863774.395 480 640 1920 921600
1738863774.950 1738863775.423 480 640 1920 921600
1738863775.816 1738863776.408 480 640 1920 921600
1738863781.350 1738863782.272 480 640 1920 921600
1738863782.750 1738863783.392 480 640 1920 921600
1738863783.716 1738863784.330 480 640 1920 921600
1738863784.550 1738863785.387 480 640 1920 921600
1738863785.583 1738863786.366 480 640 1920 921600
1738863786.716 1738863787.494 480 640 1920 921600
1738863787.783 1738863788.448 480 640 1920 921600
1738863788.783 1738863789.389 480 640 1920 921600
1738863789.616 1738863790.404 480 640 1920 921600
1738863790.683 1738863791.370 480 640 1920 921600
1738863791.550 1738863792.400 480 640 1920 921600
1738863792.716 1738863793.462 480 640 1920 921600
1738863793.750 1738863794.399 480 640 1920 921600
1738863794.450 1738863795.376 480 640 1920 921600
1738863795.816 1738863796.547 480 640 1920 921600
1738863796.750 1738863797.541 480 640 1920 921600
1738863796.916 1738863797.698 480 640 1920 921600
1738863797.983 1738863798.448 480 640 1920 921600
1738863798.716 1738863799.484 480 640 1920 921600
1738863799.950 1738863800.458 480 640 1920 921600
1738863800.950 1738863801.499 480 640 1920 921600
1738863801.883 1738863802.407 480 640 1920 921600
1738863802.916 1738863803.502 480 640 1920 921600
1738863803.950 1738863804.507 480 640 1920 921600
1738863804.750 1738863805.410 480 640 1920 921600
1738863805.916 1738863806.376 480 640 1920 921600
1738863806.916 1738863807.482 480 640 1920 921600
1738863807.950 1738863808.427 480 640 1920 921600
1738863808.583 1738863809.415 480 640 1920 921600
1738863810.083 1738863811.957 480 640 1920 921600
1738863810.816 1738863812.117 480 640 1920 921600
1738863812.283 1738863812.811 480 640 1920 921600
1738863813.383 1738863813.740 480 640 1920 921600
1738863814.283 1738863814.724 480 640 1920 921600
1738863814.383 1738863814.878 480 640 1920 921600
1738863815.083 1738863815.730 480 640 1920 921600
1738863816.083 1738863816.720 480 640 1920 921600
1738863817.383 1738863817.769 480 640 1920 921600
1738863818.283 1738863818.757 480 640 1920 921600
1738863819.283 1738863819.743 480 640 1920 921600
1738863820.216 1738863820.754 480 640 1920 921600
1738863821.050 1738863821.732 480 640 1920 921600
1738863822.250 1738863822.761 480 640 1920 921600
1738863823.316 1738863823.754 480 640 1920 921600
1738863824.316 1738863824.856 480 640 1920 921600
1738863825.350 1738863825.781 480 640 1920 921600
1738863826.316 1738863826.799 480 640 1920 921600
1738863827.383 1738863827.798 480 640 1920 921600
1738863828.316 1738863828.776 480 640 1920 921600
1738863829.316 1738863829.808 480 640 1920 921600
1738863830.183 1738863830.809 480 640 1920 921600
1738863831.350 1738863831.829 480 640 1920 921600
1738863832.383 1738863832.791 480 640 1920 921600
1738863833.083 1738863833.839 480 640 1920 921600
1738863834.350 1738863834.823 480 640 1920 921600
1738863834.916 1738863835.820 480 640 1920 921600
1738863836.250 1738863836.803 480 640 1920 921600
1738863837.383 1738863837.809 480 640 1920 921600
1738863838.183 1738863838.805 480 640 1920 921600
1738863839.416 1738863839.817 480 640 1920 921600
1738863840.316 1738863840.933 480 640 1920 921600
1738863841.383 1738863841.780 480 640 1920 921600
1738863842.350 1738863842.809 480 640 1920 921600
1738863843.383 1738863843.884 480 640 1920 921600
1738863844.216 1738863844.799 480 640 1920 921600
1738863845.050 1738863845.962 480 640 1920 921600
1738863846.383 1738863846.861 480 640 1920 921600
1738863847.183 1738863847.842 480 640 1920 921600
1738863848.383 1738863848.948 480 640 1920 921600
1738863850.283 1738863851.618 480 640 1920 921600
1738863850.483 1738863851.626 480 640 1920 921600
1738863850.583 1738863851.730 480 640 1920 921600
1738863852.117 1738863853.207 480 640 1920 921600
1738863853.150 1738863853.753 480 640 1920 921600
1738863854.017 1738863854.721 480 640 1920 921600
1738863855.350 1738863855.724 480 640 1920 921600
1738863856.317 1738863856.742 480 640 1920 921600
1738863857.250 1738863857.738 480 640 1920 921600
1738863858.250 1738863858.734 480 640 1920 921600
1738863860.683 1738863862.293 480 640 1920 921600
1738863861.117 1738863862.425 480 640 1920 921600
1738863862.650 1738863863.268 480 640 1920 921600
1738863863.417 1738863864.208 480 640 1920 921600
1738863864.617 1738863865.194 480 640 1920 921600
1738863865.717 1738863866.214 480 640 1920 921600
1738863866.417 1738863867.222 480 640 1920 921600
1738863867.750 1738863868.221 480 640 1920 921600
1738863868.750 1738863869.222 480 640 1920 921600
1738863869.550 1738863870.259 480 640 1920 921600
1738863870.517 1738863872.218 480 640 1920 921600
1738863872.183 1738863873.477 480 640 1920 921600
1738863872.917 1738863873.597 480 640 1920 921600
1738863873.917 1738863874.495 480 640 1920 921600
1738863875.517 1738863876.405 480 640 1920 921600
1738863875.983 1738863876.562 480 640 1920 921600
1738863876.983 1738863877.545 480 640 1920 921600
1738863877.917 1738863878.563 480 640 1920 921600
1738863878.917 1738863879.510 480 640 1920 921600
1738863879.950 1738863880.640 480 640 1920 921600
1738863880.950 1738863881.658 480 640 1920 921600
1738863881.950 1738863882.534 480 640 1920 921600
1738863882.683 1738863883.659 480 640 1920 921600
