msg_published_time msg_received_time uint32_height uint32_width uint32_step uint8_data_size.bytes
1738863682.716 1738863683.325 480 640 1280 614400
1738863683.449 1738863684.588 480 640 1280 614400
1738863684.716 1738863685.825 480 640 1280 614400
1738863684.916 1738863685.935 480 640 1280 614400
1738863685.149 1738863686.066 480 640 1280 614400
1738863685.216 1738863686.162 480 640 1280 614400
1738863685.649 1738863686.262 480 640 1280 614400
1738863685.683 1738863686.372 480 640 1280 614400
1738863686.316 1738863687.534 480 640 1280 614400
1738863688.983 1738863690.111 480 640 1280 614400
1738863689.583 1738863690.218 480 640 1280 614400
1738863689.616 1738863690.322 480 640 1280 614400
1738863689.716 1738863690.429 480 640 1280 614400
1738863689.983 1738863690.525 480 640 1280 614400
1738863690.516 1738863691.811 480 640 1280 614400
1738863690.949 1738863691.906 480 640 1280 614400
1738863691.083 1738863692.015 480 640 1280 614400
1738863694.649 1738863695.693 480 640 1280 614400
1738863694.816 1738863695.797 480 640 1280 614400
1738863694.916 1738863695.900 480 640 1280 614400
1738863695.083 1738863695.999 480 640 1280 614400
1738863697.816 1738863698.921 480 640 1280 614400
1738863700.183 1738863701.128 480 640 1280 614400
1738863701.216 1738863702.244 480 640 1280 614400
1738863702.216 1738863703.172 480 640 1280 614400
1738863703.249 1738863703.743 480 640 1280 614400
1738863704.083 1738863704.744 480 640 1280 614400
1738863705.083 1738863705.707 480 640 1280 614400
1738863706.283 1738863706.751 480 640 1280 614400
1738863707.249 1738863707.762 480 640 1280 614400
1738863708.016 1738863708.748 480 640 1280 614400
1738863709.316 1738863709.747 480 640 1280 614400
1738863710.083 1738863710.763 480 640 1280 614400
1738863711.216 1738863711.757 480 640 1280 614400
1738863712.183 1738863712.758 480 640 1280 614400
1738863713.149 1738863713.767 480 640 1280 614400
1738863714.216 1738863714.759 480 640 1280 614400
1738863715.216 1738863715.754 480 640 1280 614400
1738863716.249 1738863716.759 480 640 1280 614400
1738863717.183 1738863717.757 480 640 1280 614400
1738863718.183 1738863718.766 480 640 1280 614400
1738863719.183 1738863719.788 480 640 1280 614400
1738863720.216 1738863720.832 480 640 1280 614400
