msg_published_time msg_received_time uint32_height uint32_width uint32_step uint8_data_size.bytes
1738853532.803 1738853533.513 480 640 1280 614400
1738853533.870 1738853534.455 480 640 1280 614400
1738853534.770 1738853535.468 480 640 1280 614400
1738853534.803 1738853535.669 480 640 1280 614400
1738853535.003 1738853535.891 480 640 1280 614400
1738853535.203 1738853536.030 480 640 1280 614400
1738853535.337 1738853536.169 480 640 1280 614400
1738853535.503 1738853536.305 480 640 1280 614400
1738853535.637 1738853536.416 480 640 1280 614400
1738853535.770 1738853536.539 480 640 1280 614400
1738853535.837 1738853536.625 480 640 1280 614400
1738853536.070 1738853536.759 480 640 1280 614400
1738853536.137 1738853536.831 480 640 1280 614400
1738853536.237 1738853536.985 480 640 1280 614400
1738853536.303 1738853537.051 480 640 1280 614400
1738853536.337 1738853537.200 480 640 1280 614400
1738853536.503 1738853537.270 480 640 1280 614400
1738853536.603 1738853537.330 480 640 1280 614400
1738853536.670 1738853537.432 480 640 1280 614400
1738853536.737 1738853537.530 480 640 1280 614400
1738853537.770 1738853538.331 480 640 1280 614400
1738853538.837 1738853539.349 480 640 1280 614400
1738853539.837 1738853540.338 480 640 1280 614400
1738853540.803 1738853541.357 480 640 1280 614400
1738853541.837 1738853542.338 480 640 1280 614400
1738853542.770 1738853543.359 480 640 1280 614400
1738853543.803 1738853544.342 480 640 1280 614400
1738853544.870 1738853545.346 480 640 1280 614400
1738853545.737 1738853546.355 480 640 1280 614400
1738853546.903 1738853547.349 480 640 1280 614400
1738853547.837 1738853548.363 480 640 1280 614400
1738853548.837 1738853549.361 480 640 1280 614400
1738853549.803 1738853550.360 480 640 1280 614400
1738853550.837 1738853551.353 480 640 1280 614400
1738853551.803 1738853552.363 480 640 1280 614400
1738853552.770 1738853553.361 480 640 1280 614400
1738853553.870 1738853554.365 480 640 1280 614400
1738853554.803 1738853555.368 480 640 1280 614400
1738853555.837 1738853556.377 480 640 1280 614400
1738853556.837 1738853557.380 480 640 1280 614400
1738853556.870 1738853557.467 480 640 1280 614400
1738853557.837 1738853558.360 480 640 1280 614400
1738853558.803 1738853559.370 480 640 1280 614400
1738853559.837 1738853560.373 480 640 1280 614400
1738853560.837 1738853561.371 480 640 1280 614400
1738853561.803 1738853562.380 480 640 1280 614400
1738853562.870 1738853563.375 480 640 1280 614400
1738853563.870 1738853564.398 480 640 1280 614400
1738853564.937 1738853565.388 480 640 1280 614400
1738853565.870 1738853566.381 480 640 1280 614400
1738853566.837 1738853567.392 480 640 1280 614400
1738853567.803 1738853568.393 480 640 1280 614400
1738853568.803 1738853569.391 480 640 1280 614400
1738853569.837 1738853570.398 480 640 1280 614400
1738853570.870 1738853571.392 480 640 1280 614400
1738853571.870 1738853572.396 480 640 1280 614400
1738853572.870 1738853573.408 480 640 1280 614400
1738853573.837 1738853574.407 480 640 1280 614400
1738853574.903 1738853575.420 480 640 1280 614400
1738853575.803 1738853576.410 480 640 1280 614400
1738853576.870 1738853577.409 480 640 1280 614400
1738853577.837 1738853578.403 480 640 1280 614400
1738853578.870 1738853579.403 480 640 1280 614400
1738853579.936 1738853580.408 480 640 1280 614400
1738853580.870 1738853581.411 480 640 1280 614400
1738853581.903 1738853582.416 480 640 1280 614400
1738853582.903 1738853583.407 480 640 1280 614400
1738853583.836 1738853584.407 480 640 1280 614400
1738853584.936 1738853585.424 480 640 1280 614400
1738853585.870 1738853586.416 480 640 1280 614400
1738853586.903 1738853587.418 480 640 1280 614400
1738853587.937 1738853588.420 480 640 1280 614400
1738853588.903 1738853589.418 480 640 1280 614400
1738853589.936 1738853590.425 480 640 1280 614400
1738853590.836 1738853591.430 480 640 1280 614400
1738853591.903 1738853592.418 480 640 1280 614400
1738853592.803 1738853593.419 480 640 1280 614400
1738853593.903 1738853594.427 480 640 1280 614400
1738853594.936 1738853595.424 480 640 1280 614400
1738853595.870 1738853596.439 480 640 1280 614400
1738853596.836 1738853597.431 480 640 1280 614400
1738853597.903 1738853598.436 480 640 1280 614400
1738853598.936 1738853599.531 480 640 1280 614400
