msg_published_time msg_received_time map_load_time.secs update_time.secs uint32_metadata.size_x uint32_metadata.size_y uint8_data_size.bytes
1738936100.452 1738936101.086 0.000 0.000 60 60 3600
1738936101.052 1738936101.651 0.000 0.000 60 60 3600
1738936102.251 1738936102.896 0.000 0.000 60 60 3600
1738936102.851 1738936103.732 0.000 0.000 60 60 3600
1738936103.451 1738936103.979 0.000 0.000 60 60 3600
1738936104.051 1738936104.881 0.000 0.000 60 60 3600
1738936105.251 1738936106.038 0.000 0.000 60 60 3600
1738936105.851 1738936106.556 0.000 0.000 60 60 3600
1738936107.051 1738936107.965 0.000 0.000 60 60 3600
1738936110.651 1738936111.509 0.000 0.000 60 60 3600
1738936112.452 1738936113.533 0.000 0.000 60 60 3600
1738936113.051 1738936113.689 0.000 0.000 60 60 3600
1738936113.652 1738936114.169 0.000 0.000 60 60 3600
1738936114.852 1738936115.361 0.000 0.000 60 60 3600
1738936115.451 1738936116.011 0.000 0.000 60 60 3600
1738936116.652 1738936117.522 0.000 0.000 60 60 3600
1738936117.251 1738936118.161 0.000 0.000 60 60 3600
1738936119.051 1738936119.754 0.000 0.000 60 60 3600
1738936120.251 1738936120.935 0.000 0.000 60 60 3600
1738936122.652 1738936123.424 0.000 0.000 60 60 3600
1738936125.051 1738936125.774 0.000 0.000 60 60 3600
1738936130.452 1738936130.975 0.000 0.000 60 60 3600
1738936131.051 1738936131.564 0.000 0.000 60 60 3600
1738936134.051 1738936134.887 0.000 0.000 60 60 3600
1738936134.652 1738936135.407 0.000 0.000 60 60 3600
1738936135.851 1738936136.655 0.000 0.000 60 60 3600
1738936137.651 1738936138.373 0.000 0.000 60 60 3600
1738936138.251 1738936139.287 0.000 0.000 60 60 3600
1738936140.052 1738936141.051 0.000 0.000 60 60 3600
1738936141.251 1738936141.866 0.000 0.000 60 60 3600
1738936141.851 1738936142.577 0.000 0.000 60 60 3600
1738936143.651 1738936144.627 0.000 0.000 60 60 3600
1738936144.851 1738936145.865 0.000 0.000 60 60 3600
1738936145.451 1738936146.484 0.000 0.000 60 60 3600
1738936148.451 1738936149.131 0.000 0.000 60 60 3600
1738936149.051 1738936150.051 0.000 0.000 60 60 3600
1738936153.251 1738936154.050 0.000 0.000 60 60 3600
1738936153.851 1738936154.694 0.000 0.000 60 60 3600
1738936156.851 1738936157.566 0.000 0.000 60 60 3600
1738936158.051 1738936158.637 0.000 0.000 60 60 3600
1738936159.251 1738936159.918 0.000 0.000 60 60 3600
1738936161.051 1738936161.850 0.000 0.000 60 60 3600
1738936161.651 1738936162.275 0.000 0.000 60 60 3600
1738936164.051 1738936164.838 0.000 0.000 60 60 3600
1738936165.251 1738936166.109 0.000 0.000 60 60 3600
1738936165.851 1738936166.413 0.000 0.000 60 60 3600
1738936167.051 1738936167.551 0.000 0.000 60 60 3600
1738936167.651 1738936168.035 0.000 0.000 60 60 3600
1738936169.451 1738936170.506 0.000 0.000 60 60 3600
1738936170.651 1738936171.375 0.000 0.000 60 60 3600
1738936171.251 1738936171.936 0.000 0.000 60 60 3600
1738936173.051 1738936174.216 0.000 0.000 60 60 3600
1738936177.251 1738936178.334 0.000 0.000 60 60 3600
1738936178.451 1738936179.635 0.000 0.000 60 60 3600
1738936179.651 1738936180.244 0.000 0.000 60 60 3600
1738936180.251 1738936180.985 0.000 0.000 60 60 3600
1738936180.851 1738936181.527 0.000 0.000 60 60 3600
1738936182.051 1738936182.915 0.000 0.000 60 60 3600
1738936182.651 1738936183.530 0.000 0.000 60 60 3600
1738936183.251 1738936183.857 0.000 0.000 60 60 3600
1738936183.851 1738936184.853 0.000 0.000 60 60 3600
1738936185.051 1738936185.686 0.000 0.000 60 60 3600
1738936185.651 1738936186.318 0.000 0.000 60 60 3600
1738936187.451 1738936188.501 0.000 0.000 60 60 3600
1738936188.651 1738936189.319 0.000 0.000 60 60 3600
1738936191.651 1738936192.270 0.000 0.000 60 60 3600
1738936192.851 1738936193.383 0.000 0.000 60 60 3600
1738936193.451 1738936194.440 0.000 0.000 60 60 3600
1738936194.051 1738936194.886 0.000 0.000 60 60 3600
1738936194.652 1738936195.556 0.000 0.000 60 60 3600
1738936195.851 1738936196.699 0.000 0.000 60 60 3600
1738936197.051 1738936197.617 0.000 0.000 60 60 3600
1738936198.851 1738936199.755 0.000 0.000 60 60 3600
1738936201.251 1738936201.819 0.000 0.000 60 60 3600
1738936202.451 1738936203.070 0.000 0.000 60 60 3600
1738936203.651 1738936204.271 0.000 0.000 60 60 3600
1738936204.251 1738936204.881 0.000 0.000 60 60 3600
