msg_published_time msg_received_time uint32_height uint32_width uint32_step uint8_data_size.bytes
1738937152.234 1738937152.995 720 1280 3840 2764800
1738937152.268 1738937153.509 720 1280 3840 2764800
1738937152.501 1738937153.952 720 1280 3840 2764800
1738937152.801 1738937154.364 720 1280 3840 2764800
1738937152.934 1738937154.789 720 1280 3840 2764800
1738937153.401 1738937155.212 720 1280 3840 2764800
1738937157.668 1738937158.998 720 1280 3840 2764800
1738937158.135 1738937160.046 720 1280 3840 2764800
1738937158.168 1738937160.451 720 1280 3840 2764800
1738937158.835 1738937160.887 720 1280 3840 2764800
1738937160.968 1738937162.442 720 1280 3840 2764800
1738937161.201 1738937163.163 720 1280 3840 2764800
1738937162.868 1738937165.253 720 1280 3840 2764800
1738937164.668 1738937166.278 720 1280 3840 2764800
1738937165.168 1738937167.881 720 1280 3840 2764800
1738937166.701 1738937168.338 720 1280 3840 2764800
1738937167.135 1738937168.770 720 1280 3840 2764800
1738937167.635 1738937169.250 720 1280 3840 2764800
1738937168.135 1738937169.756 720 1280 3840 2764800
1738937170.868 1738937172.533 720 1280 3840 2764800
1738937171.268 1738937172.978 720 1280 3840 2764800
1738937173.035 1738937175.790 720 1280 3840 2764800
1738937174.601 1738937176.403 720 1280 3840 2764800
1738937175.635 1738937177.191 720 1280 3840 2764800
1738937175.768 1738937177.641 720 1280 3840 2764800
1738937177.135 1738937180.996 720 1280 3840 2764800
1738937177.201 1738937181.417 720 1280 3840 2764800
1738937177.435 1738937181.862 720 1280 3840 2764800
1738937180.002 1738937183.825 720 1280 3840 2764800
1738937185.668 1738937188.208 720 1280 3840 2764800
1738937185.735 1738937188.673 720 1280 3840 2764800
1738937187.602 1738937189.151 720 1280 3840 2764800
1738937192.368 1738937196.052 720 1280 3840 2764800
1738937195.635 1738937197.640 720 1280 3840 2764800
1738937200.068 1738937202.453 720 1280 3840 2764800
1738937200.135 1738937202.911 720 1280 3840 2764800
1738937201.368 1738937203.470 720 1280 3840 2764800
1738937203.668 1738937205.536 720 1280 3840 2764800
1738937207.402 1738937208.912 720 1280 3840 2764800
1738937209.102 1738937212.742 720 1280 3840 2764800
1738937211.402 1738937215.161 720 1280 3840 2764800
