msg_published_time msg_received_time map_load_time.secs update_time.secs uint32_metadata.size_x uint32_metadata.size_y uint8_data_size.bytes
1738922613.547 1738924057.808 0.000 0.000 60 60 3600
1738924057.747 1738924058.013 0.000 0.000 60 60 3600
1738924058.347 1738924058.351 0.000 0.000 60 60 3600
1738924058.946 1738924059.414 0.000 0.000 60 60 3600
1738924059.548 1738924059.983 0.000 0.000 60 60 3600
1738924060.747 1738924060.853 0.000 0.000 60 60 3600
1738924061.346 1738924062.320 0.000 0.000 60 60 3600
1738924061.948 1738924062.821 0.000 0.000 60 60 3600
1738924062.547 1738924063.267 0.000 0.000 60 60 3600
1738924063.147 1738924063.738 0.000 0.000 60 60 3600
1738924063.747 1738924064.644 0.000 0.000 60 60 3600
1738924064.347 1738924065.187 0.000 0.000 60 60 3600
1738924064.947 1738924065.646 0.000 0.000 60 60 3600
1738924065.547 1738924066.101 0.000 0.000 60 60 3600
1738924066.146 1738924067.047 0.000 0.000 60 60 3600
1738924066.746 1738924067.788 0.000 0.000 60 60 3600
1738924067.346 1738924067.956 0.000 0.000 60 60 3600
1738924068.547 1738924068.563 0.000 0.000 60 60 3600
1738924069.147 1738924069.410 0.000 0.000 60 60 3600
1738924069.747 1738924069.931 0.000 0.000 60 60 3600
1738924070.347 1738924070.458 0.000 0.000 60 60 3600
1738924070.946 1738924071.418 0.000 0.000 60 60 3600
1738924071.546 1738924071.551 0.000 0.000 60 60 3600
1738924072.147 1738924072.423 0.000 0.000 60 60 3600
1738924072.746 1738924072.843 0.000 0.000 60 60 3600
1738924073.347 1738924073.434 0.000 0.000 60 60 3600
1738924073.946 1738924074.448 0.000 0.000 60 60 3600
1738924074.547 1738924074.552 0.000 0.000 60 60 3600
1738924075.147 1738924075.425 0.000 0.000 60 60 3600
1738924075.746 1738924075.827 0.000 0.000 60 60 3600
1738924076.346 1738924076.438 0.000 0.000 60 60 3600
1738924076.947 1738924077.418 0.000 0.000 60 60 3600
1738924077.547 1738924077.552 0.000 0.000 60 60 3600
1738924078.147 1738924078.445 0.000 0.000 60 60 3600
1738924078.747 1738924078.950 0.000 0.000 60 60 3600
1738924079.347 1738924079.481 0.000 0.000 60 60 3600
1738924079.947 1738924080.372 0.000 0.000 60 60 3600
1738924080.547 1738924080.552 0.000 0.000 60 60 3600
1738924081.147 1738924081.464 0.000 0.000 60 60 3600
1738924081.746 1738924081.838 0.000 0.000 60 60 3600
1738924082.347 1738924082.467 0.000 0.000 60 60 3600
1738924082.947 1738924083.387 0.000 0.000 60 60 3600
1738924083.547 1738924083.605 0.000 0.000 60 60 3600
1738924084.146 1738924084.498 0.000 0.000 60 60 3600
1738924084.747 1738924084.852 0.000 0.000 60 60 3600
1738924085.347 1738924086.418 0.000 0.000 60 60 3600
1738924085.947 1738924086.497 0.000 0.000 60 60 3600
1738924086.546 1738924086.655 0.000 0.000 60 60 3600
1738924087.147 1738924087.512 0.000 0.000 60 60 3600
1738924087.746 1738924088.435 0.000 0.000 60 60 3600
1738924088.346 1738924088.554 0.000 0.000 60 60 3600
1738924088.947 1738924089.448 0.000 0.000 60 60 3600
1738924089.547 1738924089.569 0.000 0.000 60 60 3600
1738924090.147 1738924090.539 0.000 0.000 60 60 3600
1738924090.747 1738924090.921 0.000 0.000 60 60 3600
1738924091.346 1738924091.532 0.000 0.000 60 60 3600
1738924091.947 1738924092.422 0.000 0.000 60 60 3600
1738924092.547 1738924092.550 0.000 0.000 60 60 3600
1738924093.146 1738924093.531 0.000 0.000 60 60 3600
1738924093.747 1738924094.425 0.000 0.000 60 60 3600
1738924094.347 1738924094.538 0.000 0.000 60 60 3600
1738924094.946 1738924095.396 0.000 0.000 60 60 3600
1738924095.547 1738924095.552 0.000 0.000 60 60 3600
1738924096.147 1738924096.539 0.000 0.000 60 60 3600
1738924096.747 1738924096.752 0.000 0.000 60 60 3600
1738924097.347 1738924097.660 0.000 0.000 60 60 3600
1738924097.947 1738924098.408 0.000 0.000 60 60 3600
1738924098.547 1738924098.553 0.000 0.000 60 60 3600
1738924099.147 1738924099.387 0.000 0.000 60 60 3600
1738924099.747 1738924099.751 0.000 0.000 60 60 3600
1738924100.347 1738924100.510 0.000 0.000 60 60 3600
1738924100.946 1738924101.458 0.000 0.000 60 60 3600
1738924101.547 1738924101.572 0.000 0.000 60 60 3600
1738924102.147 1738924102.565 0.000 0.000 60 60 3600
1738924102.747 1738924102.751 0.000 0.000 60 60 3600
1738924103.347 1738924103.598 0.000 0.000 60 60 3600
1738924103.947 1738924104.448 0.000 0.000 60 60 3600
1738924104.547 1738924104.580 0.000 0.000 60 60 3600
1738924105.147 1738924105.608 0.000 0.000 60 60 3600
1738924105.747 1738924105.751 0.000 0.000 60 60 3600
1738924106.347 1738924106.662 0.000 0.000 60 60 3600
1738924106.947 1738924107.513 0.000 0.000 60 60 3600
1738924107.547 1738924107.765 0.000 0.000 60 60 3600
1738924108.147 1738924108.667 0.000 0.000 60 60 3600
1738924108.747 1738924109.520 0.000 0.000 60 60 3600
1738924109.348 1738924109.656 0.000 0.000 60 60 3600
1738924109.947 1738924110.478 0.000 0.000 60 60 3600
1738924110.547 1738924110.637 0.000 0.000 60 60 3600
1738924111.147 1738924111.666 0.000 0.000 60 60 3600
1738924111.747 1738924111.751 0.000 0.000 60 60 3600
1738924112.347 1738924112.554 0.000 0.000 60 60 3600
1738924112.948 1738924113.489 0.000 0.000 60 60 3600
1738924113.547 1738924113.617 0.000 0.000 60 60 3600
1738924114.147 1738924114.585 0.000 0.000 60 60 3600
1738924114.747 1738924114.751 0.000 0.000 60 60 3600
1738924115.347 1738924115.659 0.000 0.000 60 60 3600
1738924115.947 1738924116.457 0.000 0.000 60 60 3600
1738924116.547 1738924116.589 0.000 0.000 60 60 3600
1738924117.147 1738924118.023 0.000 0.000 60 60 3600
1738924117.747 1738924118.510 0.000 0.000 60 60 3600
1738924118.347 1738924119.013 0.000 0.000 60 60 3600
1738924118.947 1738924119.549 0.000 0.000 60 60 3600
1738924119.547 1738924120.724 0.000 0.000 60 60 3600
1738924120.147 1738924121.146 0.000 0.000 60 60 3600
1738924120.747 1738924121.673 0.000 0.000 60 60 3600
1738924121.347 1738924122.188 0.000 0.000 60 60 3600
1738924121.947 1738924122.733 0.000 0.000 60 60 3600
1738924122.546 1738924123.255 0.000 0.000 60 60 3600
1738924123.147 1738924123.769 0.000 0.000 60 60 3600
1738924123.747 1738924124.294 0.000 0.000 60 60 3600
1738924124.347 1738924125.321 0.000 0.000 60 60 3600
1738924124.947 1738924125.844 0.000 0.000 60 60 3600
1738924125.547 1738924126.369 0.000 0.000 60 60 3600
1738924126.146 1738924126.887 0.000 0.000 60 60 3600
1738924126.747 1738924127.370 0.000 0.000 60 60 3600
1738924127.347 1738924127.976 0.000 0.000 60 60 3600
1738924127.947 1738924128.358 0.000 0.000 60 60 3600
1738924128.548 1738924129.304 0.000 0.000 60 60 3600
1738924129.147 1738924129.965 0.000 0.000 60 60 3600
1738924129.747 1738924130.638 0.000 0.000 60 60 3600
1738924130.347 1738924131.268 0.000 0.000 60 60 3600
1738924130.947 1738924131.798 0.000 0.000 60 60 3600
