msg_published_time msg_received_time uint32_height uint32_width uint32_step uint8_data_size.bytes
1738924058.337 1738924060.001 720 1280 3840 2764800
1738924059.604 1738924060.852 720 1280 3840 2764800
1738924060.871 1738924061.816 720 1280 3840 2764800
1738924060.904 1738924062.334 720 1280 3840 2764800
1738924061.237 1738924062.820 720 1280 3840 2764800
1738924061.271 1738924063.266 720 1280 3840 2764800
1738924061.904 1738924063.737 720 1280 3840 2764800
1738924062.737 1738924064.181 720 1280 3840 2764800
1738924063.404 1738924064.643 720 1280 3840 2764800
1738924063.571 1738924065.186 720 1280 3840 2764800
1738924063.871 1738924065.645 720 1280 3840 2764800
1738924064.304 1738924066.100 720 1280 3840 2764800
1738924065.004 1738924066.577 720 1280 3840 2764800
1738924065.437 1738924067.046 720 1280 3840 2764800
1738924065.704 1738924067.784 720 1280 3840 2764800
1738924067.171 1738924068.610 720 1280 3840 2764800
1738924068.737 1738924069.457 720 1280 3840 2764800
1738924069.237 1738924070.385 720 1280 3840 2764800
1738924070.504 1738924071.417 720 1280 3840 2764800
1738924071.304 1738924072.358 720 1280 3840 2764800
1738924072.237 1738924073.463 720 1280 3840 2764800
1738924073.304 1738924074.447 720 1280 3840 2764800
1738924074.304 1738924075.359 720 1280 3840 2764800
1738924075.304 1738924076.373 720 1280 3840 2764800
1738924076.304 1738924077.417 720 1280 3840 2764800
1738924077.337 1738924078.464 720 1280 3840 2764800
1738924078.704 1738924079.411 720 1280 3840 2764800
1738924079.571 1738924080.371 720 1280 3840 2764800
1738924080.671 1738924081.392 720 1280 3840 2764800
1738924081.537 1738924082.399 720 1280 3840 2764800
1738924082.271 1738924083.397 720 1280 3840 2764800
1738924083.304 1738924084.429 720 1280 3840 2764800
1738924084.537 1738924085.435 720 1280 3840 2764800
1738924084.604 1738924086.174 720 1280 3840 2764800
1738924084.837 1738924086.417 720 1280 3840 2764800
1738924086.337 1738924087.408 720 1280 3840 2764800
1738924087.604 1738924088.442 720 1280 3840 2764800
1738924088.337 1738924089.461 720 1280 3840 2764800
1738924089.471 1738924090.409 720 1280 3840 2764800
1738924090.237 1738924091.414 720 1280 3840 2764800
1738924091.537 1738924092.421 720 1280 3840 2764800
1738924092.637 1738924093.427 720 1280 3840 2764800
1738924093.604 1738924094.432 720 1280 3840 2764800
1738924094.604 1738924095.403 720 1280 3840 2764800
1738924095.171 1738924096.434 720 1280 3840 2764800
1738924096.471 1738924097.397 720 1280 3840 2764800
1738924097.104 1738924098.417 720 1280 3840 2764800
1738924098.671 1738924099.261 720 1280 3840 2764800
