msg_published_time msg_received_time uint8_data_size.bytes
1738924058.804 1738924059.413 248975
1738924059.804 1738924060.242 249154
1738924060.771 1738924061.239 249107
1738924066.004 1738924067.784 247952
1738924067.371 1738924067.984 249307
1738924068.737 1738924068.866 248943
1738924069.704 1738924069.877 248982
1738924070.704 1738924070.886 249045
1738924071.704 1738924071.871 248846
1738924072.704 1738924072.881 248952
1738924073.704 1738924073.872 249080
1738924074.704 1738924074.876 248801
1738924075.671 1738924075.880 248989
1738924076.737 1738924076.903 249182
1738924077.771 1738924077.882 248964
1738924078.704 1738924078.885 249272
1738924079.737 1738924079.880 249217
1738924080.737 1738924080.887 249206
1738924081.671 1738924081.882 249114
1738924082.771 1738924082.893 249056
1738924083.771 1738924083.889 249206
1738924084.671 1738924084.892 249433
1738924085.571 1738924086.655 249034
1738924087.004 1738924087.409 248327
1738924087.904 1738924088.553 249161
1738924088.904 1738924089.461 248819
1738924089.971 1738924090.538 249170
1738924090.937 1738924091.414 249126
1738924091.937 1738924092.540 249134
1738924092.937 1738924093.431 249113
1738924094.004 1738924094.537 248994
1738924095.004 1738924095.404 249175
1738924096.037 1738924096.538 248983
1738924097.037 1738924097.483 248864
1738924098.037 1738924098.407 249083
1738924099.004 1738924099.273 248982
1738924099.904 1738924100.462 248769
1738924100.971 1738924101.471 248878
1738924101.971 1738924102.458 249048
1738924103.037 1738924103.482 248852
1738924103.937 1738924104.456 248950
1738924105.004 1738924105.493 248675
1738924105.971 1738924106.736 248159
1738924106.971 1738924107.534 248910
1738924107.971 1738924108.541 249008
1738924109.004 1738924109.533 248685
1738924109.938 1738924110.505 248437
1738924110.971 1738924111.545 248792
1738924111.971 1738924112.425 248679
1738924113.004 1738924113.497 248996
1738924114.038 1738924114.475 248608
1738924114.904 1738924115.536 248945
1738924115.904 1738924116.475 248673
1738924135.571 1738924136.899 248319
1738924137.304 1738924137.833 248401
1738924138.204 1738924139.140 248596
1738924139.238 1738924139.827 248587
1738924140.138 1738924140.849 248735
1738924141.271 1738924141.842 248399
1738924142.171 1738924142.858 248636
1738924143.238 1738924143.880 248111
1738924144.238 1738924144.879 248825
1738924145.238 1738924145.874 248375
1738924146.238 1738924146.858 248849
1738924147.271 1738924147.866 248899
1738924148.204 1738924148.873 248696
1738924149.238 1738924150.026 249004
1738924150.304 1738924151.112 247861
1738924152.538 1738924154.376 246092
1738924154.804 1738924155.816 246105
1738924155.838 1738924156.647 245633
1738924156.804 1738924157.130 246406
1738924157.804 1738924158.119 246122
1738924158.804 1738924159.114 246196
1738924159.771 1738924160.107 246473
1738924160.804 1738924161.130 245476
1738924161.804 1738924162.040 246088
1738924161.838 1738924162.059 246314
1738924162.871 1738924163.169 246180
1738924163.838 1738924164.016 245352
1738924164.838 1738924165.107 246343
1738924165.838 1738924166.018 246342
1738924166.838 1738924167.017 246366
1738924167.871 1738924168.042 246269
1738924168.838 1738924169.631 246483
1738924169.804 1738924170.032 246193
1738924170.871 1738924171.142 245365
1738924171.838 1738924172.030 246040
1738924172.838 1738924173.130 246288
1738924173.904 1738924174.046 246258
1738924174.838 1738924175.037 246097
1738924175.938 1738924176.135 245684
1738924176.804 1738924177.035 246189
1738924177.838 1738924178.155 246211
1738924178.838 1738924179.060 246084
1738924179.905 1738924180.231 245139
1738924180.805 1738924181.064 246278
1738924181.905 1738924182.184 246283
1738924182.871 1738924183.086 246106
1738924183.838 1738924184.180 245123
1738924184.871 1738924185.042 246002
1738924185.805 1738924186.143 246152
1738924186.938 1738924187.057 245658
1738924187.838 1738924188.169 246294
1738924188.871 1738924189.050 246340
1738924189.938 1738924190.207 246163
1738924190.871 1738924191.057 245974
1738924191.871 1738924192.175 246127
1738924192.838 1738924193.067 246349
1738924193.871 1738924194.170 246598
1738924194.838 1738924195.058 246486
1738924195.905 1738924196.168 246307
1738924196.905 1738924197.064 246150
1738924197.938 1738924198.177 245364
1738924198.871 1738924199.076 246182
1738924199.905 1738924200.173 246443
1738924200.871 1738924201.062 246450
1738924201.905 1738924202.176 246564
1738924202.805 1738924203.074 246795
1738924203.938 1738924204.170 246394
1738924204.871 1738924205.071 246317
1738924205.938 1738924206.181 245723
1738924206.871 1738924207.109 246321
1738924207.871 1738924208.075 246472
1738924208.938 1738924209.182 246204
1738924209.905 1738924210.084 246309
1738924210.838 1738924211.091 245633
1738924211.971 1738924212.088 246358
1738924212.905 1738924213.096 246597
1738924213.971 1738924214.245 246436
1738924214.938 1738924215.093 246331
1738924215.938 1738924216.197 246519
1738924216.905 1738924217.089 246506
1738924217.938 1738924218.091 246597
1738924218.938 1738924219.193 246708
1738924219.938 1738924220.106 246039
1738924220.905 1738924221.201 246268
1738924221.905 1738924222.096 246374
1738924222.905 1738924223.217 246286
1738924223.971 1738924224.202 246586
1738924224.838 1738924225.120 246355
1738924225.905 1738924226.202 246381
1738924226.905 1738924227.108 246539
1738924227.938 1738924228.215 246370
1738924228.905 1738924229.108 246431
1738924229.971 1738924230.210 246351
