msg_published_time msg_received_time uint32_height uint32_width uint32_step uint8_data_size.bytes
1738924058.071 1738924059.380 480 640 1920 921600
1738924059.104 1738924060.212 480 640 1920 921600
1738924060.104 1738924061.202 480 640 1920 921600
1738924065.071 1738924067.810 480 640 1920 921600
1738924066.104 1738924067.955 480 640 1920 921600
1738924068.004 1738924068.837 480 640 1920 921600
1738924069.171 1738924069.936 480 640 1920 921600
1738924070.104 1738924070.824 480 640 1920 921600
1738924071.137 1738924071.815 480 640 1920 921600
1738924072.171 1738924072.841 480 640 1920 921600
1738924074.171 1738924074.829 480 640 1920 921600
1738924075.204 1738924075.826 480 640 1920 921600
1738924076.171 1738924076.834 480 640 1920 921600
1738924077.104 1738924077.843 480 640 1920 921600
1738924078.204 1738924078.949 480 640 1920 921600
1738924079.171 1738924079.839 480 640 1920 921600
1738924080.171 1738924080.849 480 640 1920 921600
1738924081.204 1738924081.836 480 640 1920 921600
1738924082.137 1738924082.861 480 640 1920 921600
1738924083.204 1738924083.840 480 640 1920 921600
1738924084.271 1738924084.850 480 640 1920 921600
1738924086.271 1738924086.906 480 640 1920 921600
1738924087.237 1738924087.911 480 640 1920 921600
1738924088.237 1738924088.929 480 640 1920 921600
1738924089.204 1738924089.915 480 640 1920 921600
1738924090.171 1738924090.920 480 640 1920 921600
1738924091.237 1738924091.922 480 640 1920 921600
1738924092.204 1738924092.930 480 640 1920 921600
1738924093.171 1738924093.943 480 640 1920 921600
1738924094.204 1738924094.915 480 640 1920 921600
1738924095.237 1738924095.926 480 640 1920 921600
1738924096.237 1738924096.913 480 640 1920 921600
1738924097.204 1738924097.936 480 640 1920 921600
1738924099.171 1738924099.939 480 640 1920 921600
1738924100.237 1738924100.950 480 640 1920 921600
1738924101.237 1738924101.950 480 640 1920 921600
1738924102.237 1738924102.938 480 640 1920 921600
1738924103.237 1738924103.926 480 640 1920 921600
1738924104.304 1738924105.064 480 640 1920 921600
1738924105.237 1738924106.070 480 640 1920 921600
1738924106.304 1738924106.964 480 640 1920 921600
1738924107.237 1738924107.962 480 640 1920 921600
1738924108.304 1738924108.968 480 640 1920 921600
1738924109.204 1738924109.976 480 640 1920 921600
1738924110.338 1738924111.015 480 640 1920 921600
1738924111.304 1738924111.950 480 640 1920 921600
1738924112.271 1738924112.965 480 640 1920 921600
1738924113.338 1738924113.958 480 640 1920 921600
1738924114.304 1738924115.226 480 640 1920 921600
1738924115.337 1738924115.977 480 640 1920 921600
1738924116.304 1738924116.968 480 640 1920 921600
1738924135.371 1738924136.862 480 640 1920 921600
1738924136.371 1738924138.013 480 640 1920 921600
1738924137.404 1738924139.253 480 640 1920 921600
1738924138.371 1738924139.998 480 640 1920 921600
1738924139.338 1738924141.013 480 640 1920 921600
1738924140.438 1738924141.999 480 640 1920 921600
1738924141.338 1738924143.024 480 640 1920 921600
1738924142.404 1738924144.050 480 640 1920 921600
1738924143.371 1738924145.053 480 640 1920 921600
1738924144.371 1738924146.038 480 640 1920 921600
1738924145.404 1738924147.136 480 640 1920 921600
1738924146.371 1738924148.029 480 640 1920 921600
1738924147.338 1738924149.050 480 640 1920 921600
1738924148.438 1738924150.088 480 640 1920 921600
1738924149.404 1738924151.120 480 640 1920 921600
1738924151.438 1738924154.560 480 640 1920 921600
1738924154.438 1738924155.831 480 640 1920 921600
1738924155.404 1738924156.826 480 640 1920 921600
1738924156.404 1738924157.822 480 640 1920 921600
