msg_published_time msg_received_time uint32_height uint32_width uint32_step uint8_data_size.bytes
1738924058.571 1738924059.108 480 640 1280 614400
1738924059.537 1738924060.054 480 640 1280 614400
1738924060.504 1738924061.013 480 640 1280 614400
1738924065.804 1738924067.787 480 640 1280 614400
1738924067.437 1738924068.562 480 640 1280 614400
1738924068.704 1738924069.409 480 640 1280 614400
1738924069.704 1738924070.456 480 640 1280 614400
1738924070.737 1738924071.488 480 640 1280 614400
1738924071.671 1738924072.422 480 640 1280 614400
1738924072.637 1738924073.433 480 640 1280 614400
1738924073.704 1738924074.509 480 640 1280 614400
1738924074.537 1738924075.424 480 640 1280 614400
1738924075.704 1738924076.437 480 640 1280 614400
1738924076.604 1738924077.503 480 640 1280 614400
1738924077.771 1738924078.444 480 640 1280 614400
1738924078.737 1738924079.481 480 640 1280 614400
1738924079.704 1738924080.440 480 640 1280 614400
1738924080.737 1738924081.463 480 640 1280 614400
1738924081.571 1738924082.466 480 640 1280 614400
1738924082.737 1738924083.479 480 640 1280 614400
1738924083.671 1738924084.496 480 640 1280 614400
1738924084.871 1738924086.494 480 640 1280 614400
1738924085.137 1738924086.608 480 640 1280 614400
1738924086.704 1738924087.510 480 640 1280 614400
1738924087.371 1738924088.515 480 640 1280 614400
1738924088.771 1738924089.568 480 640 1280 614400
1738924089.604 1738924090.505 480 640 1280 614400
1738924090.537 1738924091.530 480 640 1280 614400
1738924091.671 1738924092.503 480 640 1280 614400
1738924092.737 1738924093.529 480 640 1280 614400
1738924093.804 1738924094.499 480 640 1280 614400
1738924094.737 1738924095.617 480 640 1280 614400
1738924095.671 1738924096.486 480 640 1280 614400
1738924096.637 1738924097.659 480 640 1280 614400
1738924097.737 1738924098.521 480 640 1280 614400
1738924098.671 1738924099.386 480 640 1280 614400
1738924099.771 1738924100.509 480 640 1280 614400
1738924100.704 1738924101.571 480 640 1280 614400
1738924101.704 1738924102.564 480 640 1280 614400
1738924102.771 1738924103.597 480 640 1280 614400
1738924103.704 1738924104.579 480 640 1280 614400
1738924104.571 1738924105.607 480 640 1280 614400
1738924105.738 1738924106.661 480 640 1280 614400
1738924106.704 1738924107.764 480 640 1280 614400
1738924107.738 1738924108.665 480 640 1280 614400
1738924108.771 1738924109.655 480 640 1280 614400
1738924109.838 1738924110.633 480 640 1280 614400
1738924110.638 1738924111.665 480 640 1280 614400
1738924111.738 1738924112.553 480 640 1280 614400
1738924112.804 1738924113.616 480 640 1280 614400
1738924113.771 1738924114.584 480 640 1280 614400
1738924114.838 1738924115.658 480 640 1280 614400
1738924115.738 1738924116.587 480 640 1280 614400
1738924135.804 1738924137.004 480 640 1280 614400
1738924135.838 1738924137.105 480 640 1280 614400
1738924136.404 1738924137.212 480 640 1280 614400
1738924137.538 1738924138.118 480 640 1280 614400
1738924138.438 1738924139.168 480 640 1280 614400
1738924139.438 1738924140.095 480 640 1280 614400
1738924140.471 1738924141.108 480 640 1280 614400
1738924141.438 1738924142.199 480 640 1280 614400
1738924142.538 1738924143.124 480 640 1280 614400
1738924143.404 1738924144.154 480 640 1280 614400
1738924144.138 1738924145.142 480 640 1280 614400
1738924145.404 1738924146.136 480 640 1280 614400
1738924146.438 1738924147.141 480 640 1280 614400
1738924147.338 1738924148.125 480 640 1280 614400
1738924148.304 1738924149.149 480 640 1280 614400
1738924149.471 1738924150.174 480 640 1280 614400
1738924150.171 1738924151.225 480 640 1280 614400
