msg_published_time msg_received_time uint32_height uint32_width uint32_step uint8_data_size.bytes
1738922535.497 1738922536.310 480 640 1280 614400
1738922536.630 1738922537.241 480 640 1280 614400
1738922539.763 1738922541.359 480 640 1280 614400
1738922541.530 1738922542.482 480 640 1280 614400
1738922542.264 1738922543.435 480 640 1280 614400
1738922543.264 1738922543.993 480 640 1280 614400
1738922544.330 1738922545.034 480 640 1280 614400
1738922545.497 1738922546.040 480 640 1280 614400
1738922546.430 1738922547.041 480 640 1280 614400
1738922547.464 1738922548.019 480 640 1280 614400
1738922548.464 1738922548.999 480 640 1280 614400
1738922549.497 1738922550.011 480 640 1280 614400
1738922550.497 1738922551.000 480 640 1280 614400
1738922551.464 1738922552.019 480 640 1280 614400
1738922552.430 1738922553.024 480 640 1280 614400
1738922553.430 1738922554.020 480 640 1280 614400
1738922554.497 1738922555.008 480 640 1280 614400
1738922555.530 1738922556.011 480 640 1280 614400
1738922556.197 1738922557.022 480 640 1280 614400
1738922557.330 1738922558.028 480 640 1280 614400
1738922558.397 1738922559.027 480 640 1280 614400
1738922559.464 1738922560.035 480 640 1280 614400
1738922560.497 1738922561.015 480 640 1280 614400
1738922562.130 1738922563.412 480 640 1280 614400
1738922562.264 1738922563.512 480 640 1280 614400
1738922563.364 1738922564.606 480 640 1280 614400
1738922564.630 1738922565.078 480 640 1280 614400
1738922565.564 1738922566.077 480 640 1280 614400
1738922566.530 1738922567.096 480 640 1280 614400
1738922567.530 1738922568.092 480 640 1280 614400
1738922568.564 1738922569.083 480 640 1280 614400
1738922569.497 1738922570.181 480 640 1280 614400
1738922570.530 1738922571.184 480 640 1280 614400
1738922571.530 1738922572.098 480 640 1280 614400
1738922572.664 1738922573.085 480 640 1280 614400
1738922573.564 1738922574.100 480 640 1280 614400
1738922574.597 1738922575.090 480 640 1280 614400
1738922575.597 1738922576.098 480 640 1280 614400
1738922576.297 1738922577.100 480 640 1280 614400
1738922577.530 1738922578.099 480 640 1280 614400
1738922578.664 1738922579.175 480 640 1280 614400
1738922579.597 1738922580.139 480 640 1280 614400
1738922580.564 1738922581.124 480 640 1280 614400
1738922581.597 1738922582.104 480 640 1280 614400
1738922582.497 1738922583.113 480 640 1280 614400
1738922583.364 1738922584.123 480 640 1280 614400
1738922584.630 1738922585.141 480 640 1280 614400
1738922585.564 1738922586.808 480 640 1280 614400
1738922586.264 1738922587.296 480 640 1280 614400
1738922587.630 1738922588.279 480 640 1280 614400
1738922588.597 1738922589.279 480 640 1280 614400
1738922589.630 1738922590.322 480 640 1280 614400
1738922590.330 1738922592.177 480 640 1280 614400
1738922590.697 1738922592.572 480 640 1280 614400
1738922593.897 1738922595.499 480 640 1280 614400
1738922595.630 1738922596.631 480 640 1280 614400
1738922596.664 1738922597.609 480 640 1280 614400
1738922597.597 1738922598.690 480 640 1280 614400
1738922597.930 1738922598.805 480 640 1280 614400
1738922598.864 1738922599.836 480 640 1280 614400
1738922599.797 1738922600.790 480 640 1280 614400
1738922600.930 1738922601.785 480 640 1280 614400
1738922601.864 1738922602.770 480 640 1280 614400
1738922602.631 1738922603.828 480 640 1280 614400
1738922603.897 1738922604.776 480 640 1280 614400
1738922604.864 1738922606.187 480 640 1280 614400
1738922604.897 1738922606.327 480 640 1280 614400
1738922605.364 1738922606.563 480 640 1280 614400
1738922607.997 1738922610.482 480 640 1280 614400
1738922609.564 1738922610.598 480 640 1280 614400
1738922610.731 1738922611.362 480 640 1280 614400
1738922611.731 1738922612.448 480 640 1280 614400
1738922612.731 1738922613.375 480 640 1280 614400
