msg_published_time msg_received_time map_load_time.secs update_time.secs uint32_metadata.size_x uint32_metadata.size_y uint8_data_size.bytes
1739039331.712 1739039332.148 0.000 0.000 60 60 3600
1739039332.311 1739039332.311 0.000 0.000 60 60 3600
1739039332.911 1739039332.912 0.000 0.000 60 60 3600
1739039333.512 1739039333.512 0.000 0.000 60 60 3600
1739039334.113 1739039334.115 0.000 0.000 60 60 3600
1739039334.712 1739039334.712 0.000 0.000 60 60 3600
1739039335.311 1739039335.311 0.000 0.000 60 60 3600
1739039335.912 1739039335.913 0.000 0.000 60 60 3600
1739039336.512 1739039336.512 0.000 0.000 60 60 3600
1739039337.112 1739039337.112 0.000 0.000 60 60 3600
1739039337.713 1739039337.714 0.000 0.000 60 60 3600
1739039338.312 1739039338.312 0.000 0.000 60 60 3600
1739039338.911 1739039338.911 0.000 0.000 60 60 3600
1739039339.514 1739039339.514 0.000 0.000 60 60 3600
1739039340.111 1739039340.212 0.000 0.000 60 60 3600
1739039340.711 1739039340.712 0.000 0.000 60 60 3600
1739039341.312 1739039341.312 0.000 0.000 60 60 3600
1739039341.913 1739039341.913 0.000 0.000 60 60 3600
1739039342.512 1739039342.513 0.000 0.000 60 60 3600
1739039343.112 1739039343.112 0.000 0.000 60 60 3600
1739039343.712 1739039343.712 0.000 0.000 60 60 3600
1739039344.312 1739039344.312 0.000 0.000 60 60 3600
1739039344.911 1739039344.911 0.000 0.000 60 60 3600
1739039345.511 1739039345.511 0.000 0.000 60 60 3600
1739039346.111 1739039346.111 0.000 0.000 60 60 3600
1739039346.711 1739039346.711 0.000 0.000 60 60 3600
1739039347.311 1739039347.312 0.000 0.000 60 60 3600
1739039347.911 1739039347.912 0.000 0.000 60 60 3600
1739039348.511 1739039348.512 0.000 0.000 60 60 3600
1739039349.113 1739039349.114 0.000 0.000 60 60 3600
1739039349.712 1739039349.712 0.000 0.000 60 60 3600
1739039350.312 1739039350.312 0.000 0.000 60 60 3600
1739039350.911 1739039350.912 0.000 0.000 60 60 3600
1739039351.513 1739039351.514 0.000 0.000 60 60 3600
1739039352.111 1739039352.111 0.000 0.000 60 60 3600
1739039352.712 1739039352.713 0.000 0.000 60 60 3600
1739039353.311 1739039353.311 0.000 0.000 60 60 3600
1739039353.912 1739039353.912 0.000 0.000 60 60 3600
1739039354.511 1739039354.511 0.000 0.000 60 60 3600
1739039355.111 1739039355.111 0.000 0.000 60 60 3600
1739039355.711 1739039355.711 0.000 0.000 60 60 3600
1739039356.311 1739039356.311 0.000 0.000 60 60 3600
1739039356.911 1739039356.911 0.000 0.000 60 60 3600
1739039357.511 1739039357.511 0.000 0.000 60 60 3600
1739039358.112 1739039358.112 0.000 0.000 60 60 3600
1739039358.711 1739039358.711 0.000 0.000 60 60 3600
1739039359.312 1739039359.312 0.000 0.000 60 60 3600
1739039359.911 1739039359.911 0.000 0.000 60 60 3600
1739039360.512 1739039360.512 0.000 0.000 60 60 3600
1739039361.111 1739039361.111 0.000 0.000 60 60 3600
1739039361.712 1739039361.712 0.000 0.000 60 60 3600
1739039362.311 1739039362.312 0.000 0.000 60 60 3600
1739039362.911 1739039362.911 0.000 0.000 60 60 3600
1739039363.511 1739039363.511 0.000 0.000 60 60 3600
1739039364.112 1739039364.112 0.000 0.000 60 60 3600
1739039364.713 1739039364.713 0.000 0.000 60 60 3600
1739039365.312 1739039365.312 0.000 0.000 60 60 3600
1739039365.915 1739039366.016 0.000 0.000 60 60 3600
1739039366.511 1739039366.511 0.000 0.000 60 60 3600
