msg_published_time msg_received_time map_load_time.secs update_time.secs uint32_metadata.size_x uint32_metadata.size_y uint8_data_size.bytes
1739039337.112 1739039337.623 0.000 0.000 60 60 3600
1739039337.713 1739039337.931 0.000 0.000 60 60 3600
1739039338.312 1739039338.450 0.000 0.000 60 60 3600
1739039338.911 1739039339.180 0.000 0.000 60 60 3600
1739039339.514 1739039340.110 0.000 0.000 60 60 3600
1739039340.111 1739039340.685 0.000 0.000 60 60 3600
1739039341.312 1739039341.478 0.000 0.000 60 60 3600
1739039343.112 1739039343.442 0.000 0.000 60 60 3600
1739039343.712 1739039344.647 0.000 0.000 60 60 3600
1739039344.312 1739039344.692 0.000 0.000 60 60 3600
1739039344.911 1739039345.714 0.000 0.000 60 60 3600
1739039347.911 1739039348.887 0.000 0.000 60 60 3600
1739039349.113 1739039349.722 0.000 0.000 60 60 3600
1739039350.312 1739039351.240 0.000 0.000 60 60 3600
1739039351.513 1739039352.488 0.000 0.000 60 60 3600
1739039353.912 1739039354.870 0.000 0.000 60 60 3600
1739039354.511 1739039356.920 0.000 0.000 60 60 3600
1739039359.911 1739039360.671 0.000 0.000 60 60 3600
1739039362.311 1739039363.316 0.000 0.000 60 60 3600
1739039364.112 1739039365.197 0.000 0.000 60 60 3600
1739039364.713 1739039365.694 0.000 0.000 60 60 3600
1739039365.312 1739039366.289 0.000 0.000 60 60 3600
1739039366.511 1739039367.379 0.000 0.000 60 60 3600
1739039367.112 1739039368.090 0.000 0.000 60 60 3600
1739039368.911 1739039369.653 0.000 0.000 60 60 3600
1739039370.112 1739039370.844 0.000 0.000 60 60 3600
1739039370.711 1739039371.779 0.000 0.000 60 60 3600
1739039371.912 1739039372.905 0.000 0.000 60 60 3600
1739039372.511 1739039373.133 0.000 0.000 60 60 3600
1739039373.111 1739039373.884 0.000 0.000 60 60 3600
1739039377.911 1739039378.905 0.000 0.000 60 60 3600
1739039380.911 1739039382.257 0.000 0.000 60 60 3600
1739039382.111 1739039383.130 0.000 0.000 60 60 3600
1739039383.312 1739039384.205 0.000 0.000 60 60 3600
1739039385.711 1739039386.457 0.000 0.000 60 60 3600
1739039388.711 1739039389.243 0.000 0.000 60 60 3600
1739039389.311 1739039390.391 0.000 0.000 60 60 3600
1739039389.912 1739039391.108 0.000 0.000 60 60 3600
1739039390.512 1739039391.238 0.000 0.000 60 60 3600
