msg_published_time msg_received_time map_load_time.secs update_time.secs uint32_metadata.size_x uint32_metadata.size_y uint8_data_size.bytes
1739042417.843 1739042417.973 0.000 0.000 60 60 3600
1739042418.443 1739042418.835 0.000 0.000 60 60 3600
1739042421.444 1739042422.331 0.000 0.000 60 60 3600
1739042422.643 1739042423.350 0.000 0.000 60 60 3600
1739042423.243 1739042424.045 0.000 0.000 60 60 3600
1739042423.843 1739042424.771 0.000 0.000 60 60 3600
1739042424.445 1739042425.289 0.000 0.000 60 60 3600
1739042425.643 1739042426.563 0.000 0.000 60 60 3600
1739042426.843 1739042427.840 0.000 0.000 60 60 3600
1739042428.043 1739042428.965 0.000 0.000 60 60 3600
1739042431.044 1739042431.782 0.000 0.000 60 60 3600
1739042432.843 1739042433.813 0.000 0.000 60 60 3600
1739042433.443 1739042434.419 0.000 0.000 60 60 3600
1739042436.443 1739042437.485 0.000 0.000 60 60 3600
1739042439.443 1739042440.364 0.000 0.000 60 60 3600
1739042440.643 1739042441.405 0.000 0.000 60 60 3600
1739042441.843 1739042442.969 0.000 0.000 60 60 3600
1739042444.244 1739042445.079 0.000 0.000 60 60 3600
1739042444.843 1739042445.377 0.000 0.000 60 60 3600
1739042447.243 1739042447.488 0.000 0.000 60 60 3600
1739042448.443 1739042449.516 0.000 0.000 60 60 3600
1739042492.843 1739042493.037 0.000 0.000 60 60 3600
1739042494.043 1739042494.883 0.000 0.000 60 60 3600
1739042495.848 1739042496.591 0.000 0.000 60 60 3600
1739042497.044 1739042497.948 0.000 0.000 60 60 3600
1739042497.644 1739042498.611 0.000 0.000 60 60 3600
1739042498.245 1739042499.123 0.000 0.000 60 60 3600
1739042498.845 1739042499.427 0.000 0.000 60 60 3600
1739042501.843 1739042502.380 0.000 0.000 60 60 3600
1739042502.444 1739042503.353 0.000 0.000 60 60 3600
1739042504.244 1739042504.837 0.000 0.000 60 60 3600
1739042505.444 1739042506.235 0.000 0.000 60 60 3600
1739042506.044 1739042506.656 0.000 0.000 60 60 3600
1739042506.644 1739042507.310 0.000 0.000 60 60 3600
1739042507.843 1739042508.620 0.000 0.000 60 60 3600
1739042508.443 1739042509.202 0.000 0.000 60 60 3600
1739042509.645 1739042510.159 0.000 0.000 60 60 3600
1739042510.844 1739042511.419 0.000 0.000 60 60 3600
1739042511.444 1739042512.206 0.000 0.000 60 60 3600
1739042512.644 1739042513.553 0.000 0.000 60 60 3600
1739042514.444 1739042515.156 0.000 0.000 60 60 3600
1739042515.644 1739042516.262 0.000 0.000 60 60 3600
1739042518.046 1739042518.662 0.000 0.000 60 60 3600
1739042518.645 1739042519.450 0.000 0.000 60 60 3600
1739042521.644 1739042523.346 0.000 0.000 60 60 3600
1739042523.444 1739042524.396 0.000 0.000 60 60 3600
1739042524.044 1739042524.832 0.000 0.000 60 60 3600
1739042524.644 1739042525.395 0.000 0.000 60 60 3600
1739042527.045 1739042527.949 0.000 0.000 60 60 3600
1739042528.244 1739042529.187 0.000 0.000 60 60 3600
1739042529.443 1739042530.544 0.000 0.000 60 60 3600
1739042531.243 1739042532.194 0.000 0.000 60 60 3600
1739042532.444 1739042532.959 0.000 0.000 60 60 3600
1739042533.644 1739042534.319 0.000 0.000 60 60 3600
1739042534.245 1739042535.076 0.000 0.000 60 60 3600
1739042536.644 1739042537.171 0.000 0.000 60 60 3600
1739042538.443 1739042539.117 0.000 0.000 60 60 3600
1739042541.445 1739042541.984 0.000 0.000 60 60 3600
1739042542.046 1739042543.353 0.000 0.000 60 60 3600
1739042546.244 1739042546.865 0.000 0.000 60 60 3600
1739042546.843 1739042547.583 0.000 0.000 60 60 3600
1739042547.443 1739042548.381 0.000 0.000 60 60 3600
1739042549.244 1739042550.039 0.000 0.000 60 60 3600
1739042550.443 1739042551.461 0.000 0.000 60 60 3600
1739042551.044 1739042552.032 0.000 0.000 60 60 3600
1739042551.643 1739042552.584 0.000 0.000 60 60 3600
1739042555.245 1739042556.222 0.000 0.000 60 60 3600
1739042557.044 1739042557.670 0.000 0.000 60 60 3600
1739042557.644 1739042558.474 0.000 0.000 60 60 3600
1739042558.243 1739042558.995 0.000 0.000 60 60 3600
1739042561.843 1739042562.590 0.000 0.000 60 60 3600
1739042564.243 1739042564.868 0.000 0.000 60 60 3600
1739042564.843 1739042565.896 0.000 0.000 60 60 3600
1739042565.443 1739042566.580 0.000 0.000 60 60 3600
1739042566.644 1739042567.418 0.000 0.000 60 60 3600
1739042567.843 1739042568.767 0.000 0.000 60 60 3600
1739042569.044 1739042569.795 0.000 0.000 60 60 3600
1739042571.444 1739042572.193 0.000 0.000 60 60 3600
1739042572.044 1739042572.773 0.000 0.000 60 60 3600
1739042573.243 1739042573.851 0.000 0.000 60 60 3600
1739042573.843 1739042574.996 0.000 0.000 60 60 3600
1739042574.445 1739042575.630 0.000 0.000 60 60 3600
1739042575.044 1739042575.777 0.000 0.000 60 60 3600
1739042575.643 1739042576.533 0.000 0.000 60 60 3600
1739042576.843 1739042577.627 0.000 0.000 60 60 3600
