msg_published_time msg_received_time uint32_height uint32_width uint32_step uint8_data_size.bytes
1739042417.850 1739042418.568 720 1280 3840 2764800
1739042418.050 1739042419.619 720 1280 3840 2764800
1739042418.150 1739042420.359 720 1280 3840 2764800
1739042420.517 1739042422.305 720 1280 3840 2764800
1739042421.117 1739042422.997 720 1280 3840 2764800
1739042421.850 1739042423.359 720 1280 3840 2764800
1739042422.817 1739042427.389 720 1280 3840 2764800
1739042426.117 1739042427.846 720 1280 3840 2764800
1739042426.550 1739042428.346 720 1280 3840 2764800
1739042429.450 1739042431.221 720 1280 3840 2764800
1739042431.150 1739042432.914 720 1280 3840 2764800
1739042431.184 1739042433.429 720 1280 3840 2764800
1739042434.050 1739042436.476 720 1280 3840 2764800
1739042434.117 1739042437.011 720 1280 3840 2764800
1739042436.850 1739042438.968 720 1280 3840 2764800
1739042437.584 1739042439.938 720 1280 3840 2764800
1739042439.317 1739042441.039 720 1280 3840 2764800
1739042439.817 1739042442.454 720 1280 3840 2764800
1739042441.184 1739042442.975 720 1280 3840 2764800
1739042443.584 1739042447.371 720 1280 3840 2764800
1739042446.317 1739042448.211 720 1280 3840 2764800
1739042447.284 1739042449.293 720 1280 3840 2764800
1739042493.051 1739042494.270 720 1280 3840 2764800
1739042494.151 1739042495.577 720 1280 3840 2764800
1739042494.651 1739042496.122 720 1280 3840 2764800
1739042495.084 1739042496.597 720 1280 3840 2764800
1739042503.284 1739042504.836 720 1280 3840 2764800
1739042506.284 1739042507.876 720 1280 3840 2764800
1739042506.684 1739042508.483 720 1280 3840 2764800
1739042508.084 1739042509.701 720 1280 3840 2764800
1739042508.251 1739042510.166 720 1280 3840 2764800
1739042509.084 1739042510.660 720 1280 3840 2764800
1739042510.817 1739042513.104 720 1280 3840 2764800
1739042512.684 1739042514.559 720 1280 3840 2764800
1739042513.284 1739042516.261 720 1280 3840 2764800
1739042515.251 1739042516.713 720 1280 3840 2764800
1739042516.184 1739042518.101 720 1280 3840 2764800
1739042519.151 1739042520.694 720 1280 3840 2764800
1739042519.284 1739042521.188 720 1280 3840 2764800
1739042519.951 1739042521.687 720 1280 3840 2764800
1739042521.484 1739042523.451 720 1280 3840 2764800
1739042522.284 1739042524.045 720 1280 3840 2764800
1739042523.784 1739042526.263 720 1280 3840 2764800
1739042524.917 1739042527.040 720 1280 3840 2764800
1739042525.451 1739042528.775 720 1280 3840 2764800
1739042529.584 1739042531.444 720 1280 3840 2764800
1739042530.251 1739042531.947 720 1280 3840 2764800
1739042531.251 1739042532.968 720 1280 3840 2764800
1739042533.117 1739042536.799 720 1280 3840 2764800
1739042535.384 1739042537.176 720 1280 3840 2764800
1739042536.084 1739042537.789 720 1280 3840 2764800
1739042537.917 1739042539.761 720 1280 3840 2764800
1739042538.017 1739042540.170 720 1280 3840 2764800
1739042539.984 1739042541.739 720 1280 3840 2764800
1739042541.084 1739042543.224 720 1280 3840 2764800
1739042543.951 1739042545.893 720 1280 3840 2764800
1739042544.584 1739042546.375 720 1280 3840 2764800
1739042545.251 1739042546.864 720 1280 3840 2764800
1739042546.417 1739042549.314 720 1280 3840 2764800
1739042551.984 1739042554.193 720 1280 3840 2764800
1739042552.017 1739042554.717 720 1280 3840 2764800
1739042553.484 1739042555.195 720 1280 3840 2764800
1739042555.251 1739042557.031 720 1280 3840 2764800
1739042555.717 1739042557.688 720 1280 3840 2764800
1739042557.951 1739042559.730 720 1280 3840 2764800
1739042558.117 1739042560.112 720 1280 3840 2764800
1739042558.317 1739042560.607 720 1280 3840 2764800
1739042562.951 1739042564.472 720 1280 3840 2764800
1739042563.784 1739042565.650 720 1280 3840 2764800
1739042566.684 1739042568.272 720 1280 3840 2764800
1739042567.017 1739042568.779 720 1280 3840 2764800
1739042567.551 1739042569.433 720 1280 3840 2764800
1739042567.984 1739042569.794 720 1280 3840 2764800
1739042568.484 1739042570.373 720 1280 3840 2764800
1739042569.717 1739042572.780 720 1280 3840 2764800
1739042579.684 1739042582.968 720 1280 3840 2764800
1739042582.617 1739042586.684 720 1280 3840 2764800
1739042585.351 1739042587.193 720 1280 3840 2764800
1739042587.517 1739042590.031 720 1280 3840 2764800
1739042588.618 1739042592.681 720 1280 3840 2764800
1739042593.284 1739042595.018 720 1280 3840 2764800
1739042602.784 1739042604.551 720 1280 3840 2764800
1739042603.018 1739042605.155 720 1280 3840 2764800
1739042604.818 1739042606.574 720 1280 3840 2764800
