msg_published_time msg_received_time uint32_height uint32_width uint32_step uint8_data_size.bytes
1739042418.017 1739042418.673 480 640 1920 921600
1739042418.284 1739042420.565 480 640 1920 921600
1739042418.317 1739042420.725 480 640 1920 921600
1739042418.450 1739042420.945 480 640 1920 921600
1739042419.817 1739042421.100 480 640 1920 921600
1739042420.050 1739042421.414 480 640 1920 921600
1739042420.550 1739042424.048 480 640 1920 921600
1739042423.184 1739042424.770 480 640 1920 921600
1739042423.784 1739042424.924 480 640 1920 921600
1739042423.817 1739042425.084 480 640 1920 921600
1739042424.084 1739042425.288 480 640 1920 921600
1739042424.117 1739042425.442 480 640 1920 921600
1739042424.217 1739042425.657 480 640 1920 921600
1739042427.050 1739042428.462 480 640 1920 921600
1739042429.117 1739042430.397 480 640 1920 921600
1739042429.450 1739042431.533 480 640 1920 921600
1739042429.484 1739042431.715 480 640 1920 921600
1739042430.617 1739042431.950 480 640 1920 921600
1739042430.784 1739042432.108 480 640 1920 921600
1739042431.017 1739042432.276 480 640 1920 921600
1739042431.184 1739042432.412 480 640 1920 921600
1739042433.684 1739042435.209 480 640 1920 921600
1739042433.884 1739042435.384 480 640 1920 921600
1739042434.117 1739042435.560 480 640 1920 921600
1739042434.351 1739042435.786 480 640 1920 921600
1739042436.484 1739042437.740 480 640 1920 921600
1739042436.817 1739042440.160 480 640 1920 921600
1739042436.884 1739042440.331 480 640 1920 921600
1739042439.317 1739042443.139 480 640 1920 921600
1739042442.017 1739042443.299 480 640 1920 921600
1739042442.184 1739042444.133 480 640 1920 921600
1739042442.484 1739042444.290 480 640 1920 921600
1739042443.317 1739042445.793 480 640 1920 921600
1739042444.984 1739042446.515 480 640 1920 921600
1739042446.317 1739042448.239 480 640 1920 921600
1739042447.284 1739042449.486 480 640 1920 921600
1739042466.984 1739042492.835 480 640 1920 921600
1739042493.917 1739042494.882 480 640 1920 921600
1739042494.151 1739042497.177 480 640 1920 921600
1739042494.551 1739042497.347 480 640 1920 921600
1739042496.284 1739042497.631 480 640 1920 921600
1739042496.484 1739042497.793 480 640 1920 921600
1739042496.684 1739042497.946 480 640 1920 921600
1739042496.751 1739042498.096 480 640 1920 921600
1739042496.984 1739042498.254 480 640 1920 921600
1739042497.017 1739042498.402 480 640 1920 921600
1739042498.051 1739042499.395 480 640 1920 921600
1739042500.017 1739042501.280 480 640 1920 921600
1739042500.117 1739042501.532 480 640 1920 921600
1739042502.817 1739042504.218 480 640 1920 921600
1739042503.751 1739042505.301 480 640 1920 921600
1739042503.984 1739042505.302 480 640 1920 921600
1739042504.017 1739042505.400 480 640 1920 921600
1739042504.217 1739042505.648 480 640 1920 921600
1739042504.684 1739042505.813 480 640 1920 921600
1739042504.717 1739042506.048 480 640 1920 921600
1739042505.684 1739042506.988 480 640 1920 921600
1739042506.684 1739042508.592 480 640 1920 921600
1739042507.851 1739042509.050 480 640 1920 921600
1739042507.884 1739042509.201 480 640 1920 921600
1739042508.084 1739042510.967 480 640 1920 921600
1739042508.251 1739042511.131 480 640 1920 921600
1739042510.117 1739042511.387 480 640 1920 921600
1739042510.417 1739042511.733 480 640 1920 921600
1739042510.584 1739042511.888 480 640 1920 921600
1739042510.684 1739042512.044 480 640 1920 921600
1739042510.817 1739042512.205 480 640 1920 921600
1739042512.517 1739042513.732 480 640 1920 921600
