msg_published_time msg_received_time uint32_height uint32_width uint32_step uint8_data_size.bytes
1739042417.984 1739042419.559 480 640 1280 614400
1739042418.017 1739042419.658 480 640 1280 614400
1739042418.050 1739042419.747 480 640 1280 614400
1739042418.084 1739042419.854 480 640 1280 614400
1739042418.217 1739042420.405 480 640 1280 614400
1739042419.484 1739042421.490 480 640 1280 614400
1739042419.517 1739042421.583 480 640 1280 614400
1739042420.284 1739042421.689 480 640 1280 614400
1739042420.850 1739042422.256 480 640 1280 614400
1739042421.184 1739042423.419 480 640 1280 614400
1739042422.217 1739042423.939 480 640 1280 614400
1739042422.450 1739042424.049 480 640 1280 614400
1739042422.484 1739042424.057 480 640 1280 614400
1739042422.584 1739042424.214 480 640 1280 614400
1739042422.650 1739042424.317 480 640 1280 614400
1739042422.850 1739042424.465 480 640 1280 614400
1739042423.217 1739042424.563 480 640 1280 614400
1739042424.017 1739042428.556 480 640 1280 614400
1739042424.050 1739042428.663 480 640 1280 614400
1739042424.250 1739042428.772 480 640 1280 614400
1739042427.484 1739042428.873 480 640 1280 614400
1739042427.650 1739042429.080 480 640 1280 614400
1739042427.850 1739042429.601 480 640 1280 614400
1739042427.950 1739042429.605 480 640 1280 614400
1739042427.984 1739042429.611 480 640 1280 614400
1739042428.217 1739042429.658 480 640 1280 614400
1739042428.284 1739042429.753 480 640 1280 614400
1739042428.350 1739042429.927 480 640 1280 614400
1739042428.917 1739042430.174 480 640 1280 614400
1739042429.250 1739042430.714 480 640 1280 614400
1739042429.750 1739042431.285 480 640 1280 614400
1739042430.917 1739042437.248 480 640 1280 614400
1739042436.217 1739042437.861 480 640 1280 614400
1739042436.584 1739042437.984 480 640 1280 614400
1739042436.617 1739042438.108 480 640 1280 614400
1739042436.651 1739042438.242 480 640 1280 614400
1739042438.251 1739042442.407 480 640 1280 614400
1739042441.884 1739042443.404 480 640 1280 614400
1739042442.217 1739042443.608 480 640 1280 614400
1739042442.284 1739042444.490 480 640 1280 614400
1739042443.284 1739042444.845 480 640 1280 614400
1739042443.351 1739042446.233 480 640 1280 614400
1739042445.151 1739042447.376 480 640 1280 614400
1739042493.184 1739042494.310 480 640 1280 614400
1739042493.251 1739042494.461 480 640 1280 614400
1739042493.651 1739042497.481 480 640 1280 614400
1739042497.117 1739042498.498 480 640 1280 614400
1739042497.151 1739042498.610 480 640 1280 614400
1739042497.317 1739042498.703 480 640 1280 614400
1739042497.351 1739042498.814 480 640 1280 614400
1739042497.517 1739042498.918 480 640 1280 614400
1739042497.551 1739042499.022 480 640 1280 614400
1739042497.617 1739042499.122 480 640 1280 614400
1739042497.917 1739042499.236 480 640 1280 614400
1739042498.051 1739042499.579 480 640 1280 614400
1739042498.384 1739042499.676 480 640 1280 614400
1739042498.417 1739042499.780 480 640 1280 614400
1739042498.451 1739042499.885 480 640 1280 614400
1739042498.584 1739042499.989 480 640 1280 614400
1739042498.817 1739042500.621 480 640 1280 614400
1739042499.217 1739042500.656 480 640 1280 614400
1739042499.351 1739042500.794 480 640 1280 614400
