msg_published_time msg_received_time uint32_height uint32_width uint32_step uint8_data_size.bytes
1738936097.455 1738936098.220 720 1280 3840 2764800
1738936097.488 1738936098.605 720 1280 3840 2764800
1738936097.588 1738936099.285 720 1280 3840 2764800
1738936098.188 1738936099.954 720 1280 3840 2764800
1738936100.621 1738936102.431 720 1280 3840 2764800
1738936100.688 1738936102.845 720 1280 3840 2764800
1738936101.188 1738936103.833 720 1280 3840 2764800
1738936103.321 1738936104.879 720 1280 3840 2764800
1738936106.221 1738936109.962 720 1280 3840 2764800
1738936108.721 1738936110.352 720 1280 3840 2764800
1738936109.655 1738936111.292 720 1280 3840 2764800
1738936114.388 1738936115.861 720 1280 3840 2764800
1738936117.221 1738936118.760 720 1280 3840 2764800
1738936117.321 1738936119.183 720 1280 3840 2764800
1738936117.688 1738936119.638 720 1280 3840 2764800
1738936122.355 1738936123.957 720 1280 3840 2764800
1738936122.455 1738936124.434 720 1280 3840 2764800
1738936124.222 1738936126.375 720 1280 3840 2764800
1738936125.122 1738936128.307 720 1280 3840 2764800
1738936127.122 1738936129.660 720 1280 3840 2764800
1738936129.255 1738936130.839 720 1280 3840 2764800
1738936131.655 1738936133.357 720 1280 3840 2764800
1738936132.622 1738936134.253 720 1280 3840 2764800
1738936132.722 1738936134.697 720 1280 3840 2764800
1738936134.455 1738936136.214 720 1280 3840 2764800
1738936135.022 1738936136.672 720 1280 3840 2764800
1738936135.888 1738936137.570 720 1280 3840 2764800
1738936136.488 1738936138.268 720 1280 3840 2764800
1738936139.488 1738936141.050 720 1280 3840 2764800
1738936139.855 1738936141.493 720 1280 3840 2764800
1738936141.355 1738936144.175 720 1280 3840 2764800
1738936145.088 1738936146.493 720 1280 3840 2764800
1738936145.155 1738936147.370 720 1280 3840 2764800
1738936145.488 1738936147.679 720 1280 3840 2764800
1738936147.255 1738936149.635 720 1280 3840 2764800
1738936148.422 1738936150.063 720 1280 3840 2764800
1738936150.755 1738936152.244 720 1280 3840 2764800
1738936155.022 1738936156.912 720 1280 3840 2764800
1738936158.155 1738936160.624 720 1280 3840 2764800
1738936159.188 1738936161.144 720 1280 3840 2764800
