msg_published_time msg_received_time uint32_height uint32_width uint32_step uint8_data_size.bytes
1738936098.021 1738936100.112 480 640 1920 921600
1738936100.621 1738936104.239 480 640 1920 921600
1738936103.321 1738936105.031 480 640 1920 921600
1738936104.188 1738936106.007 480 640 1920 921600
1738936104.255 1738936106.021 480 640 1920 921600
1738936104.321 1738936106.037 480 640 1920 921600
1738936104.988 1738936106.245 480 640 1920 921600
1738936105.488 1738936106.381 480 640 1920 921600
1738936105.521 1738936106.523 480 640 1920 921600
1738936105.721 1738936106.785 480 640 1920 921600
1738936105.821 1738936106.942 480 640 1920 921600
1738936105.955 1738936107.075 480 640 1920 921600
1738936105.988 1738936107.233 480 640 1920 921600
1738936106.221 1738936107.964 480 640 1920 921600
1738936107.621 1738936108.772 480 640 1920 921600
1738936107.788 1738936110.786 480 640 1920 921600
1738936109.888 1738936111.920 480 640 1920 921600
1738936110.055 1738936112.075 480 640 1920 921600
1738936111.088 1738936112.312 480 640 1920 921600
1738936111.955 1738936113.124 480 640 1920 921600
1738936111.988 1738936113.266 480 640 1920 921600
1738936112.155 1738936113.422 480 640 1920 921600
1738936112.488 1738936113.689 480 640 1920 921600
1738936112.721 1738936113.827 480 640 1920 921600
1738936112.755 1738936113.990 480 640 1920 921600
1738936114.221 1738936115.360 480 640 1920 921600
1738936114.321 1738936117.082 480 640 1920 921600
1738936114.521 1738936117.227 480 640 1920 921600
1738936114.655 1738936117.373 480 640 1920 921600
1738936116.288 1738936117.521 480 640 1920 921600
1738936116.588 1738936117.675 480 640 1920 921600
1738936116.621 1738936117.814 480 640 1920 921600
1738936117.688 1738936119.752 480 640 1920 921600
1738936118.655 1738936120.010 480 640 1920 921600
1738936119.221 1738936120.603 480 640 1920 921600
1738936119.388 1738936120.752 480 640 1920 921600
1738936119.855 1738936120.934 480 640 1920 921600
1738936119.888 1738936121.138 480 640 1920 921600
1738936120.255 1738936121.339 480 640 1920 921600
1738936120.288 1738936121.479 480 640 1920 921600
1738936120.521 1738936121.830 480 640 1920 921600
1738936120.655 1738936122.013 480 640 1920 921600
1738936121.521 1738936122.925 480 640 1920 921600
1738936121.755 1738936123.077 480 640 1920 921600
1738936122.055 1738936123.277 480 640 1920 921600
1738936122.288 1738936123.421 480 640 1920 921600
1738936122.421 1738936124.700 480 640 1920 921600
1738936122.455 1738936124.850 480 640 1920 921600
1738936124.155 1738936129.764 480 640 1920 921600
1738936124.222 1738936129.901 480 640 1920 921600
1738936128.988 1738936130.977 480 640 1920 921600
1738936130.155 1738936131.563 480 640 1920 921600
1738936131.255 1738936132.526 480 640 1920 921600
1738936131.355 1738936132.660 480 640 1920 921600
1738936132.322 1738936133.567 480 640 1920 921600
1738936132.622 1738936133.715 480 640 1920 921600
1738936132.722 1738936134.818 480 640 1920 921600
1738936135.422 1738936137.680 480 640 1920 921600
1738936136.955 1738936138.375 480 640 1920 921600
1738936137.388 1738936138.416 480 640 1920 921600
1738936140.322 1738936141.606 480 640 1920 921600
1738936140.622 1738936141.796 480 640 1920 921600
1738936140.888 1738936142.012 480 640 1920 921600
1738936141.355 1738936144.331 480 640 1920 921600
1738936143.422 1738936144.561 480 640 1920 921600
1738936143.522 1738936144.804 480 640 1920 921600
1738936143.622 1738936144.931 480 640 1920 921600
1738936143.855 1738936145.219 480 640 1920 921600
1738936143.888 1738936145.462 480 640 1920 921600
1738936144.155 1738936145.538 480 640 1920 921600
1738936144.488 1738936145.672 480 640 1920 921600
1738936144.522 1738936145.835 480 640 1920 921600
1738936144.822 1738936146.023 480 640 1920 921600
1738936145.122 1738936151.110 480 640 1920 921600
1738936145.222 1738936151.255 480 640 1920 921600
1738936145.488 1738936151.392 480 640 1920 921600
1738936150.222 1738936151.650 480 640 1920 921600
1738936150.488 1738936151.728 480 640 1920 921600
1738936151.155 1738936152.583 480 640 1920 921600
1738936151.455 1738936152.959 480 640 1920 921600
1738936151.755 1738936153.098 480 640 1920 921600
1738936152.155 1738936153.492 480 640 1920 921600
1738936152.555 1738936154.546 480 640 1920 921600
1738936152.888 1738936154.693 480 640 1920 921600
1738936153.622 1738936154.847 480 640 1920 921600
1738936153.655 1738936155.001 480 640 1920 921600
1738936153.722 1738936155.154 480 640 1920 921600
1738936153.955 1738936155.305 480 640 1920 921600
1738936154.255 1738936155.476 480 640 1920 921600
1738936154.555 1738936155.648 480 640 1920 921600
1738936154.588 1738936155.873 480 640 1920 921600
1738936154.755 1738936156.157 480 640 1920 921600
1738936155.855 1738936157.068 480 640 1920 921600
1738936155.922 1738936157.218 480 640 1920 921600
1738936155.955 1738936157.390 480 640 1920 921600
1738936156.422 1738936157.738 480 640 1920 921600
1738936156.822 1738936158.899 480 640 1920 921600
1738936156.888 1738936159.048 480 640 1920 921600
1738936158.155 1738936159.580 480 640 1920 921600
1738936158.488 1738936159.742 480 640 1920 921600
1738936158.622 1738936159.917 480 640 1920 921600
1738936161.322 1738936162.539 480 640 1920 921600
1738936161.822 1738936163.837 480 640 1920 921600
1738936161.855 1738936163.987 480 640 1920 921600
1738936164.822 1738936165.967 480 640 1920 921600
1738936164.855 1738936166.108 480 640 1920 921600
1738936165.122 1738936168.363 480 640 1920 921600
1738936165.155 1738936168.505 480 640 1920 921600
1738936165.222 1738936168.650 480 640 1920 921600
1738936167.588 1738936170.036 480 640 1920 921600
1738936168.955 1738936170.181 480 640 1920 921600
1738936169.122 1738936170.434 480 640 1920 921600
1738936169.222 1738936170.466 480 640 1920 921600
1738936169.388 1738936170.648 480 640 1920 921600
1738936169.888 1738936171.237 480 640 1920 921600
1738936170.022 1738936171.374 480 640 1920 921600
1738936170.322 1738936171.537 480 640 1920 921600
1738936170.722 1738936173.434 480 640 1920 921600
1738936171.088 1738936173.593 480 640 1920 921600
1738936172.622 1738936174.310 480 640 1920 921600
1738936173.055 1738936174.739 480 640 1920 921600
1738936173.555 1738936175.262 480 640 1920 921600
