msg_published_time msg_received_time uint32_height uint32_width uint32_step uint8_data_size.bytes
1738936097.488 1738936098.644 480 640 1280 614400
1738936097.788 1738936100.207 480 640 1280 614400
1738936097.821 1738936100.434 480 640 1280 614400
1738936099.055 1738936100.452 480 640 1280 614400
1738936099.188 1738936100.566 480 640 1280 614400
1738936100.121 1738936101.318 480 640 1280 614400
1738936100.155 1738936101.414 480 640 1280 614400
1738936100.288 1738936101.569 480 640 1280 614400
1738936100.321 1738936101.751 480 640 1280 614400
1738936100.355 1738936101.844 480 640 1280 614400
1738936100.488 1738936102.895 480 640 1280 614400
1738936100.721 1738936102.990 480 640 1280 614400
1738936100.755 1738936103.093 480 640 1280 614400
1738936102.121 1738936103.792 480 640 1280 614400
1738936102.688 1738936103.978 480 640 1280 614400
1738936102.788 1738936105.122 480 640 1280 614400
1738936102.821 1738936105.217 480 640 1280 614400
1738936102.855 1738936105.310 480 640 1280 614400
1738936103.055 1738936105.404 480 640 1280 614400
1738936103.121 1738936105.512 480 640 1280 614400
1738936105.755 1738936107.320 480 640 1280 614400
1738936105.788 1738936107.411 480 640 1280 614400
1738936105.821 1738936107.507 480 640 1280 614400
1738936105.855 1738936107.719 480 640 1280 614400
1738936105.888 1738936107.720 480 640 1280 614400
1738936106.388 1738936107.809 480 640 1280 614400
1738936106.688 1738936108.051 480 640 1280 614400
1738936107.188 1738936108.478 480 640 1280 614400
1738936107.221 1738936108.618 480 640 1280 614400
1738936107.655 1738936108.900 480 640 1280 614400
1738936107.688 1738936109.082 480 640 1280 614400
1738936107.955 1738936109.255 480 640 1280 614400
1738936107.988 1738936109.351 480 640 1280 614400
1738936108.321 1738936110.307 480 640 1280 614400
1738936108.355 1738936110.409 480 640 1280 614400
1738936109.221 1738936110.517 480 640 1280 614400
1738936109.588 1738936111.340 480 640 1280 614400
1738936110.188 1738936111.508 480 640 1280 614400
1738936110.288 1738936111.639 480 640 1280 614400
1738936110.421 1738936111.731 480 640 1280 614400
1738936110.521 1738936112.168 480 640 1280 614400
1738936110.788 1738936112.412 480 640 1280 614400
1738936110.821 1738936112.510 480 640 1280 614400
1738936111.421 1738936112.687 480 640 1280 614400
1738936111.455 1738936112.787 480 640 1280 614400
1738936111.555 1738936112.886 480 640 1280 614400
1738936111.621 1738936112.976 480 640 1280 614400
1738936111.755 1738936113.533 480 640 1280 614400
1738936112.421 1738936114.077 480 640 1280 614400
1738936112.721 1738936114.168 480 640 1280 614400
1738936113.055 1738936114.280 480 640 1280 614400
1738936113.188 1738936114.371 480 640 1280 614400
1738936113.221 1738936114.471 480 640 1280 614400
1738936113.255 1738936114.617 480 640 1280 614400
1738936113.421 1738936114.717 480 640 1280 614400
1738936113.455 1738936114.813 480 640 1280 614400
1738936113.488 1738936114.907 480 640 1280 614400
1738936113.655 1738936115.081 480 640 1280 614400
1738936113.988 1738936115.172 480 640 1280 614400
1738936114.388 1738936115.911 480 640 1280 614400
1738936114.755 1738936116.009 480 640 1280 614400
1738936114.788 1738936116.096 480 640 1280 614400
1738936114.821 1738936116.194 480 640 1280 614400
1738936114.921 1738936116.294 480 640 1280 614400
1738936114.955 1738936116.396 480 640 1280 614400
1738936115.221 1738936116.500 480 640 1280 614400
1738936115.355 1738936116.766 480 640 1280 614400
1738936115.688 1738936116.938 480 640 1280 614400
1738936115.755 1738936117.906 480 640 1280 614400
1738936116.021 1738936118.006 480 640 1280 614400
1738936117.121 1738936119.856 480 640 1280 614400
1738936118.821 1738936120.111 480 640 1280 614400
1738936118.855 1738936120.203 480 640 1280 614400
1738936119.088 1738936120.307 480 640 1280 614400
1738936119.121 1738936120.459 480 640 1280 614400
1738936119.388 1738936122.150 480 640 1280 614400
1738936119.455 1738936122.235 480 640 1280 614400
1738936120.788 1738936122.337 480 640 1280 614400
1738936121.155 1738936122.487 480 640 1280 614400
1738936121.188 1738936122.636 480 640 1280 614400
1738936121.255 1738936122.731 480 640 1280 614400
1738936122.288 1738936125.249 480 640 1280 614400
1738936122.488 1738936125.356 480 640 1280 614400
1738936122.521 1738936125.454 480 640 1280 614400
1738936124.222 1738936125.644 480 640 1280 614400
1738936124.288 1738936125.773 480 640 1280 614400
1738936124.588 1738936125.878 480 640 1280 614400
1738936124.622 1738936126.436 480 640 1280 614400
