msg_published_time msg_received_time map_load_time.secs update_time.secs uint32_metadata.size_x uint32_metadata.size_y uint8_data_size.bytes
1738931137.148 1738931137.624 0.000 0.000 60 60 3600
1738931137.747 1738931137.787 0.000 0.000 60 60 3600
1738931138.347 1738931138.354 0.000 0.000 60 60 3600
1738931138.948 1738931140.266 0.000 0.000 60 60 3600
1738931139.546 1738931140.829 0.000 0.000 60 60 3600
1738931140.147 1738931141.383 0.000 0.000 60 60 3600
1738931140.746 1738931141.929 0.000 0.000 60 60 3600
1738931141.347 1738931142.484 0.000 0.000 60 60 3600
1738931141.947 1738931143.003 0.000 0.000 60 60 3600
1738931142.547 1738931143.492 0.000 0.000 60 60 3600
1738931143.147 1738931143.998 0.000 0.000 60 60 3600
1738931143.747 1738931144.480 0.000 0.000 60 60 3600
1738931144.347 1738931145.981 0.000 0.000 60 60 3600
1738931144.947 1738931146.455 0.000 0.000 60 60 3600
1738931146.147 1738931147.404 0.000 0.000 60 60 3600
1738931146.747 1738931147.878 0.000 0.000 60 60 3600
1738931147.349 1738931148.219 0.000 0.000 60 60 3600
1738931147.948 1738931148.791 0.000 0.000 60 60 3600
1738931148.548 1738931149.396 0.000 0.000 60 60 3600
1738931149.146 1738931149.882 0.000 0.000 60 60 3600
1738931149.747 1738931150.336 0.000 0.000 60 60 3600
1738931150.347 1738931151.315 0.000 0.000 60 60 3600
1738931150.947 1738931151.782 0.000 0.000 60 60 3600
1738931151.547 1738931152.680 0.000 0.000 60 60 3600
1738931152.146 1738931153.157 0.000 0.000 60 60 3600
1738931152.748 1738931153.749 0.000 0.000 60 60 3600
1738931153.348 1738931154.252 0.000 0.000 60 60 3600
1738931153.946 1738931154.740 0.000 0.000 60 60 3600
1738931154.547 1738931155.218 0.000 0.000 60 60 3600
1738931155.147 1738931156.618 0.000 0.000 60 60 3600
1738931156.349 1738931157.369 0.000 0.000 60 60 3600
1738931156.947 1738931157.394 0.000 0.000 60 60 3600
1738931157.547 1738931157.554 0.000 0.000 60 60 3600
1738931158.147 1738931159.275 0.000 0.000 60 60 3600
1738931159.348 1738931159.805 0.000 0.000 60 60 3600
1738931159.947 1738931160.704 0.000 0.000 60 60 3600
1738931160.547 1738931161.256 0.000 0.000 60 60 3600
1738931161.147 1738931161.751 0.000 0.000 60 60 3600
1738931161.747 1738931162.724 0.000 0.000 60 60 3600
1738931162.346 1738931163.063 0.000 0.000 60 60 3600
1738931162.947 1738931163.724 0.000 0.000 60 60 3600
1738931163.547 1738931164.383 0.000 0.000 60 60 3600
1738931164.147 1738931164.924 0.000 0.000 60 60 3600
1738931164.748 1738931165.412 0.000 0.000 60 60 3600
1738931165.347 1738931166.474 0.000 0.000 60 60 3600
1738931165.947 1738931166.827 0.000 0.000 60 60 3600
1738931166.547 1738931167.672 0.000 0.000 60 60 3600
1738931167.147 1738931168.360 0.000 0.000 60 60 3600
1738931167.748 1738931168.823 0.000 0.000 60 60 3600
1738931168.348 1738931169.323 0.000 0.000 60 60 3600
1738931168.947 1738931169.844 0.000 0.000 60 60 3600
