msg_published_time msg_received_time uint32_height uint32_width uint32_step uint8_data_size.bytes
1738931138.103 1738931140.285 720 1280 3840 2764800
1738931138.470 1738931140.837 720 1280 3840 2764800
1738931138.770 1738931141.382 720 1280 3840 2764800
1738931139.337 1738931141.928 720 1280 3840 2764800
1738931140.037 1738931142.482 720 1280 3840 2764800
1738931140.636 1738931143.002 720 1280 3840 2764800
1738931141.070 1738931143.492 720 1280 3840 2764800
1738931141.837 1738931143.998 720 1280 3840 2764800
1738931142.370 1738931144.479 720 1280 3840 2764800
1738931143.303 1738931144.972 720 1280 3840 2764800
1738931143.436 1738931145.443 720 1280 3840 2764800
1738931143.703 1738931145.980 720 1280 3840 2764800
1738931149.637 1738931151.781 720 1280 3840 2764800
1738931150.170 1738931152.240 720 1280 3840 2764800
1738931150.870 1738931152.679 720 1280 3840 2764800
1738931152.037 1738931154.251 720 1280 3840 2764800
1738931152.537 1738931154.739 720 1280 3840 2764800
1738931153.203 1738931155.217 720 1280 3840 2764800
1738931154.003 1738931155.659 720 1280 3840 2764800
1738931154.470 1738931156.237 720 1280 3840 2764800
1738931157.270 1738931158.834 720 1280 3840 2764800
1738931157.636 1738931159.274 720 1280 3840 2764800
1738931159.336 1738931160.714 720 1280 3840 2764800
1738931162.937 1738931164.922 720 1280 3840 2764800
1738931163.303 1738931165.411 720 1280 3840 2764800
1738931163.770 1738931166.318 720 1280 3840 2764800
1738931164.537 1738931166.596 720 1280 3840 2764800
1738931172.403 1738931174.184 720 1280 3840 2764800
1738931172.537 1738931174.652 720 1280 3840 2764800
1738931173.070 1738931175.103 720 1280 3840 2764800
1738931173.803 1738931175.566 720 1280 3840 2764800
1738931174.337 1738931176.029 720 1280 3840 2764800
1738931174.837 1738931176.649 720 1280 3840 2764800
1738931175.437 1738931177.123 720 1280 3840 2764800
1738931178.070 1738931180.280 720 1280 3840 2764800
1738931178.403 1738931181.051 720 1280 3840 2764800
1738931179.570 1738931181.207 720 1280 3840 2764800
1738931187.637 1738931189.903 720 1280 3840 2764800
1738931188.570 1738931190.379 720 1280 3840 2764800
1738931189.270 1738931190.828 720 1280 3840 2764800
1738931194.337 1738931196.330 720 1280 3840 2764800
1738931196.170 1738931197.790 720 1280 3840 2764800
1738931196.470 1738931198.338 720 1280 3840 2764800
1738931205.203 1738931207.481 720 1280 3840 2764800
1738931205.870 1738931207.935 720 1280 3840 2764800
1738931206.870 1738931208.376 720 1280 3840 2764800
1738931209.503 1738931211.810 720 1280 3840 2764800
1738931210.237 1738931212.109 720 1280 3840 2764800
1738931210.770 1738931212.597 720 1280 3840 2764800
1738931211.337 1738931213.083 720 1280 3840 2764800
1738931211.570 1738931213.583 720 1280 3840 2764800
1738931212.004 1738931214.155 720 1280 3840 2764800
1738931212.637 1738931214.616 720 1280 3840 2764800
1738931213.170 1738931215.095 720 1280 3840 2764800
1738931213.870 1738931215.603 720 1280 3840 2764800
1738931214.304 1738931216.086 720 1280 3840 2764800
1738931215.004 1738931216.556 720 1280 3840 2764800
1738931216.437 1738931217.904 720 1280 3840 2764800
1738931216.837 1738931218.380 720 1280 3840 2764800
1738931216.870 1738931218.863 720 1280 3840 2764800
1738931217.504 1738931219.345 720 1280 3840 2764800
1738931218.104 1738931219.899 720 1280 3840 2764800
1738931218.937 1738931220.464 720 1280 3840 2764800
1738931221.004 1738931223.492 720 1280 3840 2764800
1738931223.904 1738931226.318 720 1280 3840 2764800
1738931224.704 1738931226.686 720 1280 3840 2764800
1738931225.104 1738931227.125 720 1280 3840 2764800
1738931225.770 1738931227.619 720 1280 3840 2764800
1738931228.204 1738931230.411 720 1280 3840 2764800
1738931228.804 1738931230.877 720 1280 3840 2764800
1738931229.370 1738931231.356 720 1280 3840 2764800
1738931230.370 1738931231.847 720 1280 3840 2764800
1738931230.604 1738931232.314 720 1280 3840 2764800
1738931230.670 1738931232.826 720 1280 3840 2764800
1738931230.904 1738931233.345 720 1280 3840 2764800
1738931231.870 1738931233.877 720 1280 3840 2764800
1738931232.370 1738931234.410 720 1280 3840 2764800
1738931233.004 1738931234.995 720 1280 3840 2764800
1738931236.537 1738931238.945 720 1280 3840 2764800
1738931237.204 1738931239.382 720 1280 3840 2764800
1738931239.104 1738931240.496 720 1280 3840 2764800
1738931239.404 1738931240.910 720 1280 3840 2764800
1738931239.837 1738931241.364 720 1280 3840 2764800
1738931249.304 1738931251.730 720 1280 3840 2764800
1738931249.937 1738931252.247 720 1280 3840 2764800
1738931252.737 1738931254.823 720 1280 3840 2764800
1738931253.370 1738931255.254 720 1280 3840 2764800
1738931254.070 1738931255.720 720 1280 3840 2764800
1738931255.937 1738931258.103 720 1280 3840 2764800
1738931256.704 1738931258.479 720 1280 3840 2764800
1738931257.170 1738931259.096 720 1280 3840 2764800
1738931257.470 1738931259.418 720 1280 3840 2764800
1738931259.170 1738931261.547 720 1280 3840 2764800
1738931259.970 1738931261.990 720 1280 3840 2764800
1738931260.570 1738931262.482 720 1280 3840 2764800
1738931261.237 1738931262.991 720 1280 3840 2764800
1738931261.304 1738931263.412 720 1280 3840 2764800
1738931261.737 1738931263.891 720 1280 3840 2764800
1738931264.304 1738931266.204 720 1280 3840 2764800
1738931264.770 1738931266.678 720 1280 3840 2764800
1738931267.037 1738931269.438 720 1280 3840 2764800
1738931268.004 1738931269.999 720 1280 3840 2764800
1738931268.570 1738931270.298 720 1280 3840 2764800
1738931268.937 1738931270.779 720 1280 3840 2764800
1738931276.037 1738931277.732 720 1280 3840 2764800
1738931281.637 1738931283.370 720 1280 3840 2764800
1738931282.237 1738931283.791 720 1280 3840 2764800
1738931284.871 1738931287.492 720 1280 3840 2764800
1738931287.637 1738931289.231 720 1280 3840 2764800
1738931289.504 1738931291.659 720 1280 3840 2764800
1738931290.037 1738931292.002 720 1280 3840 2764800
1738931290.571 1738931292.496 720 1280 3840 2764800
1738931291.404 1738931292.978 720 1280 3840 2764800
1738931291.871 1738931293.472 720 1280 3840 2764800
1738931291.971 1738931293.957 720 1280 3840 2764800
1738931295.404 1738931297.387 720 1280 3840 2764800
1738931296.204 1738931297.817 720 1280 3840 2764800
1738931299.004 1738931300.970 720 1280 3840 2764800
1738931299.537 1738931301.499 720 1280 3840 2764800
1738931300.404 1738931301.838 720 1280 3840 2764800
1738931300.737 1738931302.296 720 1280 3840 2764800
1738931300.971 1738931302.701 720 1280 3840 2764800
1738931301.304 1738931303.136 720 1280 3840 2764800
1738931302.304 1738931303.570 720 1280 3840 2764800
1738931302.437 1738931303.999 720 1280 3840 2764800
1738931303.704 1738931305.658 720 1280 3840 2764800
1738931304.704 1738931306.082 720 1280 3840 2764800
1738931305.071 1738931306.529 720 1280 3840 2764800
1738931309.037 1738931310.484 720 1280 3840 2764800
1738931309.171 1738931310.927 720 1280 3840 2764800
1738931309.637 1738931311.391 720 1280 3840 2764800
1738931309.804 1738931311.831 720 1280 3840 2764800
1738931310.304 1738931312.259 720 1280 3840 2764800
1738931311.004 1738931312.725 720 1280 3840 2764800
1738931311.504 1738931313.165 720 1280 3840 2764800
1738931311.804 1738931313.603 720 1280 3840 2764800
1738931312.104 1738931314.078 720 1280 3840 2764800
1738931312.804 1738931314.512 720 1280 3840 2764800
1738931316.071 1738931317.872 720 1280 3840 2764800
1738931316.471 1738931318.290 720 1280 3840 2764800
1738931316.971 1738931318.755 720 1280 3840 2764800
1738931317.771 1738931319.206 720 1280 3840 2764800
1738931318.237 1738931319.656 720 1280 3840 2764800
1738931318.371 1738931320.077 720 1280 3840 2764800
1738931318.704 1738931320.583 720 1280 3840 2764800
1738931319.237 1738931321.084 720 1280 3840 2764800
1738931319.404 1738931321.522 720 1280 3840 2764800
1738931321.604 1738931323.964 720 1280 3840 2764800
1738931322.337 1738931324.389 720 1280 3840 2764800
1738931323.004 1738931324.823 720 1280 3840 2764800
1738931323.737 1738931325.250 720 1280 3840 2764800
1738931323.904 1738931325.670 720 1280 3840 2764800
