msg_published_time msg_received_time uint8_data_size.bytes
1738931148.037 1738931149.399 254488
1738931152.370 1738931153.757 254602
1738931154.970 1738931156.238 254472
1738931155.003 1738931157.393 254668
1738931157.936 1738931159.275 254312
1738931159.836 1738931160.717 254176
1738931161.603 1738931162.723 253809
1738931169.837 1738931171.311 254579
1738931178.403 1738931179.461 254285
1738931186.237 1738931187.316 254185
1738931191.603 1738931192.869 254441
1738931194.737 1738931196.330 253670
1738931196.170 1738931197.201 253609
1738931205.603 1738931206.956 252407
1738931207.170 1738931208.379 253550
1738931210.003 1738931211.080 253501
1738931215.037 1738931216.567 253301
1738931216.704 1738931217.394 252477
1738931219.270 1738931220.465 253327
1738931221.004 1738931222.996 253385
1738931222.404 1738931224.024 253480
1738931224.604 1738931225.681 253196
1738931234.504 1738931235.655 254197
1738931236.837 1738931238.751 253437
1738931238.337 1738931240.012 253386
1738931249.537 1738931251.223 252594
1738931251.137 1738931252.723 252847
1738931253.470 1738931254.295 251984
1738931260.004 1738931261.028 251159
1738931266.904 1738931267.584 250593
1738931267.804 1738931268.934 250768
1738931269.770 1738931271.078 249553
1738931276.237 1738931277.223 249741
1738931282.137 1738931282.921 249407
1738931282.804 1738931283.793 249398
1738931285.437 1738931287.011 249617
1738931289.404 1738931290.141 249593
1738931295.571 1738931296.866 248184
1738931304.304 1738931305.160 247107
1738931304.371 1738931305.197 248038
1738931313.504 1738931315.098 248134
1738931316.471 1738931317.395 248247
1738931321.137 1738931322.128 247994
1738931321.637 1738931322.164 248034
1738931322.371 1738931323.534 247002
1738931330.204 1738931331.723 248022
1738931333.204 1738931333.996 248115
1738931334.571 1738931335.992 247910
1738931335.004 1738931336.030 246996
1738931338.171 1738931340.414 248136
1738931345.404 1738931346.887 247642
1738931348.204 1738931349.192 247718
1738931355.938 1738931357.015 247340
1738931365.504 1738931366.161 247463
1738931365.671 1738931368.392 247539
1738931368.638 1738931370.155 247500
1738931370.538 1738931372.137 246957
1738931373.371 1738931374.301 247389
1738931374.271 1738931375.111 247387
1738931375.804 1738931376.525 247348
1738931375.971 1738931376.560 247120
1738931380.571 1738931381.614 247310
1738931382.704 1738931383.386 246970
1738931387.138 1738931388.133 247285
1738931388.271 1738931389.460 246961
1738931389.404 1738931390.587 246970
1738931391.404 1738931392.456 247070
1738931397.938 1738931399.160 246756
1738931398.605 1738931400.398 245768
1738931400.838 1738931401.640 246893
1738931401.571 1738931402.559 246348
1738931410.038 1738931411.117 245983
1738931411.805 1738931412.899 245994
1738931413.638 1738931414.745 246175
1738931414.505 1738931415.463 246284
1738931418.705 1738931419.763 246801
1738931420.205 1738931421.159 246646
1738931422.005 1738931423.165 246673
1738931427.071 1738931428.322 246078
1738931428.571 1738931429.762 245564
1738931430.371 1738931432.067 243501
1738931439.371 1738931440.333 247002
1738931440.138 1738931441.482 247270
1738931444.371 1738931445.923 246030
1738931446.571 1738931447.419 246011
1738931446.805 1738931448.765 244972
1738931449.038 1738931450.030 245973
1738931450.805 1738931451.862 246068
1738931450.871 1738931451.897 245044
1738931452.338 1738931452.663 245301
1738931456.238 1738931456.953 244807
1738931457.405 1738931458.339 245607
1738931458.105 1738931459.909 245624
1738931459.105 1738931459.946 245639
1738931465.305 1738931466.537 245173
1738931470.638 1738931471.630 245242
1738931473.638 1738931474.979 245460
1738931479.005 1738931479.980 245348
1738931479.505 1738931480.029 245573
1738931481.472 1738931483.069 245150
1738931486.205 1738931487.857 245218
1738931495.472 1738931496.460 244951
1738931497.305 1738931498.519 245016
