msg_published_time msg_received_time uint32_height uint32_width uint32_step uint8_data_size.bytes
1738931138.070 1738931139.742 720 1280 3840 2764800
1738931143.603 1738931146.454 720 1280 3840 2764800
1738931144.103 1738931146.928 720 1280 3840 2764800
1738931145.170 1738931147.403 720 1280 3840 2764800
1738931145.536 1738931147.876 720 1280 3840 2764800
1738931147.637 1738931149.881 720 1280 3840 2764800
1738931148.370 1738931150.335 720 1280 3840 2764800
1738931148.937 1738931150.843 720 1280 3840 2764800
1738931149.970 1738931151.314 720 1280 3840 2764800
1738931150.837 1738931153.155 720 1280 3840 2764800
1738931154.536 1738931156.617 720 1280 3840 2764800
1738931154.770 1738931157.079 720 1280 3840 2764800
1738931157.370 1738931158.157 720 1280 3840 2764800
1738931157.803 1738931159.804 720 1280 3840 2764800
1738931159.603 1738931161.255 720 1280 3840 2764800
1738931159.803 1738931161.750 720 1280 3840 2764800
1738931160.703 1738931162.241 720 1280 3840 2764800
1738931161.170 1738931162.722 720 1280 3840 2764800
1738931165.803 1738931168.383 720 1280 3840 2764800
1738931166.703 1738931168.821 720 1280 3840 2764800
1738931167.103 1738931169.323 720 1280 3840 2764800
1738931167.737 1738931169.843 720 1280 3840 2764800
1738931168.003 1738931170.355 720 1280 3840 2764800
1738931169.003 1738931170.836 720 1280 3840 2764800
1738931169.770 1738931171.311 720 1280 3840 2764800
1738931176.737 1738931178.547 720 1280 3840 2764800
1738931177.570 1738931179.006 720 1280 3840 2764800
1738931177.937 1738931179.472 720 1280 3840 2764800
1738931180.070 1738931182.264 720 1280 3840 2764800
1738931180.670 1738931182.721 720 1280 3840 2764800
1738931181.370 1738931183.176 720 1280 3840 2764800
1738931181.937 1738931183.618 720 1280 3840 2764800
1738931182.370 1738931184.059 720 1280 3840 2764800
1738931182.670 1738931184.517 720 1280 3840 2764800
1738931183.270 1738931185.087 720 1280 3840 2764800
1738931183.403 1738931185.405 720 1280 3840 2764800
1738931183.803 1738931186.087 720 1280 3840 2764800
1738931184.603 1738931186.389 720 1280 3840 2764800
1738931184.837 1738931186.836 720 1280 3840 2764800
1738931185.603 1738931187.309 720 1280 3840 2764800
