msg_published_time msg_received_time uint32_height uint32_width uint32_step uint8_data_size.bytes
1738931146.170 1738931148.218 720 1280 2560 1843200
1738931146.537 1738931148.508 720 1280 2560 1843200
1738931147.270 1738931148.796 720 1280 2560 1843200
1738931147.470 1738931149.103 720 1280 2560 1843200
1738931147.537 1738931149.396 720 1280 2560 1843200
1738931151.270 1738931153.419 720 1280 2560 1843200
1738931151.937 1738931153.748 720 1280 2560 1843200
1738931154.770 1738931157.368 720 1280 2560 1843200
1738931157.403 1738931158.334 720 1280 2560 1843200
1738931159.270 1738931160.221 720 1280 2560 1843200
1738931160.937 1738931163.063 720 1280 2560 1843200
1738931161.336 1738931163.384 720 1280 2560 1843200
1738931162.070 1738931163.722 720 1280 2560 1843200
1738931162.170 1738931164.044 720 1280 2560 1843200
1738931162.670 1738931164.382 720 1280 2560 1843200
1738931164.603 1738931166.826 720 1280 2560 1843200
1738931164.903 1738931167.269 720 1280 2560 1843200
1738931165.737 1738931167.670 720 1280 2560 1843200
1738931169.237 1738931171.684 720 1280 2560 1843200
1738931169.637 1738931172.015 720 1280 2560 1843200
1738931170.537 1738931172.349 720 1280 2560 1843200
1738931170.970 1738931172.791 720 1280 2560 1843200
1738931171.170 1738931172.996 720 1280 2560 1843200
1738931171.937 1738931173.488 720 1280 2560 1843200
1738931172.370 1738931173.681 720 1280 2560 1843200
1738931175.303 1738931177.416 720 1280 2560 1843200
1738931175.470 1738931177.736 720 1280 2560 1843200
1738931176.403 1738931178.051 720 1280 2560 1843200
1738931177.570 1738931179.803 720 1280 2560 1843200
1738931179.403 1738931181.503 720 1280 2560 1843200
1738931179.970 1738931181.794 720 1280 2560 1843200
1738931185.570 1738931187.636 720 1280 2560 1843200
1738931186.037 1738931187.937 720 1280 2560 1843200
1738931186.637 1738931188.246 720 1280 2560 1843200
1738931186.670 1738931188.548 720 1280 2560 1843200
1738931187.137 1738931188.844 720 1280 2560 1843200
1738931187.203 1738931189.160 720 1280 2560 1843200
1738931187.603 1738931189.451 720 1280 2560 1843200
1738931189.370 1738931191.108 720 1280 2560 1843200
1738931189.637 1738931191.404 720 1280 2560 1843200
1738931190.903 1738931193.244 720 1280 2560 1843200
1738931191.470 1738931193.549 720 1280 2560 1843200
1738931192.303 1738931193.876 720 1280 2560 1843200
1738931192.470 1738931194.164 720 1280 2560 1843200
1738931192.837 1738931194.489 720 1280 2560 1843200
1738931193.003 1738931194.819 720 1280 2560 1843200
1738931193.170 1738931195.114 720 1280 2560 1843200
1738931193.603 1738931195.522 720 1280 2560 1843200
1738931193.970 1738931195.838 720 1280 2560 1843200
1738931194.370 1738931197.186 720 1280 2560 1843200
1738931196.303 1738931198.686 720 1280 2560 1843200
1738931203.437 1738931205.728 720 1280 2560 1843200
1738931203.970 1738931206.037 720 1280 2560 1843200
1738931204.503 1738931206.358 720 1280 2560 1843200
1738931204.637 1738931206.645 720 1280 2560 1843200
1738931205.103 1738931206.949 720 1280 2560 1843200
1738931209.103 1738931211.068 720 1280 2560 1843200
1738931215.137 1738931217.376 720 1280 2560 1843200
1738931220.404 1738931222.351 720 1280 2560 1843200
1738931220.837 1738931222.779 720 1280 2560 1843200
1738931220.970 1738931222.983 720 1280 2560 1843200
1738931221.104 1738931224.369 720 1280 2560 1843200
1738931222.537 1738931224.707 720 1280 2560 1843200
1738931223.170 1738931225.021 720 1280 2560 1843200
1738931223.570 1738931225.337 720 1280 2560 1843200
1738931224.037 1738931225.655 720 1280 2560 1843200
1738931232.837 1738931235.325 720 1280 2560 1843200
1738931233.737 1738931235.644 720 1280 2560 1843200
1738931236.137 1738931239.700 720 1280 2560 1843200
1738931236.970 1738931239.995 720 1280 2560 1843200
1738931248.704 1738931250.906 720 1280 2560 1843200
1738931249.037 1738931251.215 720 1280 2560 1843200
1738931250.870 1738931253.040 720 1280 2560 1843200
1738931251.337 1738931253.334 720 1280 2560 1843200
1738931251.970 1738931253.677 720 1280 2560 1843200
1738931252.070 1738931253.982 720 1280 2560 1843200
1738931252.770 1738931254.276 720 1280 2560 1843200
1738931257.671 1738931259.725 720 1280 2560 1843200
1738931257.837 1738931260.054 720 1280 2560 1843200
1738931258.637 1738931260.365 720 1280 2560 1843200
1738931258.937 1738931260.801 720 1280 2560 1843200
1738931259.470 1738931261.018 720 1280 2560 1843200
1738931264.737 1738931266.947 720 1280 2560 1843200
1738931264.970 1738931267.266 720 1280 2560 1843200
1738931266.237 1738931267.559 720 1280 2560 1843200
1738931268.970 1738931271.067 720 1280 2560 1843200
1738931276.204 1738931278.010 720 1280 2560 1843200
1738931276.604 1738931278.311 720 1280 2560 1843200
1738931279.671 1738931281.748 720 1280 2560 1843200
1738931280.171 1738931282.082 720 1280 2560 1843200
1738931281.071 1738931282.320 720 1280 2560 1843200
1738931281.237 1738931282.736 720 1280 2560 1843200
1738931281.271 1738931282.905 720 1280 2560 1843200
1738931284.837 1738931286.692 720 1280 2560 1843200
1738931285.004 1738931287.010 720 1280 2560 1843200
1738931287.404 1738931289.536 720 1280 2560 1843200
1738931287.904 1738931289.832 720 1280 2560 1843200
1738931288.704 1738931290.125 720 1280 2560 1843200
1738931294.704 1738931296.569 720 1280 2560 1843200
1738931295.204 1738931296.856 720 1280 2560 1843200
1738931302.404 1738931304.283 720 1280 2560 1843200
1738931302.571 1738931304.574 720 1280 2560 1843200
1738931303.204 1738931304.855 720 1280 2560 1843200
1738931303.537 1738931305.148 720 1280 2560 1843200
1738931312.804 1738931314.790 720 1280 2560 1843200
1738931313.137 1738931315.085 720 1280 2560 1843200
1738931319.804 1738931321.811 720 1280 2560 1843200
1738931320.371 1738931322.112 720 1280 2560 1843200
1738931323.937 1738931325.957 720 1280 2560 1843200
1738931324.804 1738931326.246 720 1280 2560 1843200
1738931325.204 1738931326.536 720 1280 2560 1843200
1738931325.571 1738931326.813 720 1280 2560 1843200
1738931331.338 1738931333.407 720 1280 2560 1843200
1738931332.004 1738931333.692 720 1280 2560 1843200
1738931332.404 1738931333.982 720 1280 2560 1843200
1738931334.938 1738931336.979 720 1280 2560 1843200
1738931335.271 1738931337.507 720 1280 2560 1843200
1738931335.838 1738931337.628 720 1280 2560 1843200
1738931336.004 1738931338.112 720 1280 2560 1843200
1738931336.338 1738931338.349 720 1280 2560 1843200
1738931342.004 1738931344.263 720 1280 2560 1843200
1738931342.504 1738931344.551 720 1280 2560 1843200
1738931343.104 1738931344.846 720 1280 2560 1843200
1738931343.371 1738931345.145 720 1280 2560 1843200
1738931344.971 1738931347.209 720 1280 2560 1843200
1738931345.638 1738931347.512 720 1280 2560 1843200
1738931346.071 1738931347.817 720 1280 2560 1843200
1738931346.338 1738931348.100 720 1280 2560 1843200
1738931346.638 1738931348.480 720 1280 2560 1843200
1738931346.871 1738931348.783 720 1280 2560 1843200
1738931347.738 1738931349.192 720 1280 2560 1843200
1738931352.071 1738931354.354 720 1280 2560 1843200
1738931352.871 1738931354.647 720 1280 2560 1843200
1738931353.271 1738931354.948 720 1280 2560 1843200
1738931353.404 1738931355.249 720 1280 2560 1843200
1738931353.871 1738931355.547 720 1280 2560 1843200
1738931354.304 1738931355.852 720 1280 2560 1843200
1738931354.804 1738931356.140 720 1280 2560 1843200
1738931354.971 1738931356.432 720 1280 2560 1843200
1738931355.138 1738931356.715 720 1280 2560 1843200
1738931355.704 1738931357.002 720 1280 2560 1843200
1738931364.404 1738931366.142 720 1280 2560 1843200
1738931366.904 1738931370.154 720 1280 2560 1843200
1738931369.904 1738931371.744 720 1280 2560 1843200
1738931370.171 1738931372.136 720 1280 2560 1843200
1738931373.004 1738931375.103 720 1280 2560 1843200
1738931375.371 1738931376.867 720 1280 2560 1843200
1738931375.738 1738931377.145 720 1280 2560 1843200
1738931375.804 1738931377.436 720 1280 2560 1843200
1738931376.971 1738931378.985 720 1280 2560 1843200
1738931377.704 1738931379.267 720 1280 2560 1843200
1738931378.171 1738931379.548 720 1280 2560 1843200
1738931378.271 1738931379.830 720 1280 2560 1843200
1738931378.304 1738931380.215 720 1280 2560 1843200
1738931378.738 1738931380.382 720 1280 2560 1843200
1738931378.804 1738931380.675 720 1280 2560 1843200
1738931382.104 1738931383.709 720 1280 2560 1843200
1738931382.438 1738931384.008 720 1280 2560 1843200
1738931385.138 1738931387.265 720 1280 2560 1843200
1738931387.538 1738931389.842 720 1280 2560 1843200
1738931388.138 1738931390.149 720 1280 2560 1843200
1738931391.305 1738931392.775 720 1280 2560 1843200
1738931391.338 1738931393.083 720 1280 2560 1843200
1738931391.738 1738931393.369 720 1280 2560 1843200
1738931392.138 1738931393.658 720 1280 2560 1843200
1738931392.338 1738931393.945 720 1280 2560 1843200
1738931392.505 1738931394.238 720 1280 2560 1843200
1738931393.005 1738931394.520 720 1280 2560 1843200
1738931393.138 1738931394.801 720 1280 2560 1843200
1738931393.605 1738931395.121 720 1280 2560 1843200
1738931393.838 1738931395.630 720 1280 2560 1843200
1738931396.071 1738931397.957 720 1280 2560 1843200
1738931396.538 1738931398.244 720 1280 2560 1843200
1738931397.004 1738931399.508 720 1280 2560 1843200
1738931398.438 1738931401.175 720 1280 2560 1843200
1738931401.105 1738931402.868 720 1280 2560 1843200
1738931401.538 1738931403.160 720 1280 2560 1843200
1738931401.738 1738931403.457 720 1280 2560 1843200
1738931402.338 1738931403.812 720 1280 2560 1843200
1738931402.805 1738931404.109 720 1280 2560 1843200
1738931402.838 1738931404.398 720 1280 2560 1843200
1738931403.771 1738931405.990 720 1280 2560 1843200
1738931404.471 1738931406.276 720 1280 2560 1843200
1738931409.305 1738931411.425 720 1280 2560 1843200
1738931409.971 1738931411.730 720 1280 2560 1843200
1738931410.371 1738931412.017 720 1280 2560 1843200
1738931412.771 1738931415.010 720 1280 2560 1843200
1738931414.871 1738931416.187 720 1280 2560 1843200
1738931418.305 1738931419.749 720 1280 2560 1843200
1738931419.305 1738931421.489 720 1280 2560 1843200
1738931419.905 1738931421.783 720 1280 2560 1843200
1738931420.605 1738931422.060 720 1280 2560 1843200
1738931420.805 1738931422.354 720 1280 2560 1843200
1738931421.105 1738931422.646 720 1280 2560 1843200
1738931421.571 1738931423.164 720 1280 2560 1843200
1738931426.205 1738931428.004 720 1280 2560 1843200
1738931426.571 1738931428.299 720 1280 2560 1843200
1738931429.805 1738931431.774 720 1280 2560 1843200
1738931429.971 1738931432.057 720 1280 2560 1843200
1738931439.371 1738931441.158 720 1280 2560 1843200
1738931439.805 1738931441.432 720 1280 2560 1843200
1738931445.238 1738931447.118 720 1280 2560 1843200
1738931445.705 1738931447.504 720 1280 2560 1843200
1738931446.371 1738931449.081 720 1280 2560 1843200
1738931450.038 1738931452.208 720 1280 2560 1843200
1738931452.438 1738931453.407 720 1280 2560 1843200
1738931454.605 1738931456.348 720 1280 2560 1843200
1738931454.872 1738931456.653 720 1280 2560 1843200
1738931455.438 1738931456.936 720 1280 2560 1843200
1738931456.538 1738931458.665 720 1280 2560 1843200
1738931457.138 1738931458.949 720 1280 2560 1843200
1738931465.138 1738931466.845 720 1280 2560 1843200
1738931465.405 1738931467.124 720 1280 2560 1843200
1738931465.905 1738931467.420 720 1280 2560 1843200
1738931466.505 1738931467.702 720 1280 2560 1843200
1738931467.605 1738931469.414 720 1280 2560 1843200
1738931469.805 1738931471.938 720 1280 2560 1843200
1738931470.638 1738931472.225 720 1280 2560 1843200
1738931473.638 1738931475.341 720 1280 2560 1843200
1738931473.972 1738931475.639 720 1280 2560 1843200
1738931477.405 1738931479.247 720 1280 2560 1843200
1738931477.505 1738931479.547 720 1280 2560 1843200
1738931478.838 1738931480.812 720 1280 2560 1843200
1738931479.272 1738931481.100 720 1280 2560 1843200
1738931480.672 1738931482.766 720 1280 2560 1843200
1738931481.072 1738931483.058 720 1280 2560 1843200
1738931485.538 1738931487.846 720 1280 2560 1843200
1738931490.705 1738931492.674 720 1280 2560 1843200
1738931491.305 1738931492.980 720 1280 2560 1843200
1738931491.472 1738931493.279 720 1280 2560 1843200
1738931491.672 1738931493.576 720 1280 2560 1843200
1738931492.072 1738931493.871 720 1280 2560 1843200
1738931492.472 1738931494.152 720 1280 2560 1843200
1738931492.605 1738931494.434 720 1280 2560 1843200
1738931493.072 1738931494.725 720 1280 2560 1843200
1738931493.538 1738931495.004 720 1280 2560 1843200
1738931493.805 1738931495.276 720 1280 2560 1843200
1738931494.038 1738931495.583 720 1280 2560 1843200
1738931494.105 1738931495.889 720 1280 2560 1843200
1738931494.905 1738931496.460 720 1280 2560 1843200
1738931496.772 1738931498.953 720 1280 2560 1843200
1738931497.338 1738931499.142 720 1280 2560 1843200
1738931499.138 1738931500.756 720 1280 2560 1843200
1738931499.372 1738931501.051 720 1280 2560 1843200
