msg_published_time msg_received_time uint8_data_size.bytes
1738937152.234 1738937152.496 261147
1738937152.268 1738937152.974 261420
1738937152.368 1738937153.496 261466
1738937152.768 1738937155.214 260702
1738937152.801 1738937155.243 260942
1738937152.934 1738937155.278 261244
1738937154.801 1738937155.613 261481
1738937154.834 1738937155.650 261489
1738937155.101 1738937156.993 261356
1738937155.134 1738937157.021 261474
1738937155.201 1738937157.065 261225
1738937156.401 1738937157.554 261463
1738937156.468 1738937157.593 261445
1738937156.501 1738937157.630 261176
1738937156.635 1738937157.673 261560
1738937156.768 1738937157.710 261465
1738937156.801 1738937157.756 261373
1738937156.835 1738937158.147 261501
1738937156.868 1738937158.150 261305
1738937157.135 1738937158.445 261600
1738937157.635 1738937158.486 261082
1738937157.668 1738937158.522 261589
1738937158.035 1738937159.269 261522
1738937158.068 1738937159.309 260752
1738937158.135 1738937159.347 261476
1738937158.168 1738937159.389 261040
1738937158.368 1738937159.432 261445
1738937158.435 1738937159.470 261455
1738937158.468 1738937159.508 261251
1738937158.501 1738937159.555 261675
1738937158.835 1738937161.751 261533
1738937160.768 1738937161.783 261536
1738937160.835 1738937161.823 260944
1738937160.935 1738937161.868 261221
1738937160.968 1738937161.906 261084
1738937161.001 1738937161.946 261183
1738937161.201 1738937163.494 261455
1738937161.301 1738937163.531 261339
1738937161.335 1738937163.592 260940
1738937161.401 1738937163.623 261574
1738937162.735 1738937163.951 261361
1738937162.868 1738937163.995 260800
1738937162.968 1738937164.037 261261
1738937163.001 1738937164.074 261341
1738937163.101 1738937164.116 261232
1738937163.135 1738937164.156 261208
1738937163.501 1738937164.784 261283
1738937164.268 1738937165.257 261265
1738937164.668 1738937165.651 261088
1738937164.701 1738937165.692 260973
1738937164.735 1738937165.745 260698
1738937164.801 1738937165.787 260991
1738937165.168 1738937166.881 261142
1738937165.701 1738937167.205 260858
1738937165.968 1738937167.242 260998
1738937166.235 1738937167.296 261072
1738937166.268 1738937167.333 260896
1738937166.368 1738937167.378 260693
1738937166.701 1738937167.871 261207
1738937167.135 1738937168.772 260936
1738937167.668 1738937169.251 261048
1738937169.168 1738937171.807 261112
1738937169.435 1738937171.846 260903
1738937170.835 1738937171.882 260649
1738937170.868 1738937171.922 260718
1738937170.901 1738937171.960 260875
1738937170.968 1738937172.007 260668
1738937171.001 1738937172.044 260688
1738937171.268 1738937172.983 260481
1738937171.801 1738937173.035 260874
1738937171.835 1738937173.067 260967
1738937172.035 1738937173.122 260671
1738937172.068 1738937173.155 260409
1738937172.101 1738937173.195 260918
1738937172.135 1738937173.234 260862
1738937172.235 1738937173.279 260760
1738937172.268 1738937173.315 260766
1738937172.668 1738937173.656 260688
1738937172.701 1738937173.707 260676
1738937172.735 1738937173.737 260877
1738937172.768 1738937173.777 260923
1738937172.801 1738937173.820 260867
1738937172.835 1738937173.870 260754
1738937172.935 1738937173.898 260472
1738937172.968 1738937173.936 260739
1738937173.035 1738937173.977 260538
1738937173.068 1738937174.020 260630
1738937173.101 1738937174.070 260688
1738937174.601 1738937175.798 260856
1738937175.201 1738937176.304 260571
1738937175.235 1738937176.348 260162
1738937175.268 1738937176.391 260465
1738937175.301 1738937176.429 260316
1738937175.635 1738937177.646 260576
1738937175.668 1738937177.685 260512
1738937175.768 1738937177.734 260271
1738937176.701 1738937177.767 260272
1738937176.735 1738937177.807 260559
1738937176.835 1738937177.851 260286
1738937176.868 1738937177.889 260330
1738937176.901 1738937177.928 260439
1738937176.968 1738937177.965 260538
1738937177.068 1738937178.008 260501
1738937177.101 1738937178.044 260364
1738937177.135 1738937178.082 260333
1738937177.201 1738937178.122 259887
1738937177.301 1738937178.455 260402
1738937177.435 1738937179.989 260342
1738937177.468 1738937179.989 260249
1738937178.668 1738937180.038 260379
1738937178.701 1738937180.041 259936
1738937178.735 1738937180.046 259804
1738937178.768 1738937180.047 259862
1738937178.968 1738937180.051 260088
1738937179.035 1738937180.055 260136
1738937179.102 1738937180.060 260288
1738937179.168 1738937180.100 260564
1738937179.235 1738937180.141 259540
1738937179.268 1738937180.179 260208
1738937179.602 1738937180.505 260033
1738937179.668 1738937181.869 260139
1738937180.002 1738937181.910 260265
1738937180.702 1738937181.949 260145
1738937181.435 1738937183.366 260353
1738937182.602 1738937185.666 259628
1738937184.602 1738937185.706 259915
1738937184.668 1738937185.745 259975
1738937184.702 1738937185.782 259887
1738937184.735 1738937185.822 259863
1738937184.802 1738937185.869 260060
1738937184.868 1738937185.916 259896
1738937184.968 1738937186.242 259942
1738937185.335 1738937186.283 259872
1738937185.368 1738937186.321 259930
1738937185.402 1738937186.362 259907
1738937185.468 1738937186.402 260115
1738937185.502 1738937186.456 259402
1738937185.735 1738937187.734 259584
1738937186.602 1738937187.735 259682
1738937187.035 1738937189.666 259804
1738937188.702 1738937189.707 259314
1738937188.735 1738937189.784 259493
1738937188.768 1738937189.794 259463
1738937189.068 1738937190.165 259975
1738937189.102 1738937190.166 259503
1738937189.135 1738937190.203 259007
1738937189.302 1738937190.247 259148
1738937189.435 1738937190.865 259499
1738937189.502 1738937191.061 259462
1738937190.902 1738937192.123 259194
1738937191.268 1738937193.061 259472
1738937191.968 1738937193.074 259431
1738937192.368 1738937194.550 258851
1738937192.402 1738937194.570 259296
1738937192.435 1738937194.575 259421
1738937192.502 1738937194.605 259354
1738937192.968 1738937195.140 259643
1738937194.635 1738937195.573 259180
1738937194.668 1738937196.052 259307
1738937195.035 1738937196.088 259329
