msg_published_time msg_received_time uint32_height uint32_width uint32_step uint8_data_size.bytes
1738937154.801 1738937156.131 720 1280 3840 2764800
1738937155.001 1738937156.562 720 1280 3840 2764800
1738937155.134 1738937156.992 720 1280 3840 2764800
1738937155.968 1738937158.064 720 1280 3840 2764800
1738937158.035 1738937161.319 720 1280 3840 2764800
1738937158.168 1738937161.751 720 1280 3840 2764800
1738937169.035 1738937170.468 720 1280 3840 2764800
1738937169.468 1738937170.923 720 1280 3840 2764800
1738937169.768 1738937171.342 720 1280 3840 2764800
1738937170.168 1738937171.806 720 1280 3840 2764800
1738937179.968 1738937182.531 720 1280 3840 2764800
1738937182.368 1738937185.218 720 1280 3840 2764800
1738937184.268 1738937185.666 720 1280 3840 2764800
1738937185.668 1738937187.235 720 1280 3840 2764800
1738937185.702 1738937187.805 720 1280 3840 2764800
1738937189.135 1738937190.865 720 1280 3840 2764800
1738937189.702 1738937191.318 720 1280 3840 2764800
1738937189.768 1738937192.117 720 1280 3840 2764800
1738937190.902 1738937192.681 720 1280 3840 2764800
1738937191.368 1738937193.059 720 1280 3840 2764800
1738937192.102 1738937193.664 720 1280 3840 2764800
1738937192.335 1738937194.166 720 1280 3840 2764800
1738937192.368 1738937194.549 720 1280 3840 2764800
1738937192.502 1738937195.149 720 1280 3840 2764800
1738937194.102 1738937195.561 720 1280 3840 2764800
1738937196.635 1738937198.127 720 1280 3840 2764800
1738937197.102 1738937198.560 720 1280 3840 2764800
1738937197.335 1738937199.119 720 1280 3840 2764800
1738937199.768 1738937201.349 720 1280 3840 2764800
1738937204.335 1738937206.160 720 1280 3840 2764800
1738937204.902 1738937206.591 720 1280 3840 2764800
1738937207.802 1738937209.328 720 1280 3840 2764800
1738937208.635 1738937210.055 720 1280 3840 2764800
1738937209.335 1738937211.283 720 1280 3840 2764800
1738937210.235 1738937211.718 720 1280 3840 2764800
1738937210.502 1738937212.179 720 1280 3840 2764800
1738937212.802 1738937214.297 720 1280 3840 2764800
1738937213.202 1738937214.727 720 1280 3840 2764800
1738937214.069 1738937215.649 720 1280 3840 2764800
1738937214.402 1738937216.105 720 1280 3840 2764800
1738937214.469 1738937216.547 720 1280 3840 2764800
