msg_published_time msg_received_time uint32_height uint32_width uint32_step uint8_data_size.bytes
1738937153.168 1738937155.601 720 1280 2560 1843200
1738937154.834 1738937158.183 720 1280 2560 1843200
1738937156.868 1738937158.428 720 1280 2560 1843200
1738937157.768 1738937159.260 720 1280 2560 1843200
1738937160.735 1738937163.014 720 1280 2560 1843200
1738937161.001 1738937163.490 720 1280 2560 1843200
1738937162.268 1738937163.940 720 1280 2560 1843200
1738937162.601 1738937164.476 720 1280 2560 1843200
1738937162.935 1738937164.776 720 1280 2560 1843200
1738937164.168 1738937165.639 720 1280 2560 1843200
1738937164.568 1738937166.553 720 1280 2560 1843200
1738937164.601 1738937166.867 720 1280 2560 1843200
1738937165.435 1738937167.313 720 1280 2560 1843200
1738937166.901 1738937170.036 720 1280 2560 1843200
1738937172.035 1738937173.646 720 1280 2560 1843200
1738937172.768 1738937174.364 720 1280 2560 1843200
1738937172.801 1738937174.645 720 1280 2560 1843200
1738937173.068 1738937175.036 720 1280 2560 1843200
1738937173.701 1738937175.333 720 1280 2560 1843200
1738937175.035 1738937176.750 720 1280 2560 1843200
1738937176.868 1738937178.442 720 1280 2560 1843200
1738937177.335 1738937178.792 720 1280 2560 1843200
1738937177.568 1738937179.199 720 1280 2560 1843200
1738937177.735 1738937179.411 720 1280 2560 1843200
1738937177.801 1738937179.988 720 1280 2560 1843200
1738937178.768 1738937180.504 720 1280 2560 1843200
1738937179.702 1738937182.703 720 1280 2560 1843200
1738937179.735 1738937183.011 720 1280 2560 1843200
1738937181.668 1738937183.330 720 1280 2560 1843200
1738937182.335 1738937184.094 720 1280 2560 1843200
1738937182.835 1738937184.460 720 1280 2560 1843200
1738937183.035 1738937184.755 720 1280 2560 1843200
1738937184.635 1738937186.225 720 1280 2560 1843200
1738937185.135 1738937186.792 720 1280 2560 1843200
1738937186.768 1738937189.461 720 1280 2560 1843200
1738937188.135 1738937189.647 720 1280 2560 1843200
1738937188.568 1738937190.164 720 1280 2560 1843200
1738937188.868 1738937191.591 720 1280 2560 1843200
1738937195.002 1738937196.554 720 1280 2560 1843200
1738937195.168 1738937196.836 720 1280 2560 1843200
1738937195.335 1738937197.149 720 1280 2560 1843200
1738937196.835 1738937199.286 720 1280 2560 1843200
1738937198.002 1738937199.673 720 1280 2560 1843200
1738937198.068 1738937200.016 720 1280 2560 1843200
1738937198.568 1738937200.317 720 1280 2560 1843200
1738937198.868 1738937200.617 720 1280 2560 1843200
1738937199.835 1738937203.979 720 1280 2560 1843200
1738937202.502 1738937204.283 720 1280 2560 1843200
1738937203.235 1738937204.756 720 1280 2560 1843200
1738937203.468 1738937205.064 720 1280 2560 1843200
1738937203.635 1738937207.263 720 1280 2560 1843200
1738937206.002 1738937207.537 720 1280 2560 1843200
1738937206.135 1738937207.824 720 1280 2560 1843200
1738937206.468 1738937208.123 720 1280 2560 1843200
1738937206.835 1738937208.421 720 1280 2560 1843200
1738937207.502 1738937209.614 720 1280 2560 1843200
1738937208.802 1738937210.478 720 1280 2560 1843200
1738937208.835 1738937210.697 720 1280 2560 1843200
1738937209.102 1738937213.386 720 1280 2560 1843200
1738937212.102 1738937213.665 720 1280 2560 1843200
1738937216.535 1738937218.161 720 1280 2560 1843200
1738937216.802 1738937218.505 720 1280 2560 1843200
1738937216.835 1738937218.789 720 1280 2560 1843200
1738937216.869 1738937219.188 720 1280 2560 1843200
1738937217.069 1738937219.518 720 1280 2560 1843200
1738937220.735 1738937222.211 720 1280 2560 1843200
1738937221.035 1738937222.598 720 1280 2560 1843200
1738937221.269 1738937223.790 720 1280 2560 1843200
1738937221.369 1738937224.070 720 1280 2560 1843200
1738937222.835 1738937224.379 720 1280 2560 1843200
1738937223.235 1738937225.545 720 1280 2560 1843200
1738937224.202 1738937225.825 720 1280 2560 1843200
1738937225.035 1738937226.641 720 1280 2560 1843200
1738937225.469 1738937227.234 720 1280 2560 1843200
1738937226.835 1738937228.415 720 1280 2560 1843200
1738937227.202 1738937228.895 720 1280 2560 1843200
1738937228.735 1738937230.175 720 1280 2560 1843200
1738937228.835 1738937230.481 720 1280 2560 1843200
1738937229.069 1738937230.781 720 1280 2560 1843200
1738937229.369 1738937231.074 720 1280 2560 1843200
1738937229.902 1738937231.372 720 1280 2560 1843200
1738937230.635 1738937232.416 720 1280 2560 1843200
1738937231.435 1738937233.252 720 1280 2560 1843200
1738937232.102 1738937233.849 720 1280 2560 1843200
1738937232.335 1738937234.051 720 1280 2560 1843200
1738937232.435 1738937234.350 720 1280 2560 1843200
1738937233.002 1738937234.628 720 1280 2560 1843200
1738937233.769 1738937236.731 720 1280 2560 1843200
1738937233.869 1738937237.016 720 1280 2560 1843200
1738937233.902 1738937237.403 720 1280 2560 1843200
1738937235.369 1738937237.607 720 1280 2560 1843200
1738937237.702 1738937239.260 720 1280 2560 1843200
1738937238.002 1738937239.564 720 1280 2560 1843200
1738937241.102 1738937242.690 720 1280 2560 1843200
1738937241.235 1738937245.201 720 1280 2560 1843200
1738937241.502 1738937245.495 720 1280 2560 1843200
1738937244.702 1738937247.258 720 1280 2560 1843200
1738937245.902 1738937247.575 720 1280 2560 1843200
1738937245.969 1738937247.873 720 1280 2560 1843200
1738937246.435 1738937248.337 720 1280 2560 1843200
1738937247.935 1738937249.659 720 1280 2560 1843200
1738937248.135 1738937250.097 720 1280 2560 1843200
1738937248.502 1738937251.275 720 1280 2560 1843200
1738937250.169 1738937252.093 720 1280 2560 1843200
1738937251.569 1738937253.356 720 1280 2560 1843200
1738937251.936 1738937253.698 720 1280 2560 1843200
1738937252.669 1738937254.649 720 1280 2560 1843200
1738937254.069 1738937255.881 720 1280 2560 1843200
1738937254.469 1738937256.244 720 1280 2560 1843200
1738937254.869 1738937256.547 720 1280 2560 1843200
1738937255.169 1738937256.860 720 1280 2560 1843200
1738937256.002 1738937258.667 720 1280 2560 1843200
1738937256.036 1738937258.924 720 1280 2560 1843200
1738937256.102 1738937259.127 720 1280 2560 1843200
1738937258.336 1738937260.146 720 1280 2560 1843200
1738937259.769 1738937262.348 720 1280 2560 1843200
1738937261.269 1738937262.821 720 1280 2560 1843200
1738937261.436 1738937263.134 720 1280 2560 1843200
1738937261.502 1738937263.424 720 1280 2560 1843200
1738937261.736 1738937264.698 720 1280 2560 1843200
1738937263.469 1738937267.350 720 1280 2560 1843200
1738937266.169 1738937267.636 720 1280 2560 1843200
1738937266.602 1738937269.489 720 1280 2560 1843200
1738937266.869 1738937269.775 720 1280 2560 1843200
1738937268.269 1738937270.464 720 1280 2560 1843200
1738937269.302 1738937270.758 720 1280 2560 1843200
1738937269.669 1738937271.202 720 1280 2560 1843200
1738937269.902 1738937271.484 720 1280 2560 1843200
1738937270.002 1738937271.765 720 1280 2560 1843200
1738937271.569 1738937274.481 720 1280 2560 1843200
1738937273.402 1738937274.838 720 1280 2560 1843200
1738937273.602 1738937275.290 720 1280 2560 1843200
1738937273.836 1738937275.520 720 1280 2560 1843200
1738937274.002 1738937275.827 720 1280 2560 1843200
1738937275.769 1738937278.458 720 1280 2560 1843200
1738937277.136 1738937279.220 720 1280 2560 1843200
1738937278.536 1738937280.753 720 1280 2560 1843200
1738937279.502 1738937281.075 720 1280 2560 1843200
1738937279.902 1738937281.755 720 1280 2560 1843200
1738937280.202 1738937282.088 720 1280 2560 1843200
1738937281.902 1738937283.329 720 1280 2560 1843200
1738937282.302 1738937284.036 720 1280 2560 1843200
1738937282.602 1738937285.288 720 1280 2560 1843200
1738937282.836 1738937285.464 720 1280 2560 1843200
1738937284.002 1738937285.751 720 1280 2560 1843200
1738937284.936 1738937286.534 720 1280 2560 1843200
1738937286.836 1738937288.471 720 1280 2560 1843200
1738937287.069 1738937288.720 720 1280 2560 1843200
1738937287.136 1738937288.995 720 1280 2560 1843200
