msg_published_time msg_received_time map_load_time.secs update_time.secs uint32_metadata.size_x uint32_metadata.size_y uint8_data_size.bytes
1738937152.680 1738937153.497 0.000 0.000 60 60 3600
1738937153.281 1738937153.941 0.000 0.000 60 60 3600
1738937155.080 1738937155.602 0.000 0.000 60 60 3600
1738937156.280 1738937157.066 0.000 0.000 60 60 3600
1738937156.881 1738937157.594 0.000 0.000 60 60 3600
1738937158.080 1738937158.446 0.000 0.000 60 60 3600
1738937159.882 1738937160.887 0.000 0.000 60 60 3600
1738937161.080 1738937161.824 0.000 0.000 60 60 3600
1738937162.881 1738937163.941 0.000 0.000 60 60 3600
1738937164.681 1738937165.255 0.000 0.000 60 60 3600
1738937165.281 1738937165.641 0.000 0.000 60 60 3600
1738937167.080 1738937167.870 0.000 0.000 60 60 3600
1738937169.480 1738937170.469 0.000 0.000 60 60 3600
1738937170.080 1738937170.921 0.000 0.000 60 60 3600
1738937171.280 1738937171.960 0.000 0.000 60 60 3600
1738937173.081 1738937173.657 0.000 0.000 60 60 3600
1738937174.280 1738937175.037 0.000 0.000 60 60 3600
1738937177.281 1738937177.852 0.000 0.000 60 60 3600
1738937177.881 1738937178.455 0.000 0.000 60 60 3600
1738937178.480 1738937179.192 0.000 0.000 60 60 3600
1738937179.680 1738937180.506 0.000 0.000 60 60 3600
1738937181.480 1738937181.950 0.000 0.000 60 60 3600
1738937184.480 1738937185.219 0.000 0.000 60 60 3600
1738937185.680 1738937186.243 0.000 0.000 60 60 3600
1738937186.880 1738937187.730 0.000 0.000 60 60 3600
1738937188.680 1738937189.454 0.000 0.000 60 60 3600
1738937189.280 1738937189.795 0.000 0.000 60 60 3600
1738937191.080 1738937192.118 0.000 0.000 60 60 3600
1738937192.280 1738937193.074 0.000 0.000 60 60 3600
1738937194.680 1738937195.554 0.000 0.000 60 60 3600
1738937197.081 1738937198.128 0.000 0.000 60 60 3600
1738937197.680 1738937198.561 0.000 0.000 60 60 3600
1738937198.280 1738937199.103 0.000 0.000 60 60 3600
1738937198.881 1738937199.681 0.000 0.000 60 60 3600
1738937200.081 1738937200.667 0.000 0.000 60 60 3600
1738937203.680 1738937204.284 0.000 0.000 60 60 3600
1738937204.880 1738937205.537 0.000 0.000 60 60 3600
1738937206.080 1738937206.781 0.000 0.000 60 60 3600
1738937206.680 1738937207.264 0.000 0.000 60 60 3600
1738937207.881 1738937208.433 0.000 0.000 60 60 3600
1738937209.080 1738937209.615 0.000 0.000 60 60 3600
1738937209.680 1738937210.708 0.000 0.000 60 60 3600
1738937210.881 1738937211.719 0.000 0.000 60 60 3600
1738937212.080 1738937212.874 0.000 0.000 60 60 3600
1738937213.282 1738937213.728 0.000 0.000 60 60 3600
1738937216.881 1738937217.696 0.000 0.000 60 60 3600
1738937217.481 1738937218.163 0.000 0.000 60 60 3600
1738937221.681 1738937222.225 0.000 0.000 60 60 3600
1738937224.681 1738937225.825 0.000 0.000 60 60 3600
1738937225.881 1738937226.642 0.000 0.000 60 60 3600
1738937227.080 1738937228.132 0.000 0.000 60 60 3600
1738937228.881 1738937229.779 0.000 0.000 60 60 3600
1738937230.681 1738937231.076 0.000 0.000 60 60 3600
1738937233.081 1738937233.747 0.000 0.000 60 60 3600
1738937233.681 1738937234.629 0.000 0.000 60 60 3600
1738937234.282 1738937234.686 0.000 0.000 60 60 3600
1738937235.482 1738937236.345 0.000 0.000 60 60 3600
1738937238.481 1738937238.979 0.000 0.000 60 60 3600
