msg_published_time msg_received_time info.width info.height int8_data_size.bytes
1739038360.174 1739038360.175 60 60 3600
1739038360.776 1739038360.777 60 60 3600
1739038361.374 1739038361.374 60 60 3600
1739038361.974 1739038361.974 60 60 3600
1739038362.574 1739038362.576 60 60 3600
1739038363.174 1739038363.275 60 60 3600
1739038363.774 1739038363.775 60 60 3600
1739038364.374 1739038364.375 60 60 3600
1739038364.975 1739038364.975 60 60 3600
1739038365.574 1739038365.574 60 60 3600
1739038366.175 1739038366.175 60 60 3600
1739038366.775 1739038366.775 60 60 3600
1739038367.374 1739038367.376 60 60 3600
1739038367.974 1739038367.974 60 60 3600
1739038368.574 1739038368.574 60 60 3600
1739038369.174 1739038369.175 60 60 3600
1739038369.774 1739038369.774 60 60 3600
1739038370.374 1739038370.374 60 60 3600
1739038370.975 1739038370.983 60 60 3600
1739038371.575 1739038371.575 60 60 3600
1739038372.176 1739038372.176 60 60 3600
